# t[days] u g r i z y J H K
0.20202 -12.808 -13.313 -13.391 -12.152 -12.134 -12.487 -10.101 -11.641 -3.055 
0.40404 -13.942 -14.612 -14.712 -14.451 -14.200 -14.173 -13.869 -13.171 -12.748 
0.60606 -14.169 -14.970 -15.174 -15.074 -14.932 -14.607 -14.373 -13.695 -13.397 
0.80808 -13.886 -14.909 -15.141 -15.264 -15.144 -15.036 -14.614 -14.358 -13.836 
1.01010 -13.451 -14.573 -15.031 -15.231 -15.340 -15.299 -14.945 -14.500 -14.190 
1.21212 -12.980 -14.321 -14.856 -15.112 -15.373 -15.337 -15.015 -14.841 -14.381 
1.41414 -12.558 -13.902 -14.668 -15.094 -15.255 -15.225 -15.010 -14.772 -14.648 
1.61616 -12.024 -13.591 -14.360 -14.859 -15.131 -15.108 -14.864 -14.692 -14.388 
1.81818 -11.848 -13.327 -14.168 -14.656 -14.864 -15.024 -14.775 -14.568 -14.237 
2.02020 -11.613 -13.103 -13.922 -14.545 -14.764 -14.764 -14.597 -14.468 -14.224 
2.22222 -11.143 -12.712 -13.704 -14.268 -14.560 -14.622 -14.463 -14.328 -14.185 
2.42424 -10.842 -12.416 -13.390 -14.032 -14.335 -14.435 -14.298 -14.092 -14.010 
2.62626 -10.424 -12.048 -13.158 -13.793 -14.106 -14.190 -14.005 -13.953 -13.910 
2.82828 -9.864 -11.857 -12.875 -13.546 -13.919 -13.999 -13.903 -13.769 -13.708 
3.03030 -9.755 -11.575 -12.753 -13.416 -13.717 -13.882 -13.762 -13.606 -13.611 
3.23232 -9.288 -11.295 -12.444 -13.148 -13.522 -13.667 -13.577 -13.435 -13.458 
3.43434 -9.025 -10.964 -12.270 -13.024 -13.338 -13.426 -13.361 -13.354 -13.171 
3.63636 -8.796 -10.766 -12.057 -12.794 -13.162 -13.240 -13.205 -13.122 -13.162 
3.83838 -8.474 -10.587 -11.916 -12.650 -13.006 -13.110 -13.102 -12.974 -12.944 
4.04040 -8.096 -10.286 -11.697 -12.439 -12.900 -12.984 -12.962 -12.888 -12.718 
4.24242 -7.958 -10.273 -11.550 -12.318 -12.698 -12.818 -12.822 -12.738 -12.822 
4.44444 -7.518 -10.002 -11.398 -12.229 -12.606 -12.650 -12.699 -12.651 -12.564 
4.64646 -7.320 -9.791 -11.214 -12.098 -12.437 -12.515 -12.523 -12.503 -12.454 
4.84848 -6.829 -9.518 -11.087 -11.946 -12.343 -12.474 -12.418 -12.433 -12.465 
5.05051 -6.601 -9.388 -10.927 -11.865 -12.205 -12.324 -12.376 -12.309 -12.277 
5.25253 -6.472 -9.154 -10.726 -11.691 -12.135 -12.291 -12.305 -12.303 -12.185 
5.45455 -5.980 -8.950 -10.636 -11.598 -12.058 -12.136 -12.186 -12.192 -12.133 
5.65657 -5.508 -8.794 -10.484 -11.444 -11.960 -12.063 -12.188 -12.124 -12.103 
5.85859 -5.323 -8.576 -10.379 -11.394 -11.837 -12.034 -12.109 -12.087 -12.087 
6.06061 -4.805 -8.360 -10.191 -11.292 -11.757 -11.926 -12.052 -12.000 -11.951 
6.26263 -4.699 -8.171 -10.060 -11.174 -11.673 -11.870 -11.970 -12.001 -11.921 
6.46465 -5.886 -7.893 -9.964 -11.030 -11.587 -11.808 -11.857 -11.969 -11.898 
6.66667 -4.266 -7.849 -9.842 -11.017 -11.537 -11.718 -11.888 -11.926 -11.881 
6.86869 -3.644 -7.619 -9.766 -10.908 -11.468 -11.646 -11.799 -11.889 -11.808 
7.07071 -3.606 -7.445 -9.585 -10.794 -11.363 -11.533 -11.753 -11.795 -11.724 
7.27273 -3.500 -7.264 -9.484 -10.722 -11.292 -11.495 -11.678 -11.777 -11.733 
7.47475 -2.734 -7.046 -9.357 -10.547 -11.150 -11.370 -11.603 -11.722 -11.720 
7.67677 -2.140 -6.925 -9.242 -10.512 -11.090 -11.300 -11.526 -11.731 -11.688 
7.87879 -2.542 -6.641 -9.022 -10.415 -10.995 -11.224 -11.503 -11.640 -11.551 
8.08081 -1.876 -6.547 -8.910 -10.302 -10.911 -11.205 -11.382 -11.571 -11.558 
8.28283 -1.248 -6.343 -8.770 -10.168 -10.851 -11.060 -11.306 -11.512 -11.549 
8.48485 -0.974 -6.095 -8.660 -10.072 -10.742 -10.922 -11.232 -11.526 -11.622 
8.68687 -1.124 -6.041 -8.574 -9.992 -10.629 -10.859 -11.246 -11.442 -11.511 
8.88889 -1.169 -5.926 -8.475 -9.912 -10.535 -10.838 -11.179 -11.369 -11.422 
9.09091 -0.530 -5.715 -8.356 -9.785 -10.422 -10.769 -11.049 -11.337 -11.413 
9.29293 -0.280 -5.528 -8.211 -9.683 -10.356 -10.618 -10.998 -11.275 -11.322 
9.49495 -0.201 -5.532 -8.026 -9.579 -10.276 -10.488 -10.898 -11.230 -11.289 
9.69697 0.594 -5.344 -7.909 -9.468 -10.194 -10.456 -10.889 -11.192 -11.291 
9.89899 -0.141 -5.047 -7.863 -9.412 -10.078 -10.352 -10.792 -11.114 -11.247 
10.10101 -0.856 -4.746 -7.632 -9.261 -10.001 -10.333 -10.718 -11.050 -11.189 
10.30303 0.654 -4.650 -7.592 -9.180 -9.932 -10.197 -10.679 -11.000 -11.182 
10.50505 1.574 -4.557 -7.500 -9.096 -9.807 -10.115 -10.591 -10.923 -11.136 
10.70707 1.677 -4.352 -7.427 -9.000 -9.674 -10.058 -10.498 -10.944 -11.134 
10.90909 1.883 -4.273 -7.214 -8.882 -9.659 -9.973 -10.449 -10.868 -10.970 
11.11111 1.840 -4.011 -7.192 -8.806 -9.523 -9.785 -10.372 -10.791 -10.984 
11.31313 2.071 -3.867 -6.980 -8.640 -9.465 -9.754 -10.340 -10.779 -11.031 
11.51515 2.068 -4.155 -6.911 -8.547 -9.367 -9.674 -10.295 -10.738 -11.021 
11.71717 1.893 -3.799 -6.832 -8.481 -9.297 -9.626 -10.283 -10.720 -10.922 
11.91919 1.779 -3.631 -6.742 -8.400 -9.156 -9.543 -10.154 -10.628 -10.890 
12.12121 1.703 -3.643 -6.497 -8.299 -9.152 -9.493 -10.075 -10.585 -10.827 
12.32323 3.373 -3.565 -6.531 -8.219 -9.034 -9.400 -10.061 -10.559 -10.758 
12.52525 3.852 -3.372 -6.439 -8.080 -8.927 -9.283 -9.966 -10.552 -10.743 
12.72727 4.018 -3.147 -6.368 -8.097 -8.858 -9.214 -9.941 -10.456 -10.766 
12.92929 4.069 -3.104 -6.196 -8.047 -8.877 -9.172 -9.865 -10.432 -10.768 
13.13131 4.185 -3.330 -6.018 -7.868 -8.718 -9.116 -9.802 -10.396 -10.675 
13.33333 3.098 -2.355 -5.822 -7.808 -8.698 -8.974 -9.703 -10.365 -10.672 
13.53535 4.810 -2.909 -5.965 -7.694 -8.451 -8.905 -9.701 -10.294 -10.657 
13.73737 3.264 -2.396 -5.901 -7.703 -8.536 -8.884 -9.642 -10.259 -10.614 
13.93939 5.231 -2.220 -5.651 -7.585 -8.506 -8.809 -9.554 -10.235 -10.591 
14.14141 3.020 -2.423 -5.635 -7.473 -8.328 -8.793 -9.498 -10.242 -10.614 
14.34343 5.639 -2.228 -5.538 -7.323 -8.304 -8.632 -9.453 -10.130 -10.555 
14.54545 5.418 -1.841 -5.375 -7.275 -8.147 -8.602 -9.410 -10.103 -10.543 
14.74747 5.384 -2.036 -5.206 -7.180 -8.111 -8.549 -9.343 -10.045 -10.452 
14.94949 5.067 -1.497 -5.240 -7.094 -8.064 -8.480 -9.255 -10.004 -10.475 
15.15152 6.277 -1.443 -4.975 -6.963 -7.886 -8.396 -9.227 -9.978 -10.457 
15.35354 5.443 -1.478 -5.050 -6.922 -7.876 -8.225 -9.133 -9.992 -10.336 
15.55556 3.233 -1.766 -4.990 -6.823 -7.789 -8.216 -9.108 -9.948 -10.362 
15.75758 7.117 -1.187 -4.864 -6.718 -7.756 -8.226 -9.036 -9.846 -10.307 
15.95960 7.073 -1.340 -4.904 -6.756 -7.686 -8.098 -9.064 -9.848 -10.292 
16.16162 8.095 -1.743 -4.622 -6.615 -7.476 -8.007 -8.949 -9.785 -10.272 
16.36364 5.905 -1.786 -4.511 -6.491 -7.518 -8.032 -8.887 -9.791 -10.212 
16.56566 5.474 -0.935 -4.599 -6.493 -7.485 -7.834 -8.889 -9.664 -10.200 
