# t[days] u g r i z y J H K
0.20202 -12.453 -10.571 -10.572 -8.396 -8.600 -7.200 -5.915 -4.938 -4.972 
0.40404 -13.949 -14.167 -14.933 -15.026 -14.542 -14.442 -10.089 -12.298 -11.387 
0.60606 -14.205 -15.108 -15.553 -15.394 -15.042 -14.624 -14.521 -14.733 -13.163 
0.80808 -14.455 -15.320 -15.905 -15.652 -15.615 -15.530 -14.877 -15.387 -13.818 
1.01010 -14.493 -15.563 -15.928 -16.092 -15.788 -16.106 -15.487 -14.878 -14.575 
1.21212 -14.307 -15.680 -16.050 -16.119 -16.010 -15.955 -15.924 -15.813 -15.453 
1.41414 -14.152 -15.632 -16.149 -16.293 -16.070 -16.134 -15.949 -15.903 -14.688 
1.61616 -13.652 -15.336 -15.957 -16.238 -16.235 -16.199 -15.881 -16.156 -15.509 
1.81818 -13.410 -15.370 -16.038 -16.166 -16.138 -16.254 -16.052 -15.909 -15.753 
2.02020 -12.746 -15.076 -15.720 -15.996 -16.077 -16.009 -16.180 -15.988 -16.108 
2.22222 -12.206 -14.903 -15.696 -15.987 -15.760 -15.908 -16.112 -16.266 -15.735 
2.42424 -11.919 -14.575 -15.283 -15.772 -15.840 -15.923 -15.909 -16.186 -15.956 
2.62626 -11.915 -14.246 -15.064 -15.600 -15.779 -15.891 -15.931 -15.855 -15.820 
2.82828 -11.678 -13.869 -15.034 -15.352 -15.662 -15.513 -15.856 -15.959 -15.845 
3.03030 -11.802 -13.576 -14.458 -15.072 -15.408 -15.451 -15.468 -15.762 -15.745 
3.23232 -11.279 -13.342 -14.274 -14.876 -14.963 -15.331 -15.549 -15.727 -15.680 
3.43434 -11.176 -13.008 -14.008 -14.572 -15.059 -15.304 -15.451 -15.415 -15.598 
3.63636 -11.095 -12.787 -13.817 -14.299 -14.910 -15.259 -15.367 -15.562 -15.643 
3.83838 -10.917 -12.652 -13.807 -14.504 -14.769 -15.148 -15.204 -15.166 -15.451 
4.04040 -10.767 -12.481 -13.651 -14.159 -14.717 -14.911 -15.046 -15.051 -15.400 
4.24242 -10.673 -12.332 -13.300 -14.038 -14.566 -14.713 -15.039 -15.181 -15.438 
4.44444 -10.589 -12.097 -13.186 -14.078 -14.634 -14.774 -15.035 -15.241 -15.166 
4.64646 -10.254 -11.857 -13.031 -13.776 -14.305 -14.705 -14.938 -15.078 -15.091 
4.84848 -10.239 -11.700 -12.896 -13.618 -14.341 -14.620 -14.819 -15.021 -15.140 
5.05051 -10.134 -11.500 -12.708 -13.590 -14.285 -14.509 -14.673 -14.995 -15.065 
5.25253 -9.896 -11.478 -12.613 -13.366 -14.061 -14.498 -14.617 -14.918 -14.872 
5.45455 -9.776 -11.295 -12.406 -13.374 -13.950 -14.370 -14.557 -14.667 -14.932 
5.65657 -9.685 -10.958 -12.291 -13.157 -13.990 -14.247 -14.589 -14.736 -14.870 
5.85859 -9.505 -11.183 -12.198 -13.216 -13.800 -14.186 -14.489 -14.746 -14.851 
6.06061 -9.205 -10.709 -12.114 -13.093 -13.863 -14.158 -14.323 -14.684 -14.665 
6.26263 -9.184 -10.614 -11.999 -13.115 -13.783 -13.949 -14.225 -14.428 -14.709 
6.46465 -8.937 -10.431 -11.816 -12.928 -13.665 -14.149 -14.205 -14.442 -14.541 
6.66667 -8.922 -10.629 -11.864 -12.681 -13.610 -14.067 -14.250 -14.505 -14.518 
6.86869 -8.985 -10.408 -11.950 -12.744 -13.618 -13.977 -14.148 -14.339 -14.516 
7.07071 -8.586 -10.449 -11.593 -12.635 -13.444 -13.928 -13.985 -14.367 -14.392 
7.27273 -8.653 -10.242 -11.527 -12.796 -13.524 -13.825 -14.015 -14.211 -14.328 
7.47475 -8.295 -9.853 -11.699 -12.770 -13.481 -13.747 -13.924 -14.080 -14.237 
7.67677 -8.177 -10.072 -11.466 -12.559 -13.424 -13.688 -13.895 -14.197 -14.288 
7.87879 -8.107 -10.004 -11.525 -12.606 -13.388 -13.699 -13.844 -14.045 -14.167 
8.08081 -7.881 -9.889 -11.298 -12.676 -13.220 -13.629 -13.887 -13.979 -14.257 
8.28283 -7.925 -9.844 -11.417 -12.468 -13.152 -13.508 -13.706 -13.951 -14.147 
8.48485 -7.608 -9.657 -11.367 -12.310 -13.162 -13.431 -13.782 -14.006 -14.095 
8.68687 -7.619 -9.483 -10.947 -12.249 -13.109 -13.533 -13.658 -13.766 -14.021 
8.88889 -7.402 -9.493 -10.835 -12.250 -13.061 -13.450 -13.631 -13.744 -13.983 
9.09091 -7.596 -9.405 -10.963 -12.204 -13.006 -13.387 -13.589 -13.796 -13.932 
9.29293 -7.055 -9.236 -10.779 -12.172 -12.951 -13.284 -13.527 -13.733 -14.046 
9.49495 -6.911 -8.998 -10.654 -11.903 -12.865 -13.330 -13.474 -13.587 -14.015 
9.69697 -6.837 -9.325 -10.605 -12.000 -12.785 -13.227 -13.495 -13.614 -13.765 
9.89899 -6.864 -9.376 -10.483 -11.773 -12.678 -13.124 -13.406 -13.533 -13.677 
10.10101 -6.665 -9.004 -10.450 -11.732 -12.755 -13.160 -13.468 -13.419 -13.670 
10.30303 -6.677 -8.663 -10.583 -11.818 -12.703 -12.995 -13.350 -13.474 -13.742 
10.50505 -6.366 -8.697 -10.266 -11.719 -12.624 -12.958 -13.274 -13.464 -13.566 
10.70707 -6.157 -8.453 -10.226 -11.600 -12.640 -12.951 -13.320 -13.490 -13.475 
10.90909 -6.147 -8.348 -10.123 -11.484 -12.445 -12.953 -13.165 -13.422 -13.482 
11.11111 -5.918 -8.365 -10.119 -11.438 -12.352 -12.833 -13.076 -13.324 -13.377 
11.31313 -5.966 -8.240 -10.156 -11.446 -12.350 -12.871 -13.143 -13.283 -13.613 
11.51515 -5.697 -8.052 -10.078 -11.438 -12.245 -12.739 -13.102 -13.305 -13.500 
11.71717 -5.626 -8.014 -9.854 -11.357 -12.226 -12.680 -13.163 -13.280 -13.358 
11.91919 -5.344 -7.787 -9.869 -11.311 -12.129 -12.585 -13.046 -13.298 -13.228 
12.12121 -5.163 -7.838 -9.797 -11.241 -12.121 -12.604 -12.977 -13.185 -13.160 
12.32323 -4.980 -7.536 -9.629 -11.170 -12.079 -12.589 -12.969 -13.153 -13.304 
12.52525 -5.120 -7.337 -9.488 -11.015 -12.004 -12.471 -12.918 -13.072 -13.258 
12.72727 -4.869 -7.404 -9.537 -11.096 -11.949 -12.430 -12.848 -13.093 -13.117 
12.92929 -4.651 -7.287 -9.345 -10.922 -11.905 -12.470 -12.883 -13.031 -13.149 
13.13131 -4.698 -7.511 -9.482 -10.937 -11.788 -12.361 -12.798 -12.961 -13.186 
13.33333 -4.319 -7.175 -9.159 -10.870 -11.885 -12.341 -12.800 -13.006 -13.078 
13.53535 -4.241 -6.879 -9.017 -10.715 -11.720 -12.195 -12.650 -12.914 -13.044 
13.73737 -4.189 -6.882 -8.944 -10.676 -11.681 -12.197 -12.585 -12.815 -12.981 
13.93939 -4.072 -6.806 -8.982 -10.580 -11.658 -12.196 -12.561 -12.879 -12.918 
14.14141 -3.956 -6.606 -8.942 -10.600 -11.525 -12.070 -12.596 -12.786 -12.925 
14.34343 -3.770 -6.404 -8.792 -10.510 -11.522 -12.007 -12.487 -12.737 -12.932 
14.54545 -3.668 -6.243 -8.616 -10.320 -11.458 -12.014 -12.456 -12.769 -12.827 
14.74747 -3.626 -6.221 -8.580 -10.301 -11.285 -11.928 -12.528 -12.705 -12.891 
14.94949 -3.582 -6.419 -8.597 -10.136 -11.272 -11.857 -12.371 -12.686 -12.849 
15.15152 -3.493 -6.057 -8.331 -10.165 -11.304 -11.831 -12.415 -12.642 -12.757 
15.35354 -3.246 -6.560 -8.383 -10.243 -11.185 -11.785 -12.331 -12.707 -12.794 
