# t[days] u g r i z y J H K
0.20202 -10.844 -11.049 -12.383 -10.555 -8.484 -9.571 -11.017 -4.904 -5.003 
0.40404 -14.143 -14.924 -15.407 -15.224 -13.929 -14.356 -13.638 -12.699 -10.000 
0.60606 -14.959 -15.896 -16.436 -16.107 -15.863 -15.512 -14.828 -13.937 -14.155 
0.80808 -15.135 -16.310 -16.631 -16.490 -16.199 -16.053 -15.510 -15.333 -14.659 
1.01010 -15.218 -16.424 -16.909 -16.779 -16.673 -16.399 -16.032 -15.598 -15.438 
1.21212 -15.141 -16.585 -17.012 -16.904 -16.695 -16.617 -16.387 -16.077 -15.604 
1.41414 -14.828 -16.341 -16.970 -16.937 -16.879 -16.823 -16.594 -16.214 -15.739 
1.61616 -14.396 -16.274 -16.962 -16.981 -16.878 -16.795 -16.714 -16.467 -16.011 
1.81818 -14.035 -16.050 -16.770 -16.898 -16.831 -16.731 -16.708 -16.251 -16.111 
2.02020 -13.686 -15.819 -16.681 -16.741 -16.845 -16.765 -16.711 -16.481 -16.144 
2.22222 -13.152 -15.581 -16.465 -16.586 -16.484 -16.686 -16.603 -16.484 -16.259 
2.42424 -12.993 -15.279 -16.142 -16.339 -16.458 -16.651 -16.471 -16.303 -16.201 
2.62626 -12.434 -14.999 -15.887 -16.093 -16.234 -16.337 -16.383 -16.137 -16.065 
2.82828 -12.123 -14.539 -15.612 -15.968 -16.182 -16.238 -16.296 -16.226 -15.927 
3.03030 -11.628 -14.305 -15.335 -15.727 -15.922 -16.189 -16.134 -16.153 -15.856 
3.23232 -11.370 -14.099 -14.985 -15.515 -15.864 -16.031 -16.073 -15.940 -15.866 
3.43434 -11.204 -13.861 -14.763 -15.357 -15.653 -15.866 -15.878 -15.776 -15.568 
3.63636 -10.811 -13.544 -14.634 -15.216 -15.431 -15.718 -15.784 -15.802 -15.641 
3.83838 -10.601 -13.378 -14.449 -15.048 -15.396 -15.579 -15.598 -15.741 -15.618 
4.04040 -10.502 -13.101 -14.205 -14.869 -15.334 -15.412 -15.672 -15.795 -15.640 
4.24242 -10.489 -13.016 -14.084 -14.764 -15.107 -15.289 -15.519 -15.532 -15.475 
