# t[days] u g r i z y J H K
0.20202 -10.822 -11.925 -11.400 -12.360 -10.708 -11.697 -11.641 -9.448 -4.776 
0.40404 -13.759 -14.244 -14.542 -14.403 -13.846 -13.788 -12.331 -12.758 -11.416 
0.60606 -13.525 -14.648 -14.493 -14.542 -14.107 -13.169 -13.448 -12.008 -13.493 
0.80808 -13.283 -14.407 -14.458 -14.535 -14.283 -14.344 -14.266 -13.414 -13.994 
1.01010 -12.881 -14.381 -14.559 -14.981 -14.667 -14.614 -14.082 -13.997 -13.723 
1.21212 -12.717 -14.518 -14.803 -15.096 -15.399 -15.202 -14.762 -14.981 -14.929 
1.41414 -13.064 -14.392 -14.893 -15.218 -15.505 -15.494 -15.347 -15.257 -14.816 
1.61616 -13.254 -14.612 -15.096 -15.476 -15.696 -15.855 -15.454 -15.670 -15.110 
1.81818 -13.107 -14.308 -14.924 -15.426 -15.965 -15.760 -15.709 -15.604 -15.075 
2.02020 -12.556 -14.000 -14.833 -15.355 -15.723 -15.773 -15.821 -15.700 -15.532 
2.22222 -12.462 -13.759 -14.703 -15.202 -15.634 -15.703 -15.633 -15.601 -15.528 
2.42424 -12.406 -13.590 -14.482 -15.147 -15.589 -15.701 -15.661 -15.568 -15.370 
2.62626 -11.780 -13.122 -14.253 -14.962 -15.440 -15.627 -15.590 -15.419 -15.187 
2.82828 -11.891 -13.018 -14.000 -14.750 -15.266 -15.589 -15.424 -15.500 -15.119 
3.03030 -11.966 -12.765 -13.860 -14.659 -15.214 -15.498 -15.341 -15.223 -14.829 
3.23232 -11.359 -12.617 -13.717 -14.547 -15.137 -15.339 -15.136 -14.960 -15.024 
3.43434 -11.411 -12.611 -13.587 -14.363 -14.869 -15.189 -15.060 -14.936 -14.713 
3.63636 -11.190 -12.456 -13.430 -14.299 -14.833 -15.127 -14.992 -14.859 -14.658 
3.83838 -11.204 -12.370 -13.413 -14.196 -14.751 -14.990 -14.913 -14.788 -14.620 
4.04040 -10.926 -12.232 -13.352 -14.126 -14.615 -14.873 -14.733 -14.756 -14.567 
4.24242 -10.499 -12.071 -13.080 -13.893 -14.525 -14.861 -14.659 -14.518 -14.394 
4.44444 -10.666 -12.008 -13.056 -13.858 -14.441 -14.606 -14.527 -14.321 -14.112 
4.64646 -10.229 -11.940 -12.968 -13.681 -14.243 -14.516 -14.415 -14.348 -14.256 
4.84848 -9.999 -11.832 -12.912 -13.761 -14.213 -14.451 -14.381 -14.177 -14.021 
5.05051 -9.935 -11.642 -12.855 -13.498 -14.052 -14.406 -14.299 -14.192 -14.092 
5.25253 -9.686 -11.415 -12.585 -13.433 -14.014 -14.310 -14.147 -13.963 -13.818 
5.45455 -9.643 -11.391 -12.547 -13.448 -13.957 -14.219 -14.138 -13.977 -13.874 
5.65657 -9.327 -11.171 -12.383 -13.292 -13.935 -14.119 -14.057 -13.782 -13.692 
5.85859 -8.783 -10.957 -12.208 -13.168 -13.755 -13.949 -13.961 -13.799 -13.697 
6.06061 -8.756 -10.925 -12.233 -13.083 -13.599 -13.934 -13.933 -13.780 -13.583 
6.26263 -8.688 -10.759 -12.024 -13.047 -13.576 -13.893 -13.817 -13.648 -13.490 
6.46465 -8.300 -10.512 -11.926 -12.877 -13.463 -13.669 -13.773 -13.627 -13.447 
6.66667 -8.041 -10.446 -11.754 -12.756 -13.277 -13.626 -13.644 -13.589 -13.350 
6.86869 -7.722 -10.101 -11.716 -12.734 -13.282 -13.652 -13.526 -13.533 -13.250 
7.07071 -7.861 -10.123 -11.548 -12.543 -13.197 -13.469 -13.569 -13.473 -13.223 
7.27273 -7.752 -9.877 -11.404 -12.425 -13.085 -13.457 -13.436 -13.406 -13.301 
7.47475 -7.172 -9.853 -11.257 -12.327 -13.004 -13.358 -13.381 -13.340 -13.150 
7.67677 -6.979 -9.833 -11.101 -12.217 -12.936 -13.295 -13.308 -13.270 -13.076 
7.87879 -6.983 -9.513 -11.110 -12.252 -12.875 -13.078 -13.237 -13.146 -13.115 
8.08081 -6.560 -9.438 -10.960 -12.080 -12.760 -13.121 -13.245 -13.121 -13.036 
8.28283 -6.483 -9.032 -10.842 -11.992 -12.639 -12.992 -13.127 -13.026 -12.992 
8.48485 -5.892 -8.940 -10.860 -11.896 -12.561 -12.886 -13.054 -13.030 -12.817 
8.68687 -6.274 -8.745 -10.543 -11.779 -12.533 -12.839 -12.999 -12.968 -12.732 
8.88889 -5.827 -8.666 -10.468 -11.691 -12.373 -12.720 -12.977 -12.998 -12.763 
9.09091 -5.603 -8.381 -10.316 -11.605 -12.246 -12.595 -12.859 -12.877 -12.736 
9.29293 -4.844 -8.257 -10.238 -11.454 -12.189 -12.630 -12.818 -12.812 -12.791 
9.49495 -5.070 -8.350 -10.166 -11.545 -12.202 -12.515 -12.769 -12.848 -12.665 
9.69697 -4.613 -8.221 -10.086 -11.318 -12.103 -12.475 -12.767 -12.808 -12.698 
9.89899 -4.735 -7.734 -9.949 -11.284 -11.996 -12.403 -12.704 -12.698 -12.681 
10.10101 -4.181 -7.629 -9.809 -11.126 -11.925 -12.357 -12.641 -12.736 -12.584 
10.30303 -4.151 -7.447 -9.693 -11.150 -11.816 -12.295 -12.561 -12.730 -12.605 
10.50505 -3.879 -7.562 -9.592 -10.944 -11.830 -12.239 -12.586 -12.614 -12.638 
10.70707 -3.996 -7.362 -9.466 -10.905 -11.809 -12.185 -12.499 -12.703 -12.588 
10.90909 -3.775 -6.999 -9.326 -10.857 -11.720 -12.144 -12.464 -12.703 -12.556 
11.11111 -4.137 -6.989 -9.351 -10.759 -11.657 -12.144 -12.465 -12.615 -12.522 
11.31313 -3.417 -7.105 -9.213 -10.693 -11.604 -12.020 -12.446 -12.617 -12.508 
11.51515 -2.840 -6.733 -9.129 -10.680 -11.589 -12.005 -12.414 -12.524 -12.640 
11.71717 -3.023 -6.599 -9.013 -10.557 -11.517 -11.937 -12.340 -12.553 -12.520 
11.91919 -2.820 -6.407 -8.865 -10.508 -11.522 -11.959 -12.294 -12.535 -12.478 
12.12121 -3.563 -6.343 -8.725 -10.397 -11.392 -11.836 -12.260 -12.518 -12.480 
12.32323 -2.473 -6.084 -8.670 -10.314 -11.315 -11.783 -12.212 -12.472 -12.480 
12.52525 -2.763 -6.013 -8.552 -10.345 -11.253 -11.692 -12.240 -12.484 -12.478 
12.72727 -2.470 -5.752 -8.588 -10.217 -11.291 -11.760 -12.160 -12.427 -12.448 
12.92929 -1.849 -5.686 -8.444 -10.150 -11.139 -11.641 -12.135 -12.410 -12.466 
13.13131 -1.745 -5.688 -8.350 -10.080 -11.122 -11.658 -12.096 -12.450 -12.412 
13.33333 -1.702 -5.721 -8.302 -10.033 -11.088 -11.639 -12.086 -12.365 -12.435 
13.53535 -1.544 -5.291 -8.144 -9.966 -11.002 -11.627 -12.070 -12.376 -12.453 
13.73737 -1.465 -5.238 -7.989 -9.897 -10.897 -11.563 -12.049 -12.381 -12.403 
13.93939 -1.276 -5.309 -8.003 -9.792 -10.934 -11.474 -12.036 -12.343 -12.429 
14.14141 -2.448 -4.750 -7.819 -9.736 -10.863 -11.459 -12.000 -12.333 -12.338 
14.34343 -1.056 -5.762 -7.828 -9.741 -10.793 -11.480 -11.891 -12.316 -12.420 
14.54545 -0.942 -4.732 -7.715 -9.622 -10.734 -11.296 -11.919 -12.242 -12.388 
14.74747 -0.772 -4.624 -7.608 -9.589 -10.647 -11.278 -11.899 -12.251 -12.354 
14.94949 -0.716 -4.450 -7.491 -9.457 -10.604 -11.218 -11.874 -12.234 -12.401 
15.15152 -0.563 -4.272 -7.359 -9.583 -10.593 -11.218 -11.761 -12.208 -12.313 
15.35354 -0.350 -4.538 -7.392 -9.323 -10.591 -11.182 -11.766 -12.173 -12.296 
15.55556 -0.600 -4.060 -7.328 -9.335 -10.520 -11.087 -11.703 -12.245 -12.233 
15.75758 -0.001 -4.233 -7.179 -9.322 -10.444 -11.046 -11.672 -12.075 -12.234 
