# t[days] u g r i z y J H K
0.20202 -12.798 -12.953 -13.134 -12.362 -12.130 -10.720 -10.080 -11.096 -1.428 
0.40404 -13.663 -14.378 -14.394 -14.206 -14.062 -14.124 -13.286 -12.708 -12.172 
0.60606 -13.827 -14.648 -14.922 -14.882 -14.628 -14.403 -13.970 -13.499 -13.242 
0.80808 -13.579 -14.616 -14.902 -14.893 -14.893 -14.809 -14.429 -14.045 -13.639 
1.01010 -13.174 -14.288 -14.710 -14.982 -15.066 -15.018 -14.740 -14.343 -13.941 
1.21212 -12.654 -13.988 -14.516 -14.833 -15.100 -15.024 -14.741 -14.598 -14.033 
1.41414 -12.176 -13.517 -14.314 -14.790 -15.059 -14.969 -14.791 -14.526 -14.379 
1.61616 -11.646 -13.211 -14.030 -14.603 -14.893 -14.866 -14.698 -14.536 -14.194 
1.81818 -11.438 -12.870 -13.836 -14.409 -14.657 -14.843 -14.541 -14.344 -14.150 
2.02020 -11.290 -12.782 -13.651 -14.259 -14.576 -14.578 -14.437 -14.288 -13.995 
2.22222 -10.783 -12.332 -13.390 -14.063 -14.376 -14.484 -14.332 -14.127 -13.973 
2.42424 -10.288 -12.058 -13.032 -13.825 -14.119 -14.262 -14.097 -13.943 -13.921 
2.62626 -10.064 -11.712 -12.848 -13.552 -13.939 -14.061 -13.910 -13.813 -13.822 
2.82828 -9.557 -11.459 -12.644 -13.381 -13.806 -13.853 -13.745 -13.611 -13.555 
3.03030 -9.489 -11.242 -12.481 -13.226 -13.598 -13.774 -13.628 -13.519 -13.540 
3.23232 -8.703 -10.942 -12.230 -12.994 -13.400 -13.515 -13.486 -13.242 -13.359 
3.43434 -8.658 -10.647 -12.013 -12.854 -13.236 -13.324 -13.258 -13.279 -13.037 
3.63636 -8.397 -10.473 -11.855 -12.622 -13.031 -13.126 -13.097 -12.970 -13.006 
3.83838 -8.076 -10.286 -11.695 -12.490 -12.897 -13.060 -13.012 -12.920 -12.834 
4.04040 -7.733 -10.079 -11.482 -12.335 -12.809 -12.914 -12.863 -12.786 -12.679 
4.24242 -7.612 -10.015 -11.404 -12.184 -12.605 -12.718 -12.711 -12.649 -12.641 
4.44444 -7.239 -9.756 -11.197 -12.083 -12.515 -12.581 -12.639 -12.580 -12.483 
4.64646 -7.021 -9.528 -11.038 -11.975 -12.368 -12.472 -12.407 -12.456 -12.409 
4.84848 -6.668 -9.289 -10.918 -11.828 -12.274 -12.352 -12.393 -12.289 -12.364 
5.05051 -6.339 -9.160 -10.757 -11.746 -12.161 -12.308 -12.305 -12.236 -12.238 
5.25253 -5.918 -8.949 -10.608 -11.584 -12.061 -12.206 -12.262 -12.207 -12.170 
5.45455 -5.764 -8.782 -10.466 -11.495 -11.948 -12.085 -12.133 -12.124 -12.051 
5.65657 -5.278 -8.572 -10.381 -11.375 -11.892 -11.993 -12.121 -12.034 -12.056 
5.85859 -5.122 -8.340 -10.185 -11.264 -11.769 -11.992 -12.058 -12.039 -11.937 
6.06061 -4.854 -8.218 -10.092 -11.211 -11.698 -11.895 -11.955 -11.958 -11.926 
6.26263 -4.196 -7.995 -9.936 -11.060 -11.602 -11.780 -11.936 -11.944 -11.883 
6.46465 -5.718 -7.834 -9.804 -10.980 -11.539 -11.713 -11.822 -11.905 -11.818 
6.66667 -3.845 -7.593 -9.762 -10.928 -11.489 -11.688 -11.823 -11.855 -11.824 
6.86869 -3.284 -7.544 -9.647 -10.862 -11.383 -11.598 -11.739 -11.808 -11.746 
7.07071 -3.707 -7.243 -9.479 -10.680 -11.321 -11.463 -11.709 -11.765 -11.689 
7.27273 -3.071 -7.150 -9.381 -10.658 -11.254 -11.455 -11.676 -11.729 -11.667 
7.47475 -2.992 -6.935 -9.267 -10.546 -11.102 -11.330 -11.559 -11.688 -11.653 
7.67677 -2.127 -6.843 -9.107 -10.435 -11.071 -11.258 -11.481 -11.687 -11.635 
7.87879 -2.526 -6.409 -9.003 -10.363 -10.903 -11.152 -11.429 -11.601 -11.513 
8.08081 -1.639 -6.501 -8.839 -10.215 -10.873 -11.159 -11.362 -11.552 -11.594 
8.28283 -1.150 -6.122 -8.701 -10.138 -10.739 -11.052 -11.283 -11.457 -11.515 
8.48485 -1.136 -6.051 -8.596 -10.013 -10.700 -10.917 -11.235 -11.438 -11.449 
8.68687 -1.480 -5.784 -8.463 -9.927 -10.605 -10.825 -11.154 -11.443 -11.538 
8.88889 -0.372 -5.847 -8.395 -9.836 -10.505 -10.787 -11.136 -11.301 -11.388 
9.09091 -0.547 -5.643 -8.195 -9.718 -10.388 -10.761 -11.047 -11.305 -11.370 
9.29293 -0.204 -5.363 -8.136 -9.643 -10.303 -10.572 -10.937 -11.248 -11.270 
9.49495 0.290 -5.443 -8.002 -9.494 -10.265 -10.497 -10.874 -11.211 -11.273 
9.69697 -1.272 -5.220 -7.909 -9.486 -10.146 -10.426 -10.849 -11.149 -11.268 
9.89899 0.943 -4.931 -7.771 -9.342 -10.051 -10.315 -10.781 -11.068 -11.164 
10.10101 0.839 -4.802 -7.628 -9.216 -9.995 -10.271 -10.708 -11.010 -11.181 
10.30303 1.072 -4.512 -7.478 -9.145 -9.877 -10.228 -10.603 -10.947 -11.120 
10.50505 1.715 -4.430 -7.417 -9.002 -9.760 -10.112 -10.578 -10.923 -11.112 
10.70707 1.695 -4.404 -7.410 -8.941 -9.662 -9.961 -10.490 -10.902 -11.068 
10.90909 1.721 -4.238 -7.122 -8.935 -9.633 -9.992 -10.420 -10.811 -10.993 
11.11111 2.397 -3.898 -7.076 -8.744 -9.514 -9.817 -10.339 -10.800 -10.971 
11.31313 2.288 -4.147 -7.042 -8.644 -9.451 -9.767 -10.305 -10.722 -10.947 
11.51515 1.338 -3.850 -6.842 -8.535 -9.285 -9.605 -10.290 -10.752 -10.994 
