# t[days] u g r i z y J H K
0.20202 -10.804 -11.297 -12.752 -11.467 -12.866 -8.807 -7.265 -7.354 -5.260 
0.40404 -13.955 -14.316 -14.766 -14.547 -14.309 -14.274 -13.703 -12.393 -10.694 
0.60606 -14.574 -15.294 -15.676 -15.775 -15.318 -14.678 -14.311 -14.033 -13.735 
0.80808 -14.506 -15.493 -15.906 -15.879 -15.678 -15.209 -14.914 -14.397 -13.726 
1.01010 -14.262 -15.529 -16.128 -16.041 -15.870 -15.584 -15.391 -15.004 -14.520 
1.21212 -13.890 -15.381 -16.067 -16.209 -15.994 -15.821 -15.477 -15.241 -15.030 
1.41414 -13.455 -15.191 -15.945 -16.058 -15.982 -15.804 -15.555 -15.402 -14.710 
1.61616 -13.032 -14.937 -15.766 -15.891 -15.767 -15.817 -15.571 -15.290 -14.884 
1.81818 -12.563 -14.701 -15.512 -15.747 -15.728 -15.602 -15.424 -15.413 -15.088 
2.02020 -12.227 -14.404 -15.290 -15.435 -15.475 -15.598 -15.476 -15.329 -15.092 
2.22222 -11.710 -14.029 -15.007 -15.287 -15.329 -15.259 -15.285 -15.229 -15.001 
2.42424 -11.453 -13.714 -14.768 -15.089 -15.165 -15.133 -15.186 -15.081 -14.813 
2.62626 -11.081 -13.374 -14.437 -14.770 -14.948 -15.024 -15.058 -14.900 -14.810 
2.82828 -10.565 -13.107 -14.101 -14.595 -14.782 -14.921 -14.887 -14.818 -14.556 
3.03030 -10.301 -12.755 -13.859 -14.337 -14.548 -14.659 -14.742 -14.898 -14.565 
3.23232 -9.932 -12.401 -13.610 -14.094 -14.445 -14.492 -14.558 -14.762 -14.682 
3.43434 -9.781 -12.132 -13.367 -13.993 -14.279 -14.394 -14.395 -14.642 -14.431 
3.63636 -9.377 -11.931 -13.140 -13.699 -14.033 -14.158 -14.331 -14.567 -14.463 
3.83838 -8.988 -11.716 -12.939 -13.553 -13.904 -14.029 -14.180 -14.419 -14.415 
4.04040 -9.093 -11.501 -12.767 -13.406 -13.718 -13.870 -14.033 -14.305 -14.296 
4.24242 -8.655 -11.315 -12.618 -13.268 -13.585 -13.857 -14.065 -14.258 -14.274 
4.44444 -8.297 -11.075 -12.440 -13.006 -13.544 -13.817 -14.012 -14.191 -14.308 
4.64646 -8.150 -10.776 -12.271 -12.957 -13.445 -13.637 -13.832 -14.127 -14.155 
