# t[days] u g r i z y J H K
0.20202 -11.146 -11.492 -12.908 -11.152 -10.051 -12.717 -10.325 -4.943 -5.354 
0.40404 -14.490 -15.278 -15.533 -15.530 -14.869 -14.653 -13.733 -12.805 -10.761 
0.60606 -15.210 -16.113 -16.569 -16.306 -16.017 -15.774 -15.153 -14.382 -14.282 
0.80808 -15.413 -16.574 -16.822 -16.779 -16.361 -16.248 -15.959 -15.290 -14.958 
1.01010 -15.580 -16.676 -17.109 -16.961 -16.793 -16.686 -16.123 -16.031 -15.784 
1.21212 -15.345 -16.758 -17.200 -17.071 -16.914 -16.859 -16.686 -16.274 -15.807 
1.41414 -15.075 -16.611 -17.177 -17.164 -17.129 -17.007 -16.772 -16.526 -16.187 
1.61616 -14.753 -16.494 -17.188 -17.161 -17.139 -17.013 -16.967 -16.615 -16.085 
1.81818 -14.273 -16.274 -17.023 -17.095 -17.048 -17.000 -16.971 -16.693 -16.286 
2.02020 -13.925 -16.069 -16.870 -16.904 -17.037 -17.081 -17.003 -16.726 -16.302 
2.22222 -13.457 -15.832 -16.693 -16.730 -16.839 -16.932 -16.838 -16.672 -16.569 
2.42424 -13.163 -15.487 -16.312 -16.554 -16.654 -16.812 -16.780 -16.611 -16.295 
2.62626 -12.642 -15.248 -16.041 -16.391 -16.521 -16.663 -16.678 -16.392 -16.301 
2.82828 -12.380 -14.726 -15.795 -16.209 -16.322 -16.625 -16.544 -16.496 -16.222 
3.03030 -11.904 -14.560 -15.549 -15.951 -16.230 -16.460 -16.438 -16.402 -16.080 
3.23232 -11.526 -14.297 -15.250 -15.777 -16.127 -16.388 -16.332 -16.126 -16.025 
3.43434 -11.290 -13.996 -15.033 -15.567 -15.942 -16.146 -16.194 -16.102 -15.925 
3.63636 -11.008 -13.850 -14.901 -15.496 -15.740 -16.029 -16.102 -16.150 -15.876 
3.83838 -10.747 -13.546 -14.647 -15.323 -15.673 -15.943 -15.949 -16.002 -15.830 
4.04040 -10.687 -13.362 -14.499 -15.134 -15.604 -15.724 -15.907 -16.002 -15.775 
4.24242 -10.597 -13.239 -14.339 -15.033 -15.391 -15.680 -15.816 -15.760 -15.751 
4.44444 -10.341 -13.017 -14.289 -14.902 -15.353 -15.546 -15.708 -15.831 -15.663 
4.64646 -9.975 -12.826 -14.219 -14.886 -15.322 -15.554 -15.575 -15.700 -15.611 
4.84848 -9.955 -12.598 -13.871 -14.726 -15.117 -15.411 -15.602 -15.589 -15.518 
5.05051 -9.880 -12.483 -13.830 -14.537 -15.078 -15.348 -15.497 -15.429 -15.482 
5.25253 -9.509 -12.327 -13.588 -14.406 -14.878 -15.263 -15.402 -15.532 -15.384 
5.45455 -9.488 -12.244 -13.494 -14.317 -14.836 -15.153 -15.353 -15.351 -15.449 
5.65657 -9.358 -11.911 -13.436 -14.311 -14.793 -15.151 -15.260 -15.327 -15.388 
5.85859 -9.073 -11.841 -13.303 -14.108 -14.656 -15.023 -15.159 -15.277 -15.367 
6.06061 -8.877 -11.643 -13.125 -14.011 -14.585 -14.852 -15.088 -15.247 -15.290 
6.26263 -8.920 -11.662 -12.954 -13.884 -14.490 -14.794 -15.036 -15.189 -15.205 
6.46465 -8.683 -11.406 -12.863 -13.833 -14.440 -14.703 -14.918 -15.063 -15.163 
6.66667 -8.554 -11.216 -12.750 -13.718 -14.293 -14.640 -14.898 -14.974 -15.171 
6.86869 -8.516 -11.142 -12.616 -13.628 -14.199 -14.544 -14.784 -14.941 -14.985 
7.07071 -8.371 -10.983 -12.519 -13.517 -14.175 -14.507 -14.762 -14.859 -15.039 
7.27273 -8.212 -10.877 -12.437 -13.375 -14.091 -14.391 -14.688 -14.897 -14.974 
7.47475 -8.065 -10.858 -12.395 -13.364 -14.047 -14.389 -14.578 -14.800 -15.010 
7.67677 -7.895 -10.568 -12.310 -13.294 -13.880 -14.360 -14.533 -14.789 -14.834 
7.87879 -7.766 -10.573 -12.142 -13.087 -13.789 -14.212 -14.484 -14.721 -14.827 
8.08081 -7.506 -10.302 -11.965 -13.035 -13.762 -14.098 -14.382 -14.566 -14.746 
8.28283 -7.343 -10.217 -11.909 -12.958 -13.656 -14.025 -14.327 -14.597 -14.711 
8.48485 -7.076 -10.030 -11.814 -12.915 -13.571 -13.954 -14.301 -14.484 -14.656 
8.68687 -7.099 -9.958 -11.737 -12.752 -13.451 -13.841 -14.161 -14.485 -14.666 
8.88889 -6.999 -9.687 -11.538 -12.713 -13.361 -13.829 -14.108 -14.409 -14.525 
9.09091 -6.646 -9.712 -11.485 -12.611 -13.447 -13.815 -14.111 -14.359 -14.398 
9.29293 -6.405 -9.310 -11.323 -12.455 -13.266 -13.618 -13.971 -14.330 -14.514 
9.49495 -6.262 -9.318 -11.229 -12.543 -13.204 -13.633 -13.955 -14.210 -14.413 
9.69697 -6.151 -9.223 -11.113 -12.342 -13.187 -13.474 -13.894 -14.126 -14.374 
9.89899 -6.155 -9.438 -10.918 -12.228 -13.072 -13.455 -13.728 -14.119 -14.340 
10.10101 -5.799 -8.983 -10.954 -12.252 -12.972 -13.387 -13.761 -14.013 -14.334 
10.30303 -5.830 -8.917 -10.831 -12.128 -12.883 -13.315 -13.604 -13.993 -14.174 
10.50505 -5.778 -8.659 -10.677 -12.101 -12.845 -13.233 -13.593 -13.903 -14.187 
10.70707 -5.417 -8.801 -10.555 -11.818 -12.786 -13.145 -13.567 -13.914 -14.057 
10.90909 -5.396 -8.345 -10.524 -11.844 -12.639 -13.130 -13.501 -13.756 -14.023 
11.11111 -5.228 -8.341 -10.311 -11.802 -12.596 -13.093 -13.408 -13.760 -14.019 
11.31313 -5.093 -8.057 -10.274 -11.632 -12.490 -13.022 -13.420 -13.719 -13.963 
11.51515 -5.126 -7.912 -10.017 -11.608 -12.391 -12.932 -13.344 -13.698 -13.854 
11.71717 -4.801 -7.781 -10.285 -11.498 -12.337 -12.868 -13.269 -13.565 -13.807 
11.91919 -4.299 -7.612 -9.998 -11.372 -12.369 -12.766 -13.215 -13.603 -13.840 
12.12121 -4.219 -7.725 -9.784 -11.270 -12.250 -12.705 -13.111 -13.505 -13.719 
12.32323 -4.116 -7.436 -9.681 -11.127 -12.174 -12.665 -13.077 -13.433 -13.677 
12.52525 -3.928 -7.370 -9.590 -11.151 -12.140 -12.635 -13.050 -13.408 -13.682 
12.72727 -4.625 -7.174 -9.607 -11.053 -12.041 -12.462 -12.975 -13.327 -13.679 
12.92929 -4.424 -7.013 -9.359 -11.027 -11.960 -12.464 -12.936 -13.350 -13.601 
13.13131 -3.506 -6.858 -9.441 -10.973 -11.861 -12.400 -12.941 -13.250 -13.553 
13.33333 -3.351 -6.606 -9.269 -10.786 -11.826 -12.336 -12.900 -13.198 -13.506 
13.53535 -3.217 -6.841 -9.161 -10.792 -11.775 -12.280 -12.806 -13.190 -13.466 
13.73737 -3.466 -6.771 -9.113 -10.784 -11.734 -12.268 -12.764 -13.156 -13.455 
13.93939 -3.014 -6.437 -9.029 -10.583 -11.629 -12.153 -12.714 -13.088 -13.378 
14.14141 -3.320 -6.497 -8.855 -10.443 -11.529 -12.171 -12.683 -13.087 -13.359 
14.34343 -2.715 -6.121 -8.785 -10.470 -11.534 -12.096 -12.609 -12.999 -13.277 
14.54545 -3.293 -6.094 -8.750 -10.486 -11.438 -12.023 -12.619 -12.986 -13.289 
14.74747 -2.378 -6.306 -8.539 -10.318 -11.382 -11.980 -12.540 -13.021 -13.166 
14.94949 -2.234 -5.965 -8.799 -10.292 -11.307 -11.948 -12.548 -12.943 -13.202 
15.15152 -2.085 -5.678 -8.349 -10.214 -11.302 -11.912 -12.505 -12.935 -13.130 
15.35354 -1.915 -5.680 -8.178 -10.099 -11.281 -11.849 -12.471 -12.854 -13.141 
15.55556 -1.976 -5.675 -8.268 -10.036 -11.239 -11.819 -12.420 -12.848 -13.097 
15.75758 -1.704 -5.466 -8.069 -10.000 -11.088 -11.753 -12.378 -12.794 -13.037 
15.95960 -1.583 -5.612 -8.120 -9.991 -11.108 -11.671 -12.359 -12.740 -13.043 
16.16162 -1.523 -4.978 -7.911 -9.942 -11.060 -11.634 -12.287 -12.744 -13.034 
16.36364 -1.406 -5.064 -7.729 -9.775 -10.989 -11.595 -12.321 -12.736 -13.032 
16.56566 -1.405 -5.087 -7.825 -9.735 -10.934 -11.583 -12.277 -12.713 -12.971 
16.76768 -1.252 -5.162 -7.812 -9.738 -10.934 -11.508 -12.211 -12.727 -12.978 
16.96970 -2.149 -5.000 -7.580 -9.662 -10.837 -11.525 -12.239 -12.640 -13.002 
17.17172 -1.054 -4.807 -7.637 -9.582 -10.839 -11.531 -12.162 -12.668 -12.953 
17.37374 -1.091 -3.802 -7.404 -9.444 -10.743 -11.422 -12.106 -12.659 -12.856 
17.57576 -0.906 -4.496 -7.397 -9.327 -10.742 -11.432 -12.107 -12.596 -12.863 
17.77778 -0.873 -4.435 -7.305 -9.460 -10.648 -11.359 -12.086 -12.596 -12.905 
17.97980 -0.790 -4.403 -7.465 -9.321 -10.613 -11.361 -12.060 -12.568 -12.913 
18.18182 -0.710 -4.201 -7.187 -9.225 -10.542 -11.239 -12.018 -12.535 -12.851 
18.38384 -1.767 -3.833 -7.215 -9.211 -10.529 -11.188 -11.982 -12.497 -12.829 
18.58586 -0.564 -4.436 -6.792 -9.153 -10.471 -11.221 -11.969 -12.488 -12.773 
18.78788 -0.519 -4.210 -6.768 -9.132 -10.437 -11.200 -11.904 -12.476 -12.754 
18.98990 -0.423 -3.282 -6.804 -9.059 -10.430 -11.140 -11.907 -12.444 -12.723 
19.19192 -0.352 -3.379 -6.790 -8.936 -10.346 -11.102 -11.837 -12.405 -12.772 
