# t[days] u g r i z y J H K
0.20202 -11.982 -10.449 -9.931 -8.410 -8.755 -7.271 -6.019 -4.980 -4.752 
0.40404 -13.868 -14.070 -14.797 -14.890 -14.547 -14.286 -10.661 -12.527 -11.472 
0.60606 -14.015 -14.852 -15.416 -15.240 -14.906 -14.491 -14.490 -14.625 -13.164 
0.80808 -14.226 -15.131 -15.575 -15.309 -15.411 -15.253 -14.967 -15.355 -13.819 
1.01010 -14.223 -15.350 -15.686 -15.985 -15.592 -16.085 -15.471 -14.766 -14.425 
1.21212 -14.056 -15.499 -15.897 -15.975 -15.826 -15.896 -15.727 -15.718 -15.155 
1.41414 -13.879 -15.317 -15.960 -16.072 -16.045 -15.985 -15.837 -15.658 -14.600 
1.61616 -13.463 -15.158 -15.726 -16.084 -16.113 -16.164 -15.795 -15.970 -15.471 
1.81818 -12.986 -15.054 -15.773 -16.015 -15.970 -16.048 -15.945 -15.959 -15.406 
2.02020 -12.511 -14.811 -15.491 -15.810 -15.892 -15.895 -16.019 -15.925 -16.045 
2.22222 -11.779 -14.504 -15.505 -15.757 -15.522 -15.791 -15.955 -16.039 -15.777 
2.42424 -11.503 -14.091 -14.929 -15.617 -15.745 -15.543 -15.878 -16.052 -15.847 
2.62626 -11.689 -13.854 -14.819 -15.422 -15.481 -15.693 -15.689 -15.796 -15.669 
2.82828 -11.412 -13.351 -14.630 -15.084 -15.577 -15.312 -15.756 -15.722 -15.724 
3.03030 -11.505 -13.172 -14.266 -14.861 -15.239 -15.288 -15.376 -15.665 -15.814 
3.23232 -11.200 -12.795 -13.819 -14.669 -14.904 -15.153 -15.357 -15.590 -15.432 
3.43434 -11.047 -12.399 -13.761 -14.334 -14.826 -15.086 -15.289 -15.238 -15.501 
3.63636 -10.968 -12.427 -13.436 -14.118 -14.653 -15.015 -15.201 -15.445 -15.532 
3.83838 -10.775 -12.131 -13.392 -14.195 -14.582 -14.998 -15.054 -15.073 -15.374 
4.04040 -10.642 -11.990 -13.243 -13.932 -14.538 -14.710 -14.900 -14.925 -15.237 
4.24242 -10.508 -11.831 -12.979 -13.817 -14.411 -14.545 -14.867 -15.076 -15.281 
4.44444 -10.419 -11.650 -12.850 -13.809 -14.439 -14.534 -14.914 -15.118 -15.210 
