# t[days] u g r i z y J H K
0.20202 -10.988 -12.348 -11.247 -12.165 -12.283 -8.943 -9.794 -5.653 -5.751 
0.40404 -13.988 -14.052 -14.289 -15.030 -14.278 -14.140 -14.073 -11.534 -13.053 
0.60606 -14.369 -14.877 -15.078 -15.125 -14.993 -14.799 -13.972 -14.377 -13.768 
0.80808 -14.336 -15.048 -15.262 -15.300 -15.208 -15.507 -14.821 -14.260 -14.497 
1.01010 -13.944 -15.198 -15.558 -15.638 -15.500 -15.308 -15.436 -14.892 -14.764 
1.21212 -13.751 -15.315 -15.642 -15.906 -15.766 -15.652 -15.440 -15.529 -14.728 
1.41414 -13.430 -15.086 -15.740 -15.904 -15.943 -15.732 -15.539 -15.750 -15.055 
1.61616 -12.989 -14.779 -15.626 -15.897 -15.972 -15.926 -15.560 -15.733 -15.337 
1.81818 -12.293 -14.489 -15.294 -15.707 -15.667 -15.532 -15.703 -15.835 -15.771 
2.02020 -12.333 -14.148 -15.051 -15.593 -15.662 -15.590 -15.583 -15.622 -15.437 
2.22222 -11.805 -13.721 -14.681 -15.247 -15.371 -15.231 -15.495 -15.678 -15.465 
2.42424 -11.269 -13.201 -14.491 -15.093 -15.297 -15.343 -15.418 -15.420 -15.246 
2.62626 -11.331 -13.049 -14.365 -14.716 -15.011 -14.958 -15.229 -15.432 -15.504 
2.82828 -11.097 -12.552 -13.855 -14.533 -14.904 -14.843 -15.066 -15.209 -15.194 
3.03030 -10.804 -12.280 -13.389 -14.328 -14.433 -14.780 -14.911 -15.098 -15.149 
3.23232 -10.783 -11.936 -13.014 -13.883 -14.549 -14.638 -14.744 -14.983 -14.988 
3.43434 -10.549 -11.622 -12.975 -13.754 -14.408 -14.509 -14.656 -14.816 -14.954 
3.63636 -10.363 -11.352 -12.623 -13.580 -14.245 -14.292 -14.661 -14.767 -14.924 
3.83838 -10.201 -11.180 -12.608 -13.383 -14.091 -14.302 -14.596 -14.644 -14.853 
4.04040 -10.033 -10.864 -12.151 -13.158 -13.962 -14.264 -14.354 -14.569 -14.577 
4.24242 -9.887 -10.777 -12.142 -13.131 -13.800 -14.179 -14.310 -14.723 -14.818 
4.44444 -9.711 -10.733 -11.645 -12.960 -13.774 -14.031 -14.336 -14.453 -14.718 
4.64646 -9.546 -10.525 -11.713 -12.833 -13.691 -13.960 -14.250 -14.472 -14.475 
4.84848 -9.402 -10.361 -11.567 -12.718 -13.529 -13.881 -14.137 -14.425 -14.447 
5.05051 -9.232 -10.220 -11.291 -12.724 -13.489 -13.850 -14.101 -14.363 -14.430 
5.25253 -9.067 -10.177 -11.327 -12.687 -13.511 -13.795 -14.082 -14.309 -14.442 
5.45455 -8.909 -9.849 -11.196 -12.542 -13.422 -13.729 -14.009 -14.119 -14.382 
5.65657 -8.769 -9.718 -11.162 -12.299 -13.409 -13.671 -13.922 -14.085 -14.226 
5.85859 -8.598 -9.666 -10.863 -12.296 -13.250 -13.609 -13.836 -14.060 -14.320 
6.06061 -8.460 -9.630 -10.713 -12.204 -13.124 -13.545 -13.790 -13.912 -14.210 
6.26263 -8.318 -9.398 -10.814 -12.165 -13.075 -13.547 -13.740 -13.983 -14.063 
6.46465 -8.150 -9.279 -10.723 -12.155 -13.115 -13.377 -13.821 -13.893 -14.216 
6.66667 -8.011 -9.255 -10.703 -12.102 -12.954 -13.378 -13.582 -13.899 -13.937 
6.86869 -7.902 -9.118 -10.482 -11.955 -12.743 -13.325 -13.422 -13.803 -14.102 
7.07071 -7.866 -8.948 -10.415 -11.866 -12.877 -13.249 -13.582 -13.700 -13.992 
7.27273 -7.544 -8.990 -10.340 -11.833 -12.884 -13.337 -13.378 -13.654 -13.877 
7.47475 -7.438 -8.945 -10.361 -11.800 -12.671 -13.161 -13.336 -13.536 -13.738 
7.67677 -7.283 -8.882 -10.347 -11.713 -12.633 -13.025 -13.345 -13.647 -13.722 
7.87879 -7.184 -8.663 -10.197 -11.691 -12.590 -13.041 -13.305 -13.507 -13.711 
8.08081 -6.981 -8.538 -10.166 -11.658 -12.587 -13.041 -13.236 -13.568 -13.642 
8.28283 -7.010 -8.702 -10.087 -11.523 -12.539 -12.903 -13.181 -13.383 -13.547 
