# t[days] u g r i z y J H K
0.20202 -12.070 -13.359 -13.495 -13.137 -12.774 -12.347 -11.619 -9.846 -7.490 
0.40404 -14.439 -14.957 -15.226 -14.973 -14.670 -14.570 -14.119 -13.085 -12.449 
0.60606 -14.641 -15.508 -15.793 -15.630 -15.486 -15.399 -15.112 -14.609 -13.977 
0.80808 -14.349 -15.598 -15.975 -15.938 -15.792 -15.713 -15.352 -15.095 -14.450 
1.01010 -14.117 -15.447 -15.882 -15.847 -15.795 -15.794 -15.499 -15.250 -14.813 
1.21212 -13.565 -15.096 -15.651 -15.718 -15.835 -15.809 -15.515 -15.212 -14.812 
1.41414 -12.874 -14.620 -15.244 -15.506 -15.662 -15.591 -15.461 -15.172 -14.954 
1.61616 -12.241 -14.225 -14.910 -15.276 -15.446 -15.453 -15.340 -15.119 -14.870 
1.81818 -11.666 -13.759 -14.618 -15.053 -15.257 -15.305 -15.110 -14.928 -14.665 
2.02020 -11.190 -13.396 -14.276 -14.790 -15.038 -15.146 -15.052 -14.871 -14.633 
2.22222 -10.827 -13.138 -14.070 -14.591 -14.868 -14.975 -14.844 -14.726 -14.506 
2.42424 -10.400 -12.714 -13.757 -14.384 -14.673 -14.744 -14.722 -14.583 -14.503 
2.62626 -10.102 -12.430 -13.558 -14.149 -14.508 -14.642 -14.535 -14.489 -14.327 
2.82828 -9.635 -12.125 -13.308 -13.919 -14.348 -14.408 -14.379 -14.370 -14.217 
3.03030 -9.281 -11.893 -13.147 -13.757 -14.164 -14.243 -14.259 -14.258 -14.116 
3.23232 -9.217 -11.542 -12.888 -13.595 -13.984 -14.088 -14.052 -14.133 -14.049 
3.43434 -8.526 -11.395 -12.617 -13.384 -13.800 -13.941 -13.920 -13.946 -13.941 
3.63636 -8.311 -11.081 -12.419 -13.164 -13.537 -13.716 -13.820 -13.899 -13.852 
3.83838 -8.091 -10.782 -12.243 -12.995 -13.385 -13.523 -13.653 -13.750 -13.727 
4.04040 -7.598 -10.539 -11.984 -12.847 -13.272 -13.347 -13.490 -13.655 -13.631 
4.24242 -7.438 -10.336 -11.839 -12.714 -13.061 -13.298 -13.329 -13.486 -13.533 
