# t[days] u g r i z y J H K
0.20202 -11.156 -11.301 -11.800 -11.782 -11.103 -11.028 -11.146 -10.609 -4.788 
0.40404 -13.905 -14.238 -14.385 -14.835 -14.716 -14.559 -13.541 -11.712 -12.653 
0.60606 -14.052 -14.680 -15.071 -15.052 -14.475 -14.582 -14.069 -13.107 -12.988 
0.80808 -13.799 -14.942 -15.253 -15.285 -15.002 -15.061 -14.577 -14.064 -13.372 
1.01010 -13.399 -14.861 -15.370 -15.412 -15.397 -15.334 -14.975 -14.622 -14.021 
1.21212 -13.193 -14.603 -15.133 -15.322 -15.271 -15.303 -15.137 -14.481 -14.480 
1.41414 -12.544 -14.296 -14.965 -15.194 -15.302 -15.278 -15.152 -15.102 -14.495 
1.61616 -11.949 -13.898 -14.701 -15.157 -15.159 -15.078 -14.899 -15.031 -14.485 
1.81818 -11.603 -13.514 -14.302 -14.698 -15.032 -14.975 -14.804 -14.771 -14.615 
2.02020 -11.203 -12.980 -13.962 -14.558 -14.677 -14.720 -14.767 -14.954 -14.543 
2.22222 -10.709 -12.480 -13.638 -14.200 -14.548 -14.722 -14.683 -14.673 -14.511 
2.42424 -10.312 -12.114 -13.129 -13.937 -14.423 -14.601 -14.512 -14.668 -14.396 
2.62626 -10.129 -11.699 -12.970 -13.765 -14.352 -14.349 -14.561 -14.360 -14.332 
2.82828 -9.786 -11.602 -12.783 -13.563 -14.124 -14.423 -14.367 -14.364 -14.275 
3.03030 -9.533 -11.306 -12.540 -13.431 -14.046 -14.315 -14.284 -14.287 -14.274 
3.23232 -9.295 -11.044 -12.218 -13.175 -13.841 -14.027 -14.195 -14.288 -14.451 
3.43434 -9.068 -10.827 -12.073 -13.097 -13.850 -13.940 -14.110 -14.247 -14.230 
3.63636 -8.756 -10.403 -11.774 -12.956 -13.642 -13.968 -13.976 -14.008 -14.128 
3.83838 -8.561 -10.156 -11.671 -12.766 -13.580 -13.860 -13.879 -14.114 -14.023 
4.04040 -8.331 -10.126 -11.590 -12.704 -13.443 -13.697 -13.826 -13.961 -13.952 
4.24242 -8.185 -9.756 -11.359 -12.566 -13.349 -13.583 -13.672 -13.805 -13.935 
4.44444 -7.912 -9.725 -11.138 -12.466 -13.238 -13.497 -13.626 -13.678 -13.754 
4.64646 -7.736 -9.577 -11.201 -12.364 -13.121 -13.405 -13.426 -13.562 -13.735 
4.84848 -7.428 -9.290 -10.951 -12.237 -12.998 -13.309 -13.416 -13.520 -13.736 
5.05051 -7.216 -9.119 -10.839 -12.138 -12.918 -13.213 -13.342 -13.470 -13.564 
5.25253 -6.938 -9.167 -10.659 -12.000 -12.773 -13.163 -13.263 -13.356 -13.525 
5.45455 -6.822 -8.721 -10.672 -12.012 -12.722 -12.972 -13.072 -13.259 -13.323 
5.65657 -6.540 -8.708 -10.485 -11.876 -12.555 -12.850 -12.993 -13.146 -13.266 
5.85859 -6.271 -8.487 -10.349 -11.758 -12.465 -12.830 -12.962 -13.136 -13.173 
6.06061 -6.358 -8.327 -10.287 -11.617 -12.402 -12.695 -12.921 -13.031 -13.198 
6.26263 -5.874 -8.357 -10.299 -11.529 -12.299 -12.625 -12.773 -12.957 -13.162 
6.46465 -6.011 -8.047 -10.083 -11.479 -12.223 -12.569 -12.677 -12.922 -13.005 
6.66667 -5.624 -7.771 -9.971 -11.301 -12.092 -12.454 -12.630 -12.756 -12.946 
6.86869 -5.417 -7.840 -9.898 -11.295 -12.051 -12.416 -12.522 -12.764 -12.826 
7.07071 -5.107 -7.710 -9.808 -11.189 -11.973 -12.305 -12.448 -12.716 -12.790 
7.27273 -4.818 -7.533 -9.667 -11.072 -11.882 -12.198 -12.429 -12.568 -12.823 
7.47475 -4.684 -7.308 -9.610 -11.026 -11.856 -12.143 -12.336 -12.555 -12.671 
7.67677 -4.479 -7.314 -9.424 -10.948 -11.809 -12.111 -12.325 -12.484 -12.686 
7.87879 -4.262 -7.085 -9.393 -10.892 -11.709 -12.103 -12.324 -12.384 -12.541 
8.08081 -4.317 -7.139 -9.373 -10.757 -11.632 -11.987 -12.214 -12.373 -12.525 
8.28283 -4.059 -6.914 -9.177 -10.641 -11.544 -11.902 -12.169 -12.317 -12.497 
8.48485 -3.669 -6.661 -9.083 -10.652 -11.513 -11.868 -12.117 -12.312 -12.370 
8.68687 -3.594 -6.792 -9.025 -10.598 -11.498 -11.836 -12.096 -12.317 -12.353 
8.88889 -3.253 -6.586 -8.988 -10.479 -11.381 -11.763 -12.092 -12.260 -12.382 
9.09091 -3.095 -6.562 -8.825 -10.473 -11.358 -11.766 -12.025 -12.211 -12.352 
9.29293 -3.673 -6.212 -8.748 -10.372 -11.242 -11.665 -11.941 -12.192 -12.296 
9.49495 -2.874 -6.221 -8.606 -10.298 -11.210 -11.573 -11.951 -12.093 -12.260 
9.69697 -2.803 -6.055 -8.598 -10.231 -11.160 -11.571 -11.958 -12.133 -12.255 
9.89899 -2.599 -5.980 -8.539 -10.186 -11.130 -11.541 -11.944 -12.062 -12.211 
10.10101 -2.782 -5.876 -8.402 -10.208 -11.103 -11.487 -11.911 -12.059 -12.163 
10.30303 -2.294 -5.722 -8.325 -10.096 -11.004 -11.459 -11.828 -12.029 -12.190 
10.50505 -2.185 -5.826 -8.168 -10.046 -10.970 -11.370 -11.777 -11.991 -12.273 
10.70707 -1.984 -5.551 -8.171 -9.915 -10.965 -11.357 -11.777 -12.055 -12.119 
10.90909 -1.889 -5.277 -8.044 -9.894 -10.944 -11.355 -11.751 -11.995 -12.204 
11.11111 -1.819 -5.163 -7.886 -9.773 -10.881 -11.269 -11.686 -11.971 -12.064 
11.31313 -1.804 -5.031 -7.888 -9.731 -10.816 -11.215 -11.629 -11.912 -12.046 
11.51515 -1.191 -4.878 -7.886 -9.707 -10.720 -11.225 -11.604 -11.892 -12.023 
11.71717 -1.298 -4.525 -7.642 -9.613 -10.678 -11.118 -11.583 -11.850 -12.027 
11.91919 -1.030 -4.623 -7.667 -9.532 -10.586 -11.071 -11.560 -11.870 -11.964 
12.12121 -0.759 -4.553 -7.545 -9.453 -10.531 -11.006 -11.494 -11.837 -11.884 
12.32323 -0.677 -4.430 -7.490 -9.347 -10.423 -11.052 -11.462 -11.798 -11.967 
12.52525 -0.446 -4.291 -7.470 -9.308 -10.377 -10.878 -11.489 -11.762 -11.889 
12.72727 -0.269 -4.382 -7.115 -9.364 -10.350 -10.857 -11.381 -11.735 -11.885 
12.92929 -0.135 -3.917 -7.312 -9.179 -10.263 -10.785 -11.364 -11.693 -11.843 
13.13131 -0.166 -4.070 -7.054 -9.115 -10.234 -10.754 -11.306 -11.628 -11.777 
13.33333 0.178 -4.023 -7.055 -8.959 -10.153 -10.687 -11.193 -11.622 -11.852 
13.53535 -0.418 -3.799 -6.997 -8.961 -10.001 -10.573 -11.141 -11.571 -11.767 
13.73737 0.494 -3.508 -6.766 -8.851 -9.967 -10.601 -11.144 -11.565 -11.775 
13.93939 0.711 -3.586 -6.693 -8.786 -9.956 -10.479 -11.110 -11.482 -11.732 
14.14141 0.896 -3.394 -6.662 -8.750 -9.907 -10.397 -10.988 -11.481 -11.704 
14.34343 1.061 -2.700 -6.531 -8.687 -9.806 -10.313 -11.019 -11.478 -11.717 
14.54545 1.134 -3.055 -6.471 -8.573 -9.774 -10.340 -10.952 -11.396 -11.579 
14.74747 1.375 -2.780 -6.379 -8.449 -9.635 -10.309 -10.892 -11.397 -11.583 
14.94949 1.589 -2.700 -6.426 -8.465 -9.578 -10.184 -10.842 -11.317 -11.579 
15.15152 1.656 -2.895 -6.095 -8.325 -9.562 -10.122 -10.810 -11.288 -11.523 
15.35354 1.771 -2.658 -6.148 -8.310 -9.477 -10.101 -10.692 -11.246 -11.511 
15.55556 2.053 -2.123 -5.994 -8.209 -9.387 -10.104 -10.748 -11.216 -11.522 
15.75758 2.117 -2.540 -5.976 -8.070 -9.281 -9.923 -10.629 -11.182 -11.487 
15.95960 2.375 -2.533 -5.860 -8.115 -9.303 -9.859 -10.610 -11.149 -11.382 
16.16162 2.543 -2.295 -5.684 -7.899 -9.211 -9.873 -10.532 -11.102 -11.411 
16.36364 2.744 -2.231 -5.780 -7.836 -9.169 -9.658 -10.474 -11.003 -11.370 
16.56566 2.969 -1.597 -5.361 -7.788 -9.026 -9.613 -10.453 -11.021 -11.313 
16.76768 3.098 -1.416 -5.429 -7.728 -8.999 -9.652 -10.399 -10.979 -11.288 
16.96970 3.095 -1.427 -5.343 -7.770 -8.929 -9.582 -10.307 -10.937 -11.228 
17.17172 3.409 -1.659 -5.152 -7.521 -8.880 -9.485 -10.249 -10.865 -11.277 
17.37374 3.351 -1.390 -5.048 -7.585 -8.819 -9.466 -10.201 -10.864 -11.222 
17.57576 3.563 -2.130 -5.085 -7.511 -8.748 -9.488 -10.188 -10.819 -11.172 
17.77778 3.807 -0.917 -4.805 -7.324 -8.676 -9.282 -10.126 -10.783 -11.157 
17.97980 3.931 -1.177 -4.711 -7.260 -8.496 -9.269 -10.042 -10.791 -11.079 
18.18182 4.083 -1.255 -4.956 -7.268 -8.443 -9.171 -10.048 -10.721 -11.118 
18.38384 4.264 -0.840 -4.760 -7.221 -8.490 -9.132 -10.006 -10.676 -11.061 
18.58586 4.246 -0.132 -4.524 -7.117 -8.365 -9.051 -10.010 -10.610 -11.012 
18.78788 4.681 -0.606 -4.516 -7.149 -8.405 -8.954 -9.899 -10.602 -11.000 
18.98990 4.651 -1.051 -4.555 -7.004 -8.249 -8.933 -9.831 -10.609 -10.986 
19.19192 3.949 -0.803 -4.506 -7.043 -8.275 -8.853 -9.798 -10.523 -10.933 
19.39394 5.157 -0.862 -4.408 -6.904 -8.203 -8.833 -9.736 -10.531 -10.858 
19.59596 5.216 -0.175 -4.043 -6.743 -8.062 -8.635 -9.656 -10.365 -10.819 
19.79798 5.197 0.513 -4.101 -6.579 -7.964 -8.568 -9.584 -10.312 -10.695 
20.00000 5.386 -0.068 -3.555 -6.437 -7.769 -8.443 -9.381 -10.151 -10.577 
