# t[days] u g r i z y J H K
0.20202 -10.900 -10.709 -10.638 -11.928 -9.710 -8.785 -13.539 -7.716 -10.633 
0.40404 -13.561 -13.732 -14.130 -14.151 -13.650 -13.602 -12.768 -13.072 -11.476 
0.60606 -13.639 -14.432 -14.688 -15.002 -14.665 -14.149 -13.599 -13.203 -12.937 
0.80808 -13.601 -14.519 -14.850 -14.991 -14.520 -14.623 -14.385 -13.931 -13.219 
1.01010 -13.382 -14.343 -14.862 -14.971 -14.744 -14.577 -14.447 -13.941 -13.470 
1.21212 -12.958 -14.205 -14.694 -14.895 -14.809 -14.505 -14.217 -13.750 -13.487 
1.41414 -12.488 -13.879 -14.491 -14.662 -14.708 -14.516 -14.239 -13.992 -13.731 
1.61616 -11.958 -13.539 -14.279 -14.504 -14.549 -14.470 -14.333 -14.105 -13.870 
1.81818 -11.647 -13.237 -14.049 -14.378 -14.524 -14.333 -14.176 -14.214 -13.757 
2.02020 -10.958 -13.081 -13.920 -14.262 -14.275 -14.294 -14.122 -14.197 -13.918 
2.22222 -10.536 -12.641 -13.591 -14.016 -14.070 -14.107 -14.178 -14.014 -13.809 
2.42424 -9.941 -12.306 -13.283 -13.841 -13.828 -13.878 -14.050 -14.131 -13.897 
2.62626 -9.403 -11.949 -13.110 -13.580 -13.757 -13.713 -13.796 -14.170 -13.838 
2.82828 -9.244 -11.529 -12.812 -13.305 -13.510 -13.576 -13.739 -13.810 -13.822 
3.03030 -8.874 -11.386 -12.502 -13.147 -13.460 -13.494 -13.647 -13.814 -13.762 
3.23232 -8.137 -10.851 -12.180 -12.877 -13.212 -13.233 -13.550 -13.825 -13.793 
3.43434 -8.001 -10.552 -11.975 -12.688 -12.967 -13.100 -13.437 -13.650 -13.734 
3.63636 -7.377 -10.249 -11.712 -12.455 -12.894 -13.010 -13.392 -13.568 -13.693 
3.83838 -7.127 -9.949 -11.463 -12.313 -12.623 -12.856 -13.118 -13.500 -13.646 
4.04040 -6.725 -9.749 -11.238 -12.014 -12.474 -12.596 -13.060 -13.431 -13.596 
4.24242 -6.208 -9.250 -11.109 -11.882 -12.283 -12.346 -12.864 -13.362 -13.583 
4.44444 -6.254 -8.898 -10.735 -11.726 -12.176 -12.358 -12.812 -13.192 -13.423 
4.64646 -5.701 -8.817 -10.720 -11.465 -11.984 -12.139 -12.625 -13.090 -13.431 
4.84848 -5.048 -8.385 -10.344 -11.294 -11.783 -12.075 -12.576 -13.101 -13.368 
5.05051 -4.879 -8.235 -10.243 -11.205 -11.579 -11.874 -12.385 -12.988 -13.291 
5.25253 -4.544 -7.947 -9.822 -10.883 -11.409 -11.737 -12.256 -12.861 -13.222 
5.45455 -5.192 -7.645 -9.780 -10.693 -11.276 -11.507 -12.273 -12.802 -13.167 
5.65657 -3.917 -7.464 -9.456 -10.580 -11.091 -11.381 -12.007 -12.775 -13.071 
5.85859 -3.672 -7.259 -9.186 -10.283 -11.023 -11.263 -11.954 -12.553 -13.054 
6.06061 -3.339 -6.973 -9.038 -10.311 -10.934 -11.147 -11.874 -12.521 -12.894 
6.26263 -3.478 -6.591 -8.849 -10.139 -10.782 -11.062 -11.754 -12.490 -12.846 
6.46465 -2.974 -6.600 -8.668 -9.939 -10.639 -10.863 -11.606 -12.407 -12.800 
6.66667 -2.640 -6.336 -8.530 -9.813 -10.485 -10.748 -11.524 -12.289 -12.816 
6.86869 -2.800 -6.253 -8.408 -9.630 -10.567 -10.797 -11.396 -12.118 -12.700 
7.07071 -2.131 -5.745 -8.049 -9.431 -10.317 -10.571 -11.301 -12.132 -12.688 
7.27273 -2.109 -5.461 -7.893 -9.274 -10.170 -10.429 -11.196 -12.031 -12.591 
7.47475 -1.641 -5.260 -7.786 -9.253 -10.046 -10.407 -11.149 -11.928 -12.498 
7.67677 -1.411 -5.493 -7.877 -9.097 -9.987 -10.253 -11.036 -11.885 -12.470 
7.87879 -1.331 -5.093 -7.451 -8.885 -9.900 -10.175 -10.933 -11.798 -12.413 
8.08081 -0.918 -4.585 -7.297 -8.715 -9.632 -10.080 -10.899 -11.776 -12.262 
8.28283 -0.933 -4.279 -7.022 -8.779 -9.567 -9.910 -10.772 -11.661 -12.260 
8.48485 -0.602 -3.922 -7.058 -8.534 -9.555 -9.871 -10.699 -11.617 -12.198 
8.68687 -0.632 -3.919 -6.757 -8.531 -9.440 -9.773 -10.678 -11.496 -12.143 
8.88889 -0.250 -3.966 -6.748 -8.251 -9.356 -9.687 -10.510 -11.477 -12.107 
9.09091 -0.534 -4.095 -6.330 -8.183 -9.374 -9.686 -10.475 -11.417 -12.065 
9.29293 0.339 -3.627 -6.169 -7.890 -8.972 -9.661 -10.330 -11.247 -12.014 
9.49495 0.742 -2.607 -5.924 -7.843 -9.003 -9.371 -10.248 -11.182 -11.974 
9.69697 1.055 -3.028 -6.014 -7.836 -8.958 -9.244 -10.196 -11.122 -11.847 
9.89899 1.259 -2.846 -5.598 -7.742 -8.725 -9.236 -10.165 -11.093 -11.818 
10.10101 1.526 -2.408 -5.826 -7.606 -8.736 -9.239 -10.113 -10.991 -11.742 
10.30303 1.717 -2.095 -5.577 -7.402 -8.509 -9.057 -10.010 -10.990 -11.684 
10.50505 0.460 -1.987 -5.249 -7.319 -8.426 -8.939 -9.925 -10.872 -11.610 
10.70707 2.104 -2.828 -5.184 -7.400 -8.532 -8.930 -9.857 -10.836 -11.529 
10.90909 2.375 -2.685 -5.063 -7.080 -8.321 -8.779 -9.809 -10.824 -11.511 
11.11111 2.532 -0.957 -4.396 -7.083 -8.230 -8.702 -9.730 -10.680 -11.434 
11.31313 2.834 -0.568 -4.691 -6.913 -8.117 -8.530 -9.607 -10.666 -11.439 
11.51515 3.125 -0.903 -4.604 -6.821 -8.108 -8.624 -9.540 -10.592 -11.339 
11.71717 3.406 -0.350 -4.407 -6.894 -7.991 -8.424 -9.403 -10.543 -11.318 
11.91919 3.304 -2.018 -4.529 -6.732 -7.874 -8.432 -9.352 -10.461 -11.280 
12.12121 3.878 0.371 -4.215 -6.528 -7.736 -8.394 -9.233 -10.400 -11.225 
12.32323 3.829 -1.190 -4.189 -6.677 -7.923 -8.337 -9.302 -10.358 -11.129 
12.52525 4.074 0.299 -4.267 -6.541 -7.736 -8.281 -9.173 -10.304 -11.080 
12.72727 4.250 -0.019 -3.833 -6.437 -7.515 -8.200 -9.131 -10.275 -11.084 
12.92929 4.958 0.622 -3.849 -6.464 -7.635 -8.035 -9.051 -10.150 -10.914 
13.13131 4.521 0.263 -3.829 -6.279 -7.575 -8.042 -9.004 -10.113 -10.930 
13.33333 4.765 0.992 -3.530 -5.987 -7.326 -7.811 -8.851 -10.009 -10.843 
13.53535 4.886 0.838 -3.361 -5.993 -7.334 -7.830 -8.866 -9.931 -10.853 
13.73737 5.620 1.003 -3.796 -6.003 -7.306 -7.747 -8.805 -9.916 -10.865 
13.93939 5.375 0.435 -3.321 -5.901 -7.004 -7.776 -8.763 -9.777 -10.730 
