# t[days] u g r i z y J H K
0.20202 -10.999 -11.709 -12.618 -10.952 -11.468 -10.289 -11.572 -12.061 -12.414 
0.40404 -12.821 -14.079 -13.388 -13.704 -13.948 -14.001 -13.463 -12.799 -4.846 
0.60606 -13.107 -13.897 -14.499 -14.502 -13.961 -13.354 -13.718 -13.805 -11.950 
0.80808 -11.599 -14.035 -14.193 -14.294 -14.409 -14.091 -13.809 -13.140 -13.093 
1.01010 -11.629 -13.811 -14.537 -14.642 -14.885 -14.437 -14.295 -13.704 -14.991 
1.21212 -10.412 -13.524 -14.310 -14.613 -14.817 -14.674 -14.439 -13.982 -12.492 
1.41414 -11.677 -13.535 -14.642 -15.041 -15.320 -15.231 -15.189 -15.121 -14.855 
1.61616 -11.313 -13.799 -14.864 -15.396 -15.646 -15.707 -15.424 -15.367 -15.084 
1.81818 -11.673 -13.615 -14.900 -15.435 -15.764 -15.861 -15.728 -15.781 -15.427 
2.02020 -11.689 -13.699 -14.852 -15.578 -15.945 -15.876 -15.570 -15.866 -15.558 
2.22222 -11.777 -13.660 -14.720 -15.465 -15.568 -15.985 -15.946 -15.860 -15.495 
2.42424 -11.952 -13.414 -14.619 -15.359 -15.834 -16.038 -15.750 -15.625 -15.292 
2.62626 -11.956 -13.270 -14.313 -15.186 -15.579 -15.961 -15.735 -15.584 -15.664 
2.82828 -11.855 -13.251 -14.324 -15.019 -15.457 -15.761 -15.768 -15.633 -15.557 
3.03030 -11.843 -13.168 -14.141 -14.938 -15.539 -15.746 -15.462 -15.572 -15.418 
3.23232 -11.734 -13.099 -14.017 -14.851 -15.306 -15.767 -15.381 -15.450 -15.476 
3.43434 -11.566 -12.725 -13.910 -14.750 -15.252 -15.478 -15.442 -15.216 -15.192 
3.63636 -11.393 -12.735 -13.708 -14.493 -15.076 -15.378 -15.273 -15.154 -14.951 
3.83838 -11.228 -12.606 -13.765 -14.495 -15.091 -15.223 -15.203 -15.067 -14.812 
4.04040 -11.198 -12.545 -13.578 -14.439 -14.902 -15.237 -15.169 -14.840 -14.905 
4.24242 -11.088 -12.373 -13.471 -14.308 -14.836 -15.040 -14.995 -14.910 -14.783 
4.44444 -10.941 -12.224 -13.294 -14.118 -14.818 -15.042 -14.901 -14.678 -14.638 
4.64646 -10.795 -12.166 -13.118 -14.073 -14.664 -14.922 -14.819 -14.678 -14.565 
4.84848 -10.471 -12.156 -13.242 -14.050 -14.664 -14.779 -14.801 -14.530 -14.215 
5.05051 -10.444 -12.123 -13.137 -13.868 -14.509 -14.750 -14.717 -14.535 -14.285 
5.25253 -10.102 -11.894 -12.957 -13.801 -14.465 -14.731 -14.534 -14.261 -14.301 
5.45455 -10.007 -11.692 -12.821 -13.692 -14.251 -14.554 -14.469 -14.401 -14.241 
5.65657 -9.727 -11.605 -12.770 -13.579 -14.220 -14.548 -14.379 -14.229 -14.035 
5.85859 -9.794 -11.482 -12.676 -13.423 -14.089 -14.409 -14.310 -14.108 -13.916 
6.06061 -9.427 -11.316 -12.665 -13.358 -14.018 -14.339 -14.220 -14.091 -14.081 
6.26263 -9.432 -11.479 -12.476 -13.339 -13.944 -14.102 -14.113 -14.038 -13.730 
6.46465 -9.157 -10.984 -12.342 -13.314 -13.845 -14.105 -14.123 -13.887 -13.674 
6.66667 -9.229 -10.903 -12.171 -13.057 -13.763 -14.131 -14.021 -13.785 -13.649 
6.86869 -8.610 -10.709 -12.308 -13.006 -13.691 -13.949 -13.942 -13.829 -13.683 
7.07071 -8.483 -10.684 -11.956 -12.937 -13.562 -13.876 -13.954 -13.749 -13.617 
7.27273 -8.470 -10.459 -11.882 -12.876 -13.538 -13.802 -13.853 -13.750 -13.530 
7.47475 -8.252 -10.441 -11.780 -12.828 -13.347 -13.643 -13.767 -13.639 -13.510 
7.67677 -7.823 -10.248 -11.705 -12.720 -13.348 -13.617 -13.728 -13.610 -13.401 
7.87879 -7.716 -9.983 -11.499 -12.580 -13.246 -13.547 -13.714 -13.425 -13.444 
8.08081 -7.445 -9.981 -11.466 -12.514 -13.155 -13.475 -13.617 -13.485 -13.224 
8.28283 -7.270 -9.753 -11.335 -12.372 -13.049 -13.515 -13.600 -13.580 -13.363 
8.48485 -7.513 -9.685 -11.335 -12.338 -13.038 -13.357 -13.480 -13.456 -13.249 
8.68687 -6.882 -9.506 -11.202 -12.162 -12.914 -13.342 -13.477 -13.403 -13.209 
8.88889 -6.825 -9.200 -10.999 -12.133 -12.932 -13.165 -13.415 -13.401 -13.268 
9.09091 -6.420 -9.190 -10.911 -12.033 -12.781 -13.218 -13.402 -13.336 -13.185 
9.29293 -6.390 -9.099 -10.738 -11.911 -12.650 -13.050 -13.237 -13.237 -13.140 
9.49495 -6.038 -8.823 -10.612 -11.892 -12.714 -12.967 -13.177 -13.266 -13.084 
9.69697 -5.707 -8.650 -10.537 -11.763 -12.544 -12.846 -13.130 -13.208 -13.110 
9.89899 -5.891 -8.578 -10.377 -11.690 -12.473 -12.841 -13.143 -13.159 -13.000 
10.10101 -5.546 -8.291 -10.300 -11.520 -12.306 -12.807 -13.020 -13.024 -12.957 
10.30303 -5.355 -8.322 -10.293 -11.453 -12.285 -12.681 -13.023 -13.132 -12.940 
10.50505 -5.128 -8.176 -10.084 -11.407 -12.238 -12.656 -12.888 -12.970 -12.940 
10.70707 -4.769 -8.030 -9.981 -11.346 -12.151 -12.529 -12.902 -12.976 -12.932 
10.90909 -4.846 -7.939 -9.944 -11.304 -12.154 -12.500 -12.842 -12.979 -12.861 
11.11111 -4.325 -7.902 -9.738 -11.256 -12.092 -12.456 -12.748 -12.927 -12.782 
11.31313 -4.530 -7.569 -9.839 -11.116 -12.015 -12.378 -12.713 -12.871 -12.848 
11.51515 -4.134 -7.348 -9.560 -10.973 -11.897 -12.363 -12.708 -12.847 -12.778 
11.71717 -3.715 -7.232 -9.508 -10.919 -11.846 -12.263 -12.713 -12.791 -12.717 
11.91919 -4.533 -7.110 -9.512 -10.830 -11.733 -12.254 -12.553 -12.733 -12.686 
12.12121 -3.773 -7.023 -9.189 -10.831 -11.704 -12.171 -12.619 -12.724 -12.749 
12.32323 -3.175 -7.091 -9.196 -10.734 -11.696 -12.179 -12.509 -12.727 -12.763 
12.52525 -3.122 -6.843 -8.995 -10.700 -11.575 -12.094 -12.555 -12.683 -12.647 
12.72727 -3.075 -6.739 -8.965 -10.642 -11.616 -12.006 -12.481 -12.688 -12.694 
12.92929 -2.962 -6.244 -8.774 -10.497 -11.510 -12.075 -12.421 -12.648 -12.631 
13.13131 -2.810 -6.496 -8.679 -10.431 -11.428 -11.985 -12.369 -12.595 -12.606 
13.33333 -2.849 -6.152 -8.685 -10.404 -11.396 -11.939 -12.373 -12.614 -12.628 
13.53535 -2.624 -6.184 -8.762 -10.324 -11.329 -11.875 -12.392 -12.627 -12.625 
13.73737 -2.311 -6.001 -8.472 -10.200 -11.254 -11.783 -12.350 -12.559 -12.596 
13.93939 -2.141 -5.987 -8.295 -10.134 -11.255 -11.764 -12.255 -12.557 -12.566 
14.14141 -1.905 -5.775 -8.228 -10.140 -11.244 -11.731 -12.250 -12.535 -12.585 
14.34343 -2.418 -5.703 -8.263 -10.098 -11.200 -11.660 -12.275 -12.491 -12.552 
14.54545 -1.732 -5.552 -8.251 -10.053 -11.098 -11.589 -12.217 -12.524 -12.567 
14.74747 -1.735 -5.446 -7.980 -9.903 -11.055 -11.658 -12.150 -12.500 -12.558 
14.94949 -1.526 -5.464 -7.893 -9.888 -10.997 -11.672 -12.237 -12.482 -12.582 
15.15152 -1.505 -5.162 -7.994 -9.918 -10.964 -11.544 -12.138 -12.451 -12.532 
15.35354 -1.379 -5.429 -8.031 -9.676 -10.893 -11.544 -12.102 -12.404 -12.549 
15.55556 -1.298 -4.868 -7.707 -9.756 -10.861 -11.507 -12.023 -12.441 -12.551 
15.75758 -1.142 -4.774 -7.718 -9.544 -10.805 -11.386 -11.994 -12.404 -12.450 
15.95960 -1.149 -4.970 -7.549 -9.573 -10.798 -11.414 -12.005 -12.361 -12.550 
16.16162 -1.016 -4.997 -7.454 -9.512 -10.792 -11.273 -11.986 -12.347 -12.441 
16.36364 -0.991 -4.828 -7.328 -9.417 -10.577 -11.274 -11.960 -12.393 -12.478 
16.56566 -0.784 -4.301 -7.482 -9.340 -10.571 -11.257 -11.976 -12.304 -12.435 
16.76768 -0.732 -4.556 -7.265 -9.330 -10.518 -11.196 -11.836 -12.284 -12.368 
16.96970 -0.636 -4.504 -7.059 -9.226 -10.480 -11.185 -11.882 -12.272 -12.402 
17.17172 -0.535 -4.154 -7.200 -9.211 -10.396 -11.144 -11.800 -12.227 -12.420 
17.37374 -0.428 -3.799 -6.950 -9.142 -10.455 -11.107 -11.733 -12.236 -12.403 
17.57576 -0.362 -3.824 -7.011 -9.237 -10.340 -11.017 -11.744 -12.227 -12.426 
17.77778 -0.184 -3.822 -6.810 -9.059 -10.381 -10.951 -11.739 -12.173 -12.388 
17.97980 -0.104 -3.385 -6.869 -8.946 -10.218 -10.873 -11.710 -12.204 -12.354 
18.18182 0.096 -3.578 -6.537 -8.887 -10.179 -10.878 -11.645 -12.132 -12.368 
18.38384 0.240 -3.519 -6.646 -8.809 -10.185 -10.931 -11.643 -12.147 -12.348 
18.58586 0.415 -3.673 -6.507 -8.835 -10.191 -10.795 -11.552 -12.113 -12.314 
18.78788 0.491 -3.129 -6.409 -8.781 -10.107 -10.840 -11.606 -12.069 -12.323 
18.98990 0.669 -3.167 -6.053 -8.745 -10.052 -10.754 -11.492 -12.097 -12.292 
19.19192 0.796 -2.402 -6.085 -8.520 -9.971 -10.655 -11.475 -11.990 -12.259 
19.39394 0.834 -2.330 -6.185 -8.507 -9.916 -10.578 -11.422 -11.950 -12.259 
19.59596 1.050 -2.441 -5.642 -8.389 -9.749 -10.533 -11.354 -11.958 -12.166 
19.79798 1.181 -2.311 -5.772 -8.242 -9.685 -10.475 -11.240 -11.801 -12.063 
20.00000 1.362 -2.357 -5.945 -7.905 -9.499 -10.469 -11.153 -11.721 -11.971 
