# t[days] u g r i z y J H K
0.20202 -12.228 -13.123 -12.203 -11.746 -11.218 -12.351 -10.140 -7.106 -7.608 
0.40404 -14.428 -15.208 -15.307 -15.194 -14.846 -14.429 -14.194 -13.880 -13.070 
0.60606 -15.042 -15.887 -16.141 -16.008 -15.619 -15.711 -15.192 -14.697 -14.040 
0.80808 -15.105 -16.214 -16.597 -16.485 -16.285 -16.204 -15.923 -15.244 -15.119 
1.01010 -14.956 -16.308 -16.643 -16.537 -16.568 -16.500 -16.081 -15.600 -15.470 
1.21212 -14.590 -16.141 -16.676 -16.681 -16.605 -16.560 -16.301 -15.815 -15.681 
1.41414 -14.281 -15.917 -16.445 -16.540 -16.506 -16.541 -16.415 -15.994 -15.647 
1.61616 -13.620 -15.588 -16.220 -16.290 -16.493 -16.474 -16.281 -16.067 -15.646 
1.81818 -13.038 -15.168 -15.909 -16.134 -16.298 -16.309 -16.174 -16.002 -15.741 
2.02020 -12.590 -14.883 -15.623 -15.931 -16.078 -16.199 -16.106 -15.917 -15.610 
2.22222 -12.216 -14.460 -15.327 -15.693 -15.952 -16.101 -15.972 -15.708 -15.561 
2.42424 -11.638 -14.077 -14.947 -15.516 -15.787 -15.950 -15.848 -15.727 -15.507 
2.62626 -11.380 -13.766 -14.754 -15.321 -15.665 -15.749 -15.757 -15.587 -15.323 
2.82828 -11.018 -13.583 -14.593 -15.184 -15.461 -15.693 -15.573 -15.536 -15.328 
3.03030 -10.775 -13.311 -14.390 -14.991 -15.367 -15.512 -15.500 -15.415 -15.146 
3.23232 -10.505 -13.048 -14.216 -14.825 -15.196 -15.372 -15.363 -15.268 -15.130 
3.43434 -10.211 -12.823 -13.960 -14.640 -15.105 -15.277 -15.262 -15.219 -15.092 
3.63636 -9.824 -12.612 -13.800 -14.544 -14.978 -15.101 -15.190 -15.086 -15.131 
3.83838 -9.848 -12.457 -13.675 -14.400 -14.813 -15.008 -15.082 -15.079 -15.017 
4.04040 -9.534 -12.184 -13.508 -14.210 -14.665 -14.873 -15.031 -14.907 -14.873 
4.24242 -9.147 -11.863 -13.225 -14.053 -14.529 -14.720 -14.843 -14.839 -14.914 
4.44444 -9.084 -11.629 -13.075 -13.860 -14.402 -14.600 -14.728 -14.730 -14.787 
4.64646 -8.781 -11.643 -12.904 -13.787 -14.282 -14.524 -14.588 -14.683 -14.629 
4.84848 -8.526 -11.312 -12.715 -13.685 -14.148 -14.374 -14.544 -14.637 -14.615 
5.05051 -8.310 -11.074 -12.506 -13.508 -13.972 -14.249 -14.405 -14.562 -14.512 
5.25253 -8.011 -10.856 -12.401 -13.385 -13.857 -14.117 -14.305 -14.435 -14.426 
5.45455 -7.731 -10.684 -12.314 -13.209 -13.802 -13.986 -14.160 -14.278 -14.359 
5.65657 -7.840 -10.579 -12.217 -13.113 -13.652 -13.832 -14.101 -14.284 -14.321 
5.85859 -7.302 -10.407 -11.952 -13.005 -13.456 -13.774 -13.915 -14.122 -14.202 
6.06061 -7.011 -10.173 -11.818 -12.809 -13.444 -13.671 -13.885 -14.035 -14.127 
6.26263 -6.941 -9.988 -11.684 -12.663 -13.271 -13.577 -13.789 -13.931 -14.030 
6.46465 -6.461 -9.716 -11.466 -12.519 -13.176 -13.412 -13.683 -13.839 -13.935 
6.66667 -6.189 -9.466 -11.375 -12.426 -13.076 -13.368 -13.547 -13.759 -13.875 
6.86869 -6.188 -9.428 -11.188 -12.339 -12.937 -13.178 -13.398 -13.678 -13.839 
7.07071 -6.050 -9.267 -11.053 -12.200 -12.831 -13.116 -13.373 -13.607 -13.704 
7.27273 -5.612 -9.128 -10.983 -12.078 -12.714 -13.005 -13.270 -13.572 -13.729 
7.47475 -5.776 -8.847 -10.775 -11.972 -12.625 -12.921 -13.213 -13.473 -13.626 
7.67677 -5.433 -8.837 -10.676 -11.909 -12.558 -12.864 -13.170 -13.401 -13.553 
7.87879 -5.187 -8.562 -10.604 -11.756 -12.432 -12.724 -13.078 -13.280 -13.437 
8.08081 -4.786 -8.393 -10.367 -11.676 -12.390 -12.661 -13.026 -13.329 -13.530 
8.28283 -4.800 -8.028 -10.352 -11.519 -12.311 -12.571 -12.969 -13.202 -13.364 
8.48485 -4.064 -8.040 -10.157 -11.456 -12.155 -12.493 -12.905 -13.154 -13.410 
8.68687 -3.997 -8.139 -10.079 -11.458 -12.180 -12.467 -12.753 -13.090 -13.257 
8.88889 -4.507 -7.812 -9.942 -11.326 -12.071 -12.418 -12.748 -13.103 -13.235 
9.09091 -4.107 -7.512 -9.892 -11.231 -12.118 -12.386 -12.666 -12.982 -13.153 
9.29293 -3.670 -7.622 -9.754 -11.096 -11.918 -12.228 -12.660 -12.873 -13.141 
9.49495 -3.434 -7.380 -9.684 -11.058 -11.860 -12.247 -12.601 -12.934 -13.065 
9.69697 -3.151 -7.214 -9.484 -10.997 -11.774 -12.142 -12.509 -12.801 -13.061 
9.89899 -2.931 -7.149 -9.332 -10.870 -11.670 -12.108 -12.528 -12.788 -12.982 
10.10101 -3.519 -6.729 -9.182 -10.848 -11.590 -12.077 -12.420 -12.753 -12.978 
10.30303 -2.674 -6.673 -9.210 -10.728 -11.581 -12.009 -12.374 -12.698 -12.859 
10.50505 -2.595 -6.447 -9.053 -10.592 -11.434 -11.850 -12.308 -12.646 -12.860 
10.70707 -1.943 -6.251 -8.916 -10.598 -11.427 -11.881 -12.285 -12.600 -12.903 
10.90909 -1.999 -6.168 -8.809 -10.457 -11.399 -11.770 -12.258 -12.539 -12.838 
11.11111 -1.961 -6.081 -8.830 -10.437 -11.345 -11.763 -12.184 -12.518 -12.820 
11.31313 -1.422 -5.961 -8.735 -10.358 -11.211 -11.678 -12.140 -12.524 -12.757 
11.51515 -1.728 -5.525 -8.480 -10.248 -11.169 -11.596 -12.079 -12.394 -12.601 
11.71717 -1.338 -5.475 -8.597 -10.217 -11.185 -11.578 -12.054 -12.447 -12.663 
11.91919 -0.951 -5.620 -8.277 -10.152 -11.010 -11.516 -12.022 -12.348 -12.643 
12.12121 -1.460 -5.377 -8.208 -9.973 -10.973 -11.490 -11.912 -12.324 -12.580 
12.32323 -1.246 -5.036 -8.145 -9.891 -10.939 -11.407 -11.891 -12.313 -12.495 
12.52525 -0.459 -5.134 -7.915 -9.893 -10.846 -11.311 -11.851 -12.246 -12.503 
12.72727 -0.360 -5.192 -7.966 -9.762 -10.744 -11.259 -11.799 -12.230 -12.439 
12.92929 -0.202 -4.745 -7.993 -9.711 -10.771 -11.181 -11.745 -12.198 -12.456 
13.13131 -0.128 -4.696 -7.779 -9.659 -10.598 -11.165 -11.708 -12.107 -12.381 
13.33333 0.128 -4.505 -7.735 -9.480 -10.523 -11.002 -11.671 -12.079 -12.428 
13.53535 0.068 -4.110 -7.562 -9.429 -10.488 -11.067 -11.663 -12.055 -12.330 
13.73737 0.360 -3.856 -7.273 -9.349 -10.437 -10.940 -11.559 -12.034 -12.298 
13.93939 0.367 -4.184 -7.346 -9.212 -10.382 -10.889 -11.537 -11.974 -12.258 
14.14141 0.797 -4.407 -7.311 -9.259 -10.341 -10.832 -11.486 -11.909 -12.209 
14.34343 0.997 -3.873 -7.040 -9.075 -10.247 -10.762 -11.361 -11.878 -12.137 
14.54545 1.176 -3.519 -6.923 -9.002 -10.123 -10.687 -11.363 -11.807 -12.079 
14.74747 1.322 -3.706 -6.759 -8.957 -10.070 -10.576 -11.268 -11.791 -12.033 
