# t[days] u g r i z y J H K
0.20202 -11.472 -12.652 -13.207 -11.612 -12.708 -11.009 -10.830 -13.570 nan 
0.40404 -12.695 -13.628 -13.948 -14.437 -13.313 -13.826 -14.322 -1.160 -13.755 
0.60606 -13.675 -14.462 -14.493 -13.036 -14.508 -14.380 -13.788 -14.436 -13.409 
0.80808 -13.231 -13.901 -14.312 -14.674 -14.309 -13.869 -13.876 -14.151 -13.213 
1.01010 -12.666 -13.895 -14.455 -14.355 -14.050 -13.590 -13.772 -14.066 -13.913 
1.21212 -12.515 -14.121 -14.443 -14.285 -14.415 -14.480 -15.044 -13.385 -9.303 
1.41414 -11.399 -13.469 -13.725 -14.577 -14.416 -14.488 -14.571 -14.363 -13.958 
1.61616 -12.896 -14.185 -14.584 -15.083 -15.070 -15.413 -15.059 -15.375 -15.337 
1.81818 -13.257 -14.525 -15.119 -15.685 -16.089 -15.868 -15.903 -15.928 -15.839 
2.02020 -13.588 -15.022 -15.286 -15.916 -16.190 -16.145 -16.041 -16.336 -15.720 
2.22222 -13.228 -14.756 -15.370 -15.761 -16.188 -16.590 -16.128 -16.213 -15.622 
2.42424 -13.475 -14.695 -15.344 -15.931 -16.178 -16.265 -16.401 -16.118 -16.273 
2.62626 -13.202 -14.459 -15.180 -15.837 -16.042 -16.355 -16.251 -16.130 -16.059 
2.82828 -12.920 -14.164 -14.904 -15.619 -16.021 -16.178 -16.111 -15.934 -15.875 
3.03030 -12.850 -13.722 -14.434 -15.370 -15.796 -16.096 -16.134 -16.117 -15.615 
3.23232 -12.486 -13.703 -14.508 -15.224 -15.763 -16.098 -15.842 -15.852 -15.850 
3.43434 -12.378 -13.542 -14.508 -15.159 -15.701 -15.909 -15.811 -15.757 -15.741 
3.63636 -12.219 -13.158 -14.148 -14.979 -15.436 -15.769 -15.716 -15.701 -15.483 
3.83838 -12.208 -13.391 -14.265 -14.895 -15.468 -15.785 -15.666 -15.652 -15.603 
4.04040 -12.301 -13.338 -14.109 -14.860 -15.384 -15.594 -15.540 -15.553 -15.434 
4.24242 -12.381 -13.364 -14.167 -14.755 -15.296 -15.633 -15.478 -15.235 -15.308 
4.44444 -12.266 -13.177 -13.940 -14.620 -15.258 -15.469 -15.386 -15.485 -15.194 
4.64646 -11.938 -12.983 -13.991 -14.535 -15.164 -15.376 -15.213 -15.179 -15.034 
4.84848 -11.987 -13.026 -13.984 -14.591 -15.033 -15.194 -15.206 -15.044 -14.818 
5.05051 -11.946 -12.778 -13.739 -14.482 -14.945 -15.212 -15.251 -14.917 -14.776 
5.25253 -11.432 -12.847 -13.628 -14.431 -14.872 -15.137 -14.987 -14.864 -14.781 
5.45455 -11.361 -12.525 -13.607 -14.256 -14.780 -14.988 -14.991 -14.767 -14.747 
5.65657 -11.151 -12.559 -13.524 -14.258 -14.660 -15.061 -14.823 -14.867 -14.706 
5.85859 -11.039 -12.365 -13.341 -14.066 -14.621 -14.875 -14.843 -14.660 -14.613 
6.06061 -10.783 -12.187 -13.313 -13.996 -14.520 -14.779 -14.789 -14.586 -14.264 
6.26263 -10.348 -12.029 -13.186 -13.851 -14.495 -14.829 -14.713 -14.362 -14.167 
6.46465 -10.300 -12.027 -13.115 -13.918 -14.393 -14.762 -14.652 -14.519 -14.309 
6.66667 -10.104 -11.941 -12.938 -13.832 -14.317 -14.654 -14.584 -14.497 -14.110 
6.86869 -10.264 -11.796 -12.786 -13.645 -14.305 -14.589 -14.456 -14.336 -14.217 
7.07071 -9.950 -11.552 -12.763 -13.662 -14.135 -14.533 -14.512 -14.305 -14.100 
7.27273 -9.580 -11.691 -12.633 -13.540 -14.248 -14.447 -14.431 -14.341 -14.038 
7.47475 -9.737 -11.519 -12.792 -13.426 -14.108 -14.288 -14.340 -14.234 -14.024 
7.67677 -9.227 -11.259 -12.391 -13.503 -14.066 -14.441 -14.247 -14.139 -13.773 
7.87879 -9.615 -11.124 -12.427 -13.359 -14.019 -14.300 -14.398 -14.150 -13.899 
8.08081 -8.852 -10.945 -12.357 -13.345 -13.874 -14.122 -14.262 -14.002 -13.796 
8.28283 -8.793 -10.983 -12.534 -13.177 -13.767 -14.113 -14.178 -14.091 -13.899 
8.48485 -8.582 -10.710 -12.203 -13.024 -13.728 -14.041 -14.110 -14.176 -13.831 
8.68687 -8.422 -10.782 -12.079 -13.108 -13.668 -14.042 -14.066 -13.971 -13.872 
8.88889 -8.209 -10.727 -11.957 -12.969 -13.454 -13.861 -14.018 -13.961 -13.801 
9.09091 -7.930 -10.293 -11.649 -12.803 -13.399 -13.844 -13.944 -13.933 -13.652 
9.29293 -7.722 -10.152 -11.711 -12.729 -13.444 -13.790 -13.795 -13.773 -13.721 
9.49495 -7.539 -10.341 -11.477 -12.592 -13.239 -13.625 -13.824 -13.786 -13.530 
9.69697 -7.176 -9.952 -11.436 -12.565 -13.241 -13.725 -13.786 -13.704 -13.562 
9.89899 -8.020 -9.714 -11.285 -12.384 -13.170 -13.632 -13.735 -13.746 -13.452 
10.10101 -6.617 -9.655 -11.354 -12.293 -13.084 -13.460 -13.727 -13.729 -13.605 
10.30303 -6.794 -9.498 -11.075 -12.281 -12.977 -13.396 -13.605 -13.594 -13.472 
10.50505 -6.684 -9.192 -10.991 -12.271 -13.014 -13.333 -13.606 -13.609 -13.441 
10.70707 -6.237 -9.319 -10.927 -12.093 -12.808 -13.324 -13.574 -13.578 -13.362 
10.90909 -6.158 -9.118 -10.742 -11.986 -12.857 -13.217 -13.511 -13.663 -13.422 
11.11111 -6.430 -8.930 -10.743 -12.028 -12.676 -13.174 -13.484 -13.530 -13.479 
11.31313 -5.847 -8.587 -10.494 -11.870 -12.637 -13.097 -13.381 -13.532 -13.283 
11.51515 -5.810 -8.860 -10.723 -11.819 -12.568 -13.043 -13.379 -13.381 -13.351 
11.71717 -6.018 -8.353 -10.379 -11.616 -12.485 -12.965 -13.355 -13.386 -13.281 
11.91919 -5.402 -8.407 -10.233 -11.542 -12.384 -12.890 -13.271 -13.307 -13.301 
12.12121 -4.804 -8.087 -10.081 -11.606 -12.370 -12.864 -13.152 -13.317 -13.223 
12.32323 -4.969 -8.062 -10.014 -11.401 -12.320 -12.831 -13.165 -13.240 -13.159 
12.52525 -4.538 -7.859 -9.903 -11.312 -12.225 -12.707 -13.079 -13.214 -13.193 
12.72727 -4.598 -7.600 -9.905 -11.325 -12.161 -12.691 -13.006 -13.171 -13.133 
12.92929 -4.696 -7.757 -9.770 -11.278 -12.107 -12.585 -12.956 -13.137 -13.143 
13.13131 -4.508 -7.725 -9.627 -11.142 -12.093 -12.524 -12.979 -13.137 -13.095 
13.33333 -4.520 -7.403 -9.597 -11.072 -12.027 -12.427 -12.895 -13.064 -13.010 
13.53535 -4.181 -7.320 -9.547 -11.087 -11.858 -12.384 -12.852 -13.043 -13.159 
13.73737 -4.301 -7.053 -9.390 -10.867 -11.807 -12.380 -12.801 -13.012 -13.055 
13.93939 -3.856 -6.951 -9.228 -10.834 -11.837 -12.312 -12.759 -13.006 -13.004 
14.14141 -3.477 -6.935 -9.210 -10.763 -11.756 -12.233 -12.745 -12.916 -12.891 
14.34343 -3.450 -6.690 -9.086 -10.681 -11.617 -12.284 -12.703 -12.913 -12.913 
14.54545 -3.907 -6.620 -8.902 -10.657 -11.611 -12.136 -12.603 -12.931 -12.878 
14.74747 -3.428 -6.497 -8.923 -10.493 -11.538 -12.123 -12.624 -12.897 -12.860 
14.94949 -3.027 -6.451 -8.957 -10.504 -11.454 -12.095 -12.550 -12.878 -12.893 
15.15152 -3.303 -6.401 -8.853 -10.339 -11.428 -11.987 -12.577 -12.826 -12.828 
15.35354 -2.932 -6.102 -8.589 -10.305 -11.370 -11.950 -12.466 -12.858 -12.829 
15.55556 -2.698 -5.949 -8.631 -10.194 -11.327 -11.950 -12.430 -12.744 -12.789 
15.75758 -2.585 -5.851 -8.510 -10.253 -11.276 -11.827 -12.431 -12.773 -12.775 
15.95960 -2.469 -5.946 -8.326 -10.131 -11.211 -11.842 -12.416 -12.743 -12.764 
16.16162 -2.280 -5.552 -8.306 -10.064 -11.177 -11.806 -12.381 -12.735 -12.759 
16.36364 -2.170 -5.571 -8.157 -9.995 -11.058 -11.716 -12.302 -12.642 -12.728 
16.56566 -1.990 -5.378 -8.015 -10.087 -11.057 -11.709 -12.300 -12.658 -12.747 
16.76768 -1.907 -5.089 -7.978 -9.905 -10.999 -11.676 -12.278 -12.621 -12.783 
16.96970 -1.799 -5.161 -8.037 -9.835 -10.934 -11.686 -12.293 -12.657 -12.742 
17.17172 -1.613 -5.218 -7.883 -9.743 -10.977 -11.559 -12.158 -12.651 -12.733 
17.37374 -1.553 -5.006 -7.702 -9.763 -10.843 -11.534 -12.174 -12.684 -12.717 
17.57576 -1.414 -4.854 -7.722 -9.616 -10.806 -11.509 -12.157 -12.534 -12.792 
17.77778 -1.237 -4.883 -7.642 -9.650 -10.785 -11.537 -12.128 -12.549 -12.685 
17.97980 -1.138 -4.661 -7.423 -9.489 -10.727 -11.561 -12.128 -12.563 -12.720 
18.18182 -1.031 -4.541 -7.514 -9.454 -10.663 -11.386 -12.110 -12.521 -12.681 
18.38384 -0.910 -4.569 -7.420 -9.430 -10.681 -11.323 -12.110 -12.491 -12.756 
18.58586 -0.875 -4.372 -7.130 -9.376 -10.632 -11.284 -12.027 -12.552 -12.664 
18.78788 -0.789 -4.246 -7.176 -9.375 -10.665 -11.278 -12.019 -12.478 -12.662 
18.98990 -0.725 -4.207 -7.016 -9.163 -10.515 -11.263 -11.969 -12.480 -12.616 
19.19192 -0.620 -4.140 -6.923 -9.123 -10.492 -11.221 -11.960 -12.435 -12.580 
19.39394 -0.994 -4.148 -6.789 -9.135 -10.391 -11.242 -11.866 -12.412 -12.557 
