# t[days] u g r i z y J H K
0.20202 -12.234 -10.947 -10.853 -8.404 -8.337 -7.228 -5.884 -4.945 -6.901 
0.40404 -14.105 -14.347 -14.912 -15.222 -14.571 -14.312 -10.664 -12.356 -11.169 
0.60606 -14.503 -15.301 -15.841 -15.611 -15.194 -14.959 -14.581 -14.823 -13.419 
0.80808 -14.481 -15.519 -16.207 -16.019 -15.758 -15.575 -15.043 -15.367 -13.915 
1.01010 -14.713 -15.777 -16.169 -16.157 -15.862 -16.125 -15.642 -15.095 -14.609 
1.21212 -14.587 -15.837 -16.227 -16.363 -16.182 -16.095 -15.989 -15.891 -15.713 
1.41414 -14.374 -15.809 -16.342 -16.422 -16.157 -16.177 -16.039 -16.037 -15.043 
1.61616 -13.940 -15.666 -16.260 -16.425 -16.405 -16.445 -16.109 -16.257 -15.644 
1.81818 -13.624 -15.604 -16.279 -16.341 -16.440 -16.228 -16.280 -16.056 -15.942 
2.02020 -13.114 -15.497 -16.019 -16.206 -16.142 -16.157 -16.296 -16.049 -16.315 
2.22222 -12.742 -15.248 -15.899 -16.161 -16.096 -16.106 -16.287 -16.389 -15.710 
2.42424 -12.387 -14.971 -15.622 -15.972 -16.147 -16.205 -16.144 -16.323 -16.195 
2.62626 -12.215 -14.662 -15.398 -15.799 -15.903 -16.048 -16.159 -16.094 -15.939 
2.82828 -12.156 -14.389 -15.326 -15.567 -15.944 -15.776 -16.042 -16.206 -15.876 
3.03030 -11.988 -14.032 -14.812 -15.442 -15.614 -15.671 -15.707 -15.846 -16.023 
3.23232 -11.498 -13.751 -14.685 -15.126 -15.206 -15.634 -15.693 -15.948 -15.723 
3.43434 -11.556 -13.548 -14.392 -14.860 -15.385 -15.628 -15.767 -15.583 -15.871 
3.63636 -11.256 -13.365 -14.249 -14.658 -15.203 -15.465 -15.617 -15.622 -15.700 
3.83838 -11.248 -13.193 -14.211 -14.798 -15.086 -15.434 -15.413 -15.331 -15.593 
4.04040 -11.114 -12.980 -14.008 -14.422 -14.916 -15.133 -15.263 -15.264 -15.488 
4.24242 -11.074 -12.794 -13.762 -14.409 -14.886 -14.986 -15.282 -15.384 -15.498 
4.44444 -10.898 -12.608 -13.494 -14.383 -14.783 -15.015 -15.155 -15.335 -15.356 
4.64646 -10.672 -12.345 -13.567 -14.092 -14.564 -14.908 -15.120 -15.188 -15.227 
4.84848 -10.380 -12.216 -13.347 -13.958 -14.600 -14.843 -15.034 -15.176 -15.194 
5.05051 -10.411 -12.001 -13.093 -13.959 -14.491 -14.781 -14.918 -15.148 -15.127 
5.25253 -10.287 -12.106 -13.024 -13.676 -14.273 -14.726 -14.781 -15.013 -15.074 
5.45455 -9.967 -11.780 -12.823 -13.704 -14.218 -14.618 -14.753 -14.836 -14.989 
5.65657 -9.980 -11.590 -12.766 -13.485 -14.227 -14.469 -14.734 -14.934 -14.982 
5.85859 -9.896 -11.759 -12.733 -13.593 -14.018 -14.444 -14.638 -14.874 -14.955 
6.06061 -9.401 -11.258 -12.531 -13.337 -14.090 -14.383 -14.582 -14.814 -14.738 
