# t[days] u g r i z y J H K
0.20202 -12.895 -13.577 -13.793 -14.062 -13.622 -13.444 -9.543 -9.446 -6.331 
0.40404 -14.369 -15.392 -15.184 -15.188 -15.132 -14.134 -14.394 -12.546 -13.239 
0.60606 -15.112 -15.839 -16.191 -15.827 -15.894 -15.807 -15.378 -14.882 -13.598 
0.80808 -15.091 -16.184 -16.476 -16.200 -15.859 -16.052 -15.817 -15.446 -15.150 
1.01010 -15.046 -16.166 -16.426 -16.229 -16.241 -16.249 -15.795 -15.526 -15.305 
1.21212 -14.707 -16.110 -16.417 -16.533 -16.572 -16.383 -16.296 -15.870 -15.771 
1.41414 -14.298 -15.903 -16.311 -16.424 -16.557 -16.597 -16.204 -16.037 -15.839 
1.61616 -13.875 -15.603 -16.128 -16.412 -16.520 -16.587 -16.499 -16.182 -16.095 
1.81818 -13.426 -15.416 -16.045 -16.250 -16.469 -16.504 -16.410 -16.129 -15.960 
2.02020 -13.212 -15.145 -15.826 -16.174 -16.334 -16.421 -16.431 -16.350 -15.907 
2.22222 -12.820 -14.835 -15.592 -16.015 -16.270 -16.320 -16.231 -16.092 -15.852 
2.42424 -12.585 -14.557 -15.406 -15.827 -16.142 -16.183 -16.148 -16.031 -15.703 
2.62626 -12.342 -14.359 -15.123 -15.658 -16.041 -16.158 -16.068 -15.922 -15.832 
2.82828 -12.076 -13.940 -14.877 -15.348 -15.752 -15.945 -15.923 -15.964 -15.687 
3.03030 -11.699 -13.655 -14.704 -15.182 -15.646 -15.824 -15.706 -15.782 -15.506 
3.23232 -11.636 -13.643 -14.514 -15.070 -15.492 -15.747 -15.706 -15.543 -15.479 
3.43434 -11.179 -13.380 -14.269 -15.019 -15.386 -15.603 -15.569 -15.482 -15.365 
3.63636 -11.063 -13.021 -14.016 -14.775 -15.281 -15.401 -15.502 -15.457 -15.257 
3.83838 -10.716 -12.925 -13.915 -14.626 -14.991 -15.240 -15.322 -15.262 -15.344 
4.04040 -10.911 -12.628 -13.767 -14.439 -14.975 -15.228 -15.121 -15.225 -15.144 
