# t[days] u g r i z y J H K
0.20202 -11.299 -11.796 -9.791 -9.541 -9.659 -8.365 -8.430 -8.893 -10.706 
0.40404 -13.630 -14.633 -15.083 -14.995 -13.990 -14.361 -14.039 -13.494 -11.754 
0.60606 -14.677 -15.553 -15.791 -15.600 -14.959 -15.102 -15.066 -14.174 -13.990 
0.80808 -14.901 -15.736 -16.163 -15.808 -15.847 -15.307 -15.304 -15.025 -14.620 
1.01010 -14.201 -15.985 -16.187 -15.984 -15.957 -15.454 -15.474 -15.667 -15.249 
1.21212 -14.219 -15.678 -15.765 -15.993 -15.616 -15.523 -15.572 -15.568 -14.126 
1.41414 -13.932 -15.517 -15.795 -15.981 -15.918 -15.721 -15.864 -15.603 -15.031 
1.61616 -13.499 -15.403 -15.993 -15.924 -16.049 -15.955 -16.180 -15.755 -15.452 
1.81818 -13.174 -15.395 -15.704 -15.930 -16.272 -16.326 -16.182 -16.254 -16.034 
2.02020 -13.076 -15.466 -15.866 -16.009 -16.163 -16.277 -16.211 -16.175 -15.871 
2.22222 -13.049 -15.164 -15.695 -15.930 -16.027 -16.331 -16.172 -16.289 -16.018 
2.42424 -13.024 -14.972 -15.541 -15.901 -16.155 -16.169 -16.203 -16.164 -15.941 
2.62626 -12.531 -14.685 -15.277 -15.634 -16.075 -16.145 -15.977 -16.121 -16.012 
2.82828 -12.713 -14.578 -15.214 -15.460 -15.982 -15.995 -16.128 -16.076 -15.964 
3.03030 -12.430 -14.127 -14.816 -15.469 -15.803 -15.920 -15.971 -16.068 -15.908 
3.23232 -12.478 -13.992 -14.847 -15.295 -15.624 -15.916 -15.867 -15.896 -15.941 
3.43434 -12.014 -13.900 -14.582 -15.211 -15.624 -15.797 -15.782 -15.752 -15.935 
3.63636 -11.980 -13.443 -14.266 -14.975 -15.495 -15.524 -15.796 -15.668 -15.671 
3.83838 -11.671 -13.523 -14.191 -14.719 -15.300 -15.502 -15.586 -15.645 -15.415 
4.04040 -11.705 -13.081 -13.980 -14.636 -15.199 -15.401 -15.583 -15.608 -15.596 
4.24242 -11.479 -12.679 -13.890 -14.436 -15.097 -15.284 -15.461 -15.323 -15.568 
4.44444 -11.418 -12.435 -13.636 -14.354 -14.914 -15.333 -15.310 -15.487 -15.243 
4.64646 -11.159 -12.758 -13.860 -14.450 -15.046 -15.199 -15.149 -15.274 -15.511 
4.84848 -10.920 -12.456 -13.339 -14.299 -14.807 -15.167 -15.212 -15.304 -15.242 
5.05051 -10.632 -12.166 -13.212 -14.013 -14.727 -15.055 -15.080 -15.041 -15.196 
5.25253 -10.448 -12.078 -13.292 -14.059 -14.606 -14.897 -14.964 -15.154 -15.012 
5.45455 -10.246 -11.964 -13.024 -13.921 -14.573 -14.817 -14.877 -15.078 -14.864 
5.65657 -10.096 -11.867 -12.956 -13.883 -14.425 -14.854 -14.896 -14.979 -15.001 
5.85859 -10.670 -12.018 -12.874 -13.791 -14.319 -14.657 -14.796 -14.893 -15.095 
6.06061 -9.906 -11.933 -12.742 -13.705 -14.362 -14.629 -14.799 -14.735 -14.779 
6.26263 -9.745 -11.532 -12.824 -13.500 -14.207 -14.538 -14.650 -14.586 -14.744 
6.46465 -9.300 -11.351 -12.529 -13.464 -14.176 -14.462 -14.551 -14.587 -14.586 
6.66667 -9.541 -11.309 -12.496 -13.445 -14.030 -14.400 -14.502 -14.551 -14.549 
6.86869 -9.370 -11.083 -12.364 -13.365 -14.006 -14.441 -14.435 -14.510 -14.503 
7.07071 -9.621 -11.069 -12.213 -13.264 -13.865 -14.203 -14.427 -14.373 -14.574 
7.27273 -9.096 -11.387 -12.312 -13.260 -13.947 -14.176 -14.246 -14.318 -14.272 
7.47475 -9.480 -10.788 -12.061 -13.162 -13.852 -14.220 -14.222 -14.330 -14.336 
7.67677 -8.798 -10.762 -12.106 -13.180 -13.851 -14.199 -14.159 -14.237 -14.317 
7.87879 -8.559 -10.621 -11.973 -12.981 -13.717 -14.030 -14.208 -14.183 -14.183 
8.08081 -8.261 -10.507 -12.030 -12.858 -13.587 -14.025 -14.158 -14.019 -14.174 
8.28283 -7.832 -10.232 -11.752 -12.766 -13.515 -13.963 -14.012 -14.122 -14.091 
8.48485 -8.184 -10.278 -11.841 -12.781 -13.421 -13.846 -13.937 -13.972 -14.174 
8.68687 -7.745 -9.978 -11.593 -12.695 -13.498 -13.803 -13.894 -13.952 -14.128 
8.88889 -7.609 -10.301 -11.473 -12.658 -13.408 -13.749 -13.953 -14.013 -13.671 
9.09091 -8.158 -9.946 -11.601 -12.683 -13.206 -13.667 -13.894 -13.901 -13.855 
9.29293 -7.397 -9.752 -11.332 -12.556 -13.217 -13.522 -13.812 -13.770 -13.722 
9.49495 -7.173 -9.553 -11.254 -12.347 -13.123 -13.581 -13.780 -13.753 -13.749 
9.69697 -6.961 -9.527 -11.128 -12.334 -13.077 -13.464 -13.629 -13.638 -13.677 
9.89899 -6.553 -9.162 -10.989 -12.316 -12.979 -13.353 -13.647 -13.618 -13.620 
10.10101 -6.556 -9.040 -10.970 -12.189 -12.992 -13.302 -13.617 -13.650 -13.620 
10.30303 -6.381 -9.098 -10.788 -12.109 -12.967 -13.326 -13.539 -13.623 -13.544 
10.50505 -6.444 -8.800 -10.787 -11.958 -12.782 -13.235 -13.492 -13.494 -13.511 
10.70707 -5.895 -8.637 -10.720 -11.941 -12.640 -13.133 -13.430 -13.540 -13.424 
10.90909 -6.249 -8.860 -10.674 -11.892 -12.796 -13.110 -13.376 -13.437 -13.543 
11.11111 -5.988 -8.676 -10.644 -11.785 -12.628 -13.157 -13.311 -13.490 -13.353 
11.31313 -5.488 -8.471 -10.363 -11.646 -12.523 -13.015 -13.291 -13.325 -13.413 
11.51515 -5.354 -8.277 -10.185 -11.527 -12.459 -12.881 -13.193 -13.393 -13.321 
11.71717 -5.365 -8.184 -10.169 -11.537 -12.421 -12.793 -13.166 -13.249 -13.294 
11.91919 -5.270 -8.047 -9.992 -11.479 -12.280 -12.740 -13.135 -13.234 -13.253 
12.12121 -4.948 -8.128 -9.948 -11.439 -12.239 -12.709 -13.055 -13.186 -13.188 
12.32323 -4.574 -7.823 -9.834 -11.278 -12.155 -12.637 -13.002 -13.154 -13.158 
12.52525 -4.528 -7.490 -9.801 -11.149 -12.063 -12.636 -12.877 -13.117 -13.167 
12.72727 -4.228 -7.482 -9.785 -11.176 -12.004 -12.617 -12.908 -13.096 -13.090 
12.92929 -4.553 -7.237 -9.499 -10.977 -12.065 -12.461 -12.868 -13.040 -12.993 
