# t[days] u g r i z y J H K
0.20202 -12.672 -13.364 -14.018 -12.887 -12.868 -10.118 -8.623 -4.853 -5.140 
0.40404 -14.537 -15.024 -15.132 -14.684 -14.701 -14.380 -13.278 -12.824 -12.740 
0.60606 -15.066 -15.881 -16.180 -16.007 -15.574 -15.646 -15.375 -14.750 -15.361 
0.80808 -14.977 -16.146 -16.625 -16.397 -16.210 -16.122 -15.824 -15.315 -15.163 
1.01010 -15.006 -16.374 -16.781 -16.702 -16.396 -16.468 -16.086 -15.960 -15.289 
1.21212 -14.781 -16.306 -16.805 -16.679 -16.654 -16.711 -16.372 -15.995 -15.657 
1.41414 -14.468 -16.124 -16.630 -16.800 -16.739 -16.699 -16.546 -16.250 -15.737 
1.61616 -14.057 -15.916 -16.498 -16.598 -16.740 -16.734 -16.563 -16.288 -15.813 
1.81818 -13.601 -15.560 -16.191 -16.432 -16.545 -16.505 -16.534 -16.155 -15.922 
2.02020 -13.087 -15.249 -15.963 -16.267 -16.444 -16.483 -16.406 -16.097 -15.995 
2.22222 -12.537 -14.869 -15.651 -15.968 -16.270 -16.325 -16.232 -16.151 -15.715 
2.42424 -12.170 -14.546 -15.427 -15.746 -16.053 -16.265 -16.163 -16.041 -15.773 
2.62626 -11.837 -14.295 -15.102 -15.552 -15.966 -15.980 -16.026 -15.832 -15.722 
2.82828 -11.563 -13.925 -14.872 -15.424 -15.815 -15.981 -15.862 -15.766 -15.634 
3.03030 -11.319 -13.652 -14.701 -15.199 -15.644 -15.786 -15.862 -15.711 -15.461 
3.23232 -10.991 -13.458 -14.430 -15.073 -15.525 -15.740 -15.680 -15.567 -15.465 
3.43434 -10.767 -13.078 -14.185 -14.883 -15.344 -15.592 -15.579 -15.521 -15.480 
3.63636 -10.528 -13.068 -14.092 -14.855 -15.214 -15.437 -15.475 -15.485 -15.260 
3.83838 -10.532 -12.812 -13.919 -14.661 -15.088 -15.386 -15.399 -15.327 -15.179 
4.04040 -10.325 -12.676 -13.767 -14.542 -15.006 -15.226 -15.333 -15.324 -15.156 
4.24242 -9.911 -12.428 -13.686 -14.322 -14.790 -15.107 -15.127 -15.272 -15.114 
4.44444 -9.993 -12.287 -13.522 -14.251 -14.741 -15.048 -15.091 -15.215 -15.038 
4.64646 -9.717 -12.058 -13.359 -14.106 -14.698 -14.937 -14.986 -15.051 -15.037 
4.84848 -9.320 -12.006 -13.282 -14.016 -14.599 -14.797 -14.930 -14.981 -14.929 
5.05051 -9.291 -11.632 -12.976 -13.876 -14.373 -14.623 -14.872 -14.884 -14.885 
5.25253 -8.974 -11.567 -12.867 -13.803 -14.317 -14.580 -14.734 -14.847 -14.920 
5.45455 -8.824 -11.389 -12.784 -13.565 -14.249 -14.458 -14.662 -14.756 -14.706 
5.65657 -8.637 -11.212 -12.593 -13.520 -14.087 -14.336 -14.618 -14.747 -14.687 
5.85859 -8.461 -11.001 -12.462 -13.437 -14.030 -14.293 -14.450 -14.566 -14.550 
6.06061 -8.178 -10.900 -12.385 -13.279 -13.896 -14.174 -14.397 -14.519 -14.610 
6.26263 -8.086 -10.842 -12.363 -13.100 -13.827 -14.049 -14.282 -14.335 -14.553 
6.46465 -7.681 -10.438 -12.098 -13.047 -13.724 -14.006 -14.205 -14.325 -14.361 
6.66667 -7.663 -10.357 -11.945 -12.958 -13.557 -13.932 -14.037 -14.198 -14.349 
6.86869 -7.313 -10.168 -11.812 -12.812 -13.493 -13.742 -14.061 -14.120 -14.298 
7.07071 -7.389 -10.039 -11.673 -12.744 -13.382 -13.673 -13.878 -14.040 -14.136 
7.27273 -6.830 -9.868 -11.577 -12.668 -13.251 -13.631 -13.825 -13.941 -14.112 
7.47475 -6.722 -9.757 -11.343 -12.546 -13.204 -13.546 -13.766 -13.904 -14.089 
7.67677 -6.775 -9.359 -11.324 -12.452 -13.126 -13.413 -13.672 -13.881 -13.924 
7.87879 -6.437 -9.410 -11.203 -12.341 -12.969 -13.399 -13.625 -13.744 -13.965 
8.08081 -6.260 -9.361 -10.997 -12.244 -12.910 -13.288 -13.493 -13.674 -13.867 
8.28283 -6.332 -8.955 -10.883 -12.099 -12.827 -13.184 -13.472 -13.610 -13.755 
8.48485 -5.945 -8.879 -10.820 -12.031 -12.731 -13.064 -13.349 -13.589 -13.708 
8.68687 -5.691 -8.853 -10.644 -11.899 -12.630 -13.027 -13.273 -13.549 -13.700 
8.88889 -5.355 -8.596 -10.626 -11.830 -12.532 -12.892 -13.191 -13.478 -13.700 
9.09091 -5.326 -8.586 -10.423 -11.732 -12.475 -12.867 -13.219 -13.357 -13.582 
9.29293 -5.286 -8.286 -10.376 -11.697 -12.408 -12.791 -13.122 -13.384 -13.463 
9.49495 -4.958 -8.191 -10.295 -11.510 -12.287 -12.718 -13.033 -13.321 -13.476 
9.69697 -4.641 -7.978 -10.156 -11.548 -12.254 -12.613 -12.947 -13.215 -13.377 
9.89899 -4.584 -7.991 -9.968 -11.382 -12.178 -12.535 -12.872 -13.161 -13.284 
10.10101 -4.638 -7.633 -9.914 -11.309 -12.071 -12.523 -12.819 -13.102 -13.286 
10.30303 -4.076 -7.436 -9.738 -11.168 -11.972 -12.462 -12.811 -13.097 -13.228 
10.50505 -4.344 -7.568 -9.654 -11.092 -11.987 -12.356 -12.746 -12.969 -13.116 
10.70707 -3.575 -7.332 -9.525 -11.043 -11.908 -12.383 -12.709 -12.995 -13.171 
10.90909 -3.878 -6.955 -9.375 -10.944 -11.826 -12.330 -12.664 -12.936 -13.093 
11.11111 -3.598 -6.851 -9.420 -10.828 -11.792 -12.211 -12.638 -12.904 -13.081 
11.31313 -3.196 -6.782 -9.296 -10.828 -11.692 -12.202 -12.596 -12.861 -13.008 
11.51515 -2.696 -6.915 -9.130 -10.734 -11.646 -12.168 -12.548 -12.807 -13.049 
11.71717 -2.708 -6.550 -9.115 -10.673 -11.623 -12.127 -12.528 -12.812 -13.013 
11.91919 -2.966 -6.369 -8.919 -10.647 -11.562 -11.993 -12.465 -12.715 -12.901 
12.12121 -2.319 -6.215 -8.780 -10.506 -11.442 -12.033 -12.434 -12.702 -12.867 
12.32323 -2.209 -6.200 -8.693 -10.482 -11.489 -11.950 -12.362 -12.725 -12.899 
12.52525 -2.080 -5.927 -8.753 -10.321 -11.388 -11.864 -12.354 -12.645 -12.849 
12.72727 -1.966 -5.836 -8.560 -10.318 -11.334 -11.852 -12.332 -12.625 -12.827 
12.92929 -1.859 -5.909 -8.477 -10.261 -11.196 -11.802 -12.308 -12.608 -12.799 
13.13131 -1.789 -5.766 -8.316 -10.195 -11.214 -11.763 -12.240 -12.558 -12.699 
13.33333 -1.695 -5.559 -8.357 -10.177 -11.226 -11.707 -12.274 -12.584 -12.715 
13.53535 -1.567 -5.579 -8.167 -10.112 -11.124 -11.655 -12.157 -12.529 -12.735 
13.73737 -1.574 -5.347 -8.145 -9.997 -11.065 -11.649 -12.117 -12.544 -12.757 
13.93939 -1.353 -4.970 -8.341 -9.921 -11.014 -11.561 -12.077 -12.446 -12.625 
14.14141 -1.196 -5.299 -7.932 -9.901 -10.918 -11.527 -12.118 -12.462 -12.656 
14.34343 -1.077 -4.570 -7.773 -9.803 -10.941 -11.521 -12.028 -12.451 -12.652 
14.54545 -1.020 -4.560 -7.789 -9.776 -10.906 -11.453 -12.005 -12.425 -12.607 
14.74747 -0.797 -4.451 -7.697 -9.707 -10.845 -11.415 -11.974 -12.387 -12.568 
14.94949 -0.647 -4.768 -7.615 -9.661 -10.750 -11.365 -11.926 -12.351 -12.554 
15.15152 -0.610 -4.124 -7.384 -9.530 -10.707 -11.275 -11.914 -12.276 -12.481 
15.35354 -0.374 -4.005 -7.532 -9.512 -10.591 -11.201 -11.854 -12.306 -12.533 
15.55556 -0.245 -3.879 -7.471 -9.380 -10.556 -11.238 -11.793 -12.254 -12.468 
15.75758 -0.009 -4.265 -7.215 -9.373 -10.540 -11.230 -11.870 -12.241 -12.456 
15.95960 0.063 -3.941 -7.225 -9.284 -10.445 -11.181 -11.766 -12.238 -12.438 
16.16162 0.214 -4.059 -7.093 -9.331 -10.394 -10.981 -11.778 -12.166 -12.471 
16.36364 0.387 -3.633 -7.095 -9.112 -10.314 -11.064 -11.690 -12.085 -12.428 
16.56566 0.556 -3.517 -6.806 -9.095 -10.298 -10.921 -11.645 -12.037 -12.343 
16.76768 0.660 -3.145 -6.850 -8.955 -10.197 -10.868 -11.545 -12.076 -12.325 
16.96970 0.761 -3.313 -6.647 -8.910 -10.150 -10.805 -11.519 -12.033 -12.363 
17.17172 0.871 -2.907 -6.538 -8.757 -10.094 -10.772 -11.439 -12.050 -12.268 
17.37374 1.012 -2.616 -6.630 -8.767 -10.042 -10.704 -11.494 -11.974 -12.267 
17.57576 1.171 -3.357 -6.480 -8.798 -9.940 -10.576 -11.378 -11.990 -12.194 
17.77778 1.304 -2.923 -6.495 -8.687 -9.933 -10.544 -11.344 -11.868 -12.188 
17.97980 1.476 -3.298 -6.243 -8.564 -9.797 -10.551 -11.278 -11.849 -12.169 
18.18182 1.595 -2.493 -6.241 -8.480 -9.713 -10.462 -11.253 -11.783 -12.122 
18.38384 1.753 -2.009 -6.101 -8.324 -9.716 -10.399 -11.213 -11.804 -12.075 
18.58586 1.814 -2.347 -6.035 -8.318 -9.607 -10.366 -11.107 -11.760 -12.001 
18.78788 1.935 -2.055 -5.881 -8.180 -9.593 -10.350 -11.080 -11.716 -12.091 
18.98990 2.180 -1.742 -5.642 -8.189 -9.544 -10.297 -11.068 -11.673 -12.029 
19.19192 2.309 -1.620 -5.902 -8.091 -9.463 -10.218 -11.019 -11.596 -11.954 
19.39394 2.429 -1.725 -5.672 -7.968 -9.376 -10.147 -10.977 -11.572 -11.874 
19.59596 2.490 -2.284 -5.409 -7.851 -9.291 -10.061 -10.880 -11.508 -11.829 
19.79798 2.625 -1.510 -5.140 -7.795 -9.176 -9.928 -10.795 -11.361 -11.788 
20.00000 2.515 -1.194 -5.225 -7.531 -9.040 -9.760 -10.655 -11.310 -11.683 
