# t[days] u g r i z y J H K
0.20202 -11.317 -12.648 -13.611 -11.618 -13.530 -11.292 -11.126 -8.656 -3.965 
0.40404 -14.799 -15.516 -15.489 -14.496 -14.974 -13.776 -13.479 -13.152 -12.047 
0.60606 -15.115 -15.834 -16.191 -16.088 -15.945 -15.881 -14.746 -14.894 -14.203 
0.80808 -15.313 -16.354 -16.722 -16.657 -16.460 -16.202 -15.942 -15.328 -14.725 
1.01010 -15.420 -16.603 -16.854 -16.676 -16.706 -16.425 -16.221 -15.920 -15.397 
1.21212 -15.210 -16.506 -16.911 -16.943 -16.675 -16.643 -16.450 -16.291 -15.825 
1.41414 -14.894 -16.497 -16.860 -16.859 -16.996 -16.801 -16.567 -16.444 -15.949 
1.61616 -14.605 -16.408 -16.667 -16.792 -16.917 -16.817 -16.752 -16.774 -16.323 
1.81818 -14.289 -16.131 -16.743 -16.875 -16.964 -17.032 -16.745 -16.671 -16.427 
2.02020 -13.623 -15.935 -16.622 -16.894 -16.896 -17.019 -16.874 -16.791 -16.523 
2.22222 -13.587 -15.807 -16.390 -16.640 -16.908 -16.989 -16.830 -16.706 -16.381 
2.42424 -13.462 -15.508 -16.233 -16.568 -16.730 -16.959 -16.839 -16.754 -16.463 
2.62626 -13.002 -15.245 -16.037 -16.462 -16.578 -16.923 -16.645 -16.681 -16.492 
2.82828 -12.726 -15.028 -15.707 -16.236 -16.469 -16.736 -16.633 -16.567 -16.389 
3.03030 -12.531 -14.662 -15.562 -16.019 -16.348 -16.571 -16.578 -16.476 -16.457 
3.23232 -12.180 -14.495 -15.257 -15.823 -16.290 -16.369 -16.384 -16.306 -16.223 
3.43434 -11.843 -14.060 -15.113 -15.719 -16.109 -16.382 -16.336 -16.237 -16.153 
3.63636 -11.810 -13.905 -14.872 -15.498 -15.977 -16.148 -16.195 -16.185 -16.172 
3.83838 -11.449 -13.767 -14.676 -15.351 -15.905 -16.052 -16.125 -16.053 -15.959 
4.04040 -11.355 -13.410 -14.596 -15.206 -15.797 -15.916 -15.965 -16.079 -16.028 
4.24242 -11.309 -13.365 -14.434 -15.127 -15.589 -15.851 -15.859 -16.019 -15.924 
4.44444 -11.152 -13.252 -14.285 -15.041 -15.484 -15.800 -15.893 -15.927 -15.865 
4.64646 -10.954 -13.066 -14.165 -14.893 -15.376 -15.658 -15.794 -15.836 -15.674 
4.84848 -11.003 -12.940 -14.087 -14.676 -15.316 -15.504 -15.645 -15.708 -15.736 
5.05051 -10.469 -12.588 -13.823 -14.564 -15.145 -15.436 -15.434 -15.613 -15.424 
5.25253 -10.366 -12.456 -13.746 -14.421 -15.079 -15.365 -15.446 -15.596 -15.496 
5.45455 -10.432 -12.514 -13.679 -14.385 -15.036 -15.298 -15.422 -15.485 -15.432 
5.65657 -10.416 -12.451 -13.575 -14.371 -14.818 -15.197 -15.357 -15.365 -15.375 
5.85859 -10.263 -12.189 -13.392 -14.194 -14.738 -15.176 -15.231 -15.296 -15.371 
6.06061 -10.251 -12.181 -13.374 -14.172 -14.669 -15.055 -15.191 -15.285 -15.346 
6.26263 -9.995 -12.205 -13.431 -14.123 -14.681 -14.896 -15.035 -15.132 -15.194 
6.46465 -10.119 -11.976 -13.133 -13.941 -14.597 -14.871 -14.932 -15.156 -15.052 
6.66667 -9.741 -12.031 -13.190 -13.984 -14.575 -14.877 -14.855 -15.060 -15.121 
6.86869 -9.577 -11.710 -12.972 -13.806 -14.378 -14.712 -14.817 -14.930 -15.017 
7.07071 -9.240 -11.541 -12.760 -13.596 -14.213 -14.579 -14.798 -14.920 -14.997 
7.27273 -8.972 -11.375 -12.684 -13.605 -14.283 -14.545 -14.721 -14.817 -14.772 
7.47475 -9.106 -11.314 -12.587 -13.555 -14.120 -14.442 -14.604 -14.773 -14.825 
7.67677 -8.838 -11.212 -12.506 -13.420 -14.054 -14.387 -14.507 -14.609 -14.705 
7.87879 -8.682 -10.877 -12.232 -13.293 -13.943 -14.323 -14.469 -14.635 -14.732 
8.08081 -8.559 -10.928 -12.277 -13.161 -13.923 -14.252 -14.440 -14.601 -14.722 
8.28283 -8.573 -10.771 -12.225 -13.238 -13.854 -14.095 -14.443 -14.521 -14.676 
8.48485 -8.421 -10.536 -12.030 -13.134 -13.768 -14.164 -14.309 -14.372 -14.458 
8.68687 -7.939 -10.559 -11.979 -13.108 -13.769 -14.095 -14.302 -14.378 -14.546 
8.88889 -7.803 -10.240 -11.786 -12.951 -13.570 -14.004 -14.174 -14.294 -14.364 
9.09091 -7.592 -10.130 -11.806 -12.856 -13.441 -13.940 -14.193 -14.243 -14.427 
9.29293 -7.491 -10.157 -11.680 -12.788 -13.528 -13.937 -14.110 -14.189 -14.304 
9.49495 -7.501 -9.781 -11.530 -12.611 -13.423 -13.747 -13.958 -14.162 -14.291 
9.69697 -7.280 -9.850 -11.641 -12.605 -13.251 -13.733 -14.016 -14.183 -14.194 
9.89899 -6.715 -9.715 -11.532 -12.462 -13.208 -13.652 -13.894 -14.055 -14.247 
10.10101 -6.760 -9.610 -11.331 -12.464 -13.165 -13.608 -13.875 -14.029 -14.049 
10.30303 -6.434 -9.453 -11.162 -12.347 -13.131 -13.503 -13.769 -13.891 -14.222 
10.50505 -6.794 -9.266 -11.119 -12.221 -13.086 -13.534 -13.718 -13.884 -14.020 
10.70707 -6.117 -9.062 -11.027 -12.189 -13.033 -13.401 -13.653 -13.914 -14.083 
10.90909 -5.822 -8.939 -10.885 -12.103 -12.899 -13.382 -13.648 -13.744 -14.024 
11.11111 -5.655 -8.890 -10.763 -12.045 -12.775 -13.229 -13.548 -13.788 -13.785 
11.31313 -5.482 -8.679 -10.687 -11.954 -12.783 -13.173 -13.514 -13.794 -13.919 
11.51515 -5.676 -8.623 -10.475 -11.856 -12.701 -13.139 -13.512 -13.612 -13.828 
11.71717 -5.269 -8.633 -10.582 -11.796 -12.638 -13.057 -13.461 -13.657 -13.832 
11.91919 -5.120 -8.475 -10.348 -11.674 -12.608 -13.010 -13.323 -13.496 -13.702 
12.12121 -5.356 -8.180 -10.291 -11.467 -12.414 -12.941 -13.291 -13.459 -13.583 
12.32323 -4.968 -7.822 -10.138 -11.527 -12.392 -12.853 -13.207 -13.436 -13.549 
12.52525 -4.883 -7.999 -10.120 -11.502 -12.317 -12.775 -13.180 -13.412 -13.468 
12.72727 -4.235 -7.699 -9.988 -11.426 -12.325 -12.800 -13.193 -13.360 -13.541 
12.92929 -4.256 -7.693 -9.769 -11.369 -12.199 -12.708 -13.124 -13.411 -13.431 
13.13131 -4.555 -7.679 -9.645 -11.169 -12.161 -12.721 -13.074 -13.288 -13.428 
13.33333 -3.893 -7.395 -9.723 -11.170 -12.027 -12.567 -13.040 -13.266 -13.400 
13.53535 -3.913 -7.188 -9.446 -11.059 -11.976 -12.485 -13.005 -13.220 -13.365 
13.73737 -4.383 -6.921 -9.358 -10.955 -11.994 -12.510 -12.944 -13.146 -13.322 
13.93939 -3.625 -7.480 -9.335 -10.826 -11.838 -12.365 -12.865 -13.137 -13.318 
14.14141 -3.794 -7.250 -9.409 -10.881 -11.884 -12.386 -12.830 -13.151 -13.268 
14.34343 -4.238 -6.738 -9.181 -10.800 -11.799 -12.263 -12.812 -13.099 -13.199 
14.54545 -3.586 -6.609 -9.026 -10.688 -11.648 -12.177 -12.725 -13.008 -13.198 
14.74747 -3.451 -6.559 -8.999 -10.660 -11.648 -12.168 -12.754 -13.007 -13.154 
14.94949 -3.179 -6.370 -8.874 -10.533 -11.549 -12.121 -12.625 -13.012 -13.065 
15.15152 -2.957 -6.257 -8.735 -10.524 -11.452 -12.084 -12.649 -12.976 -13.109 
15.35354 -2.840 -6.238 -8.692 -10.455 -11.501 -12.093 -12.597 -12.918 -13.030 
15.55556 -2.986 -6.124 -8.604 -10.362 -11.392 -11.974 -12.594 -12.922 -13.112 
15.75758 -3.061 -6.191 -8.479 -10.323 -11.371 -11.960 -12.572 -12.925 -13.013 
15.95960 -2.507 -5.818 -8.537 -10.227 -11.345 -11.897 -12.474 -12.915 -12.999 
16.16162 -2.301 -5.552 -8.302 -10.100 -11.289 -11.865 -12.431 -12.882 -13.020 
16.36364 -2.147 -5.402 -8.091 -10.024 -11.099 -11.788 -12.464 -12.801 -12.959 
16.56566 -2.086 -5.325 -8.198 -10.110 -11.191 -11.830 -12.351 -12.853 -12.965 
16.76768 -2.064 -5.310 -8.134 -10.012 -11.048 -11.718 -12.361 -12.796 -12.901 
16.96970 -1.785 -5.467 -8.008 -10.000 -11.103 -11.739 -12.338 -12.771 -12.882 
17.17172 -1.594 -5.007 -7.779 -9.923 -10.995 -11.603 -12.312 -12.740 -12.859 
17.37374 -1.472 -4.791 -7.809 -9.739 -10.927 -11.605 -12.295 -12.652 -12.834 
17.57576 -2.298 -5.153 -7.574 -9.696 -10.961 -11.598 -12.283 -12.709 -12.835 
17.77778 -1.278 -5.119 -7.733 -9.615 -10.853 -11.466 -12.213 -12.644 -12.860 
