# t[days] u g r i z y J H K
0.20202 -11.533 -13.154 -11.885 -11.934 -12.303 -12.170 -7.776 -5.341 -4.787 
0.40404 -12.744 -13.685 -14.386 -13.453 -13.934 -14.144 -14.141 -10.390 -5.545 
0.60606 -14.147 -14.918 -15.041 -15.034 -14.466 -15.009 -14.694 -14.726 -13.425 
0.80808 -14.165 -15.226 -15.454 -15.760 -15.072 -15.029 -14.911 -13.702 -14.626 
1.01010 -14.009 -15.113 -15.500 -15.756 -15.585 -15.189 -15.069 -15.072 -13.966 
1.21212 -13.562 -14.708 -15.479 -15.424 -15.646 -15.454 -15.679 -15.309 -14.821 
1.41414 -12.676 -14.906 -15.490 -15.617 -15.599 -15.567 -15.523 -15.721 -14.700 
1.61616 -12.708 -14.658 -15.197 -15.726 -15.787 -15.655 -15.743 -15.398 -15.371 
1.81818 -12.390 -14.514 -15.552 -15.719 -15.656 -15.803 -15.602 -15.764 -16.118 
2.02020 -11.729 -14.517 -15.284 -15.528 -15.650 -15.798 -15.823 -15.885 -15.817 
2.22222 -11.795 -14.356 -15.062 -15.710 -15.721 -15.762 -16.076 -15.903 -15.644 
2.42424 -11.480 -13.832 -14.696 -15.442 -15.791 -15.812 -15.873 -15.844 -15.790 
2.62626 -11.715 -13.965 -14.913 -15.579 -15.593 -15.906 -15.745 -16.018 -15.870 
2.82828 -11.678 -13.539 -14.615 -15.130 -15.807 -15.881 -16.051 -16.089 -15.839 
3.03030 -11.425 -13.239 -14.500 -15.099 -15.471 -15.611 -15.784 -15.807 -15.642 
3.23232 -11.434 -12.943 -14.104 -14.804 -15.377 -15.669 -15.541 -15.889 -15.572 
3.43434 -11.414 -12.853 -13.852 -14.604 -15.278 -15.552 -15.459 -15.567 -15.949 
3.63636 -11.217 -12.721 -13.782 -14.555 -15.300 -15.460 -15.575 -15.785 -15.398 
3.83838 -10.977 -12.402 -13.524 -14.400 -15.124 -15.306 -15.455 -15.608 -15.667 
4.04040 -11.126 -12.300 -13.261 -14.292 -15.006 -15.334 -15.303 -15.511 -15.533 
4.24242 -10.773 -11.889 -13.115 -14.271 -14.950 -15.139 -15.290 -15.412 -15.520 
4.44444 -10.645 -11.941 -13.223 -14.277 -14.848 -15.084 -15.098 -15.309 -15.420 
4.64646 -10.719 -11.827 -12.903 -14.002 -14.769 -14.955 -15.050 -15.177 -15.192 
4.84848 -10.561 -11.875 -12.716 -13.933 -14.640 -14.828 -15.025 -15.181 -15.137 
5.05051 -10.141 -11.649 -12.755 -13.875 -14.569 -14.885 -14.847 -15.051 -15.250 
5.25253 -10.170 -11.491 -12.710 -13.696 -14.425 -14.821 -14.857 -15.051 -15.059 
5.45455 -10.003 -11.334 -12.687 -13.804 -14.451 -14.696 -14.765 -14.930 -15.107 
5.65657 -9.734 -11.151 -12.497 -13.614 -14.317 -14.643 -14.640 -14.628 -14.997 
5.85859 -9.627 -11.114 -12.461 -13.509 -14.223 -14.620 -14.658 -14.714 -14.925 
6.06061 -9.500 -11.099 -12.415 -13.478 -14.173 -14.539 -14.611 -14.632 -14.924 
6.26263 -9.401 -10.950 -12.239 -13.347 -14.178 -14.466 -14.487 -14.591 -14.710 
6.46465 -9.614 -11.040 -12.259 -13.324 -14.100 -14.377 -14.456 -14.420 -14.597 
6.66667 -9.074 -10.708 -12.187 -13.234 -13.952 -14.418 -14.414 -14.435 -14.524 
6.86869 -9.087 -10.796 -12.140 -13.129 -13.963 -14.288 -14.423 -14.340 -14.451 
7.07071 -8.770 -10.481 -11.919 -12.993 -13.906 -14.189 -14.237 -14.254 -14.386 
7.27273 -9.035 -10.752 -11.920 -13.108 -13.747 -14.135 -14.255 -14.270 -14.412 
7.47475 -8.752 -10.702 -11.843 -12.906 -13.724 -14.057 -14.156 -14.239 -14.090 
7.67677 -8.612 -10.358 -11.853 -13.063 -13.693 -14.011 -14.135 -14.174 -14.157 
7.87879 -8.513 -10.655 -11.961 -12.977 -13.764 -13.940 -14.065 -14.096 -14.266 
8.08081 -8.469 -10.218 -11.646 -12.766 -13.512 -14.012 -13.966 -13.930 -14.152 
8.28283 -8.254 -10.124 -11.584 -12.818 -13.425 -13.904 -14.004 -13.973 -14.098 
8.48485 -7.874 -10.021 -11.632 -12.631 -13.456 -13.758 -13.978 -13.860 -13.890 
8.68687 -7.856 -9.955 -11.553 -12.728 -13.349 -13.808 -13.896 -13.817 -13.841 
8.88889 -7.768 -10.081 -11.485 -12.576 -13.292 -13.767 -13.781 -13.762 -13.964 
9.09091 -7.727 -9.722 -11.354 -12.416 -13.210 -13.627 -13.795 -13.763 -13.788 
9.29293 -7.297 -9.737 -11.130 -12.340 -13.148 -13.625 -13.783 -13.830 -13.783 
9.49495 -7.147 -9.431 -11.051 -12.352 -13.128 -13.584 -13.654 -13.812 -13.740 
9.69697 -7.103 -9.553 -11.074 -12.369 -13.055 -13.542 -13.636 -13.768 -13.713 
9.89899 -7.385 -9.447 -10.982 -12.317 -13.160 -13.441 -13.679 -13.666 -13.665 
10.10101 -6.767 -9.161 -10.814 -12.159 -13.061 -13.396 -13.572 -13.570 -13.656 
10.30303 -6.571 -9.317 -10.779 -12.067 -12.926 -13.419 -13.474 -13.697 -13.622 
10.50505 -6.716 -9.116 -10.935 -12.072 -12.905 -13.245 -13.477 -13.526 -13.555 
10.70707 -6.601 -8.969 -10.699 -12.007 -12.754 -13.181 -13.433 -13.516 -13.423 
10.90909 -6.295 -8.817 -10.509 -11.884 -12.801 -13.138 -13.371 -13.482 -13.455 
11.11111 -6.337 -8.772 -10.555 -11.827 -12.795 -13.144 -13.342 -13.425 -13.503 
11.31313 -5.867 -8.904 -10.490 -11.801 -12.742 -13.016 -13.369 -13.413 -13.512 
11.51515 -5.803 -8.288 -10.363 -11.620 -12.586 -12.979 -13.370 -13.439 -13.421 
11.71717 -5.603 -8.150 -10.219 -11.532 -12.588 -12.886 -13.273 -13.292 -13.363 
11.91919 -5.312 -8.115 -10.090 -11.567 -12.458 -12.870 -13.196 -13.296 -13.381 
12.12121 -5.341 -8.281 -10.190 -11.467 -12.487 -12.814 -13.193 -13.425 -13.334 
12.32323 -5.493 -8.175 -10.138 -11.363 -12.290 -12.883 -13.169 -13.252 -13.366 
12.52525 -5.007 -7.879 -10.032 -11.419 -12.278 -12.801 -13.155 -13.213 -13.135 
12.72727 -4.833 -7.614 -9.798 -11.244 -12.125 -12.702 -13.053 -13.240 -13.095 
12.92929 -4.626 -7.411 -9.630 -11.158 -12.024 -12.601 -12.973 -13.133 -13.114 
13.13131 -4.535 -7.377 -9.451 -11.104 -12.134 -12.462 -12.918 -13.056 -13.162 
13.33333 -4.832 -7.171 -9.437 -11.006 -11.951 -12.375 -12.893 -13.179 -13.181 
13.53535 -4.262 -7.324 -9.547 -10.942 -11.947 -12.451 -12.860 -12.950 -13.110 
13.73737 -4.156 -7.122 -9.444 -10.910 -11.843 -12.402 -12.803 -13.080 -12.970 
13.93939 -4.217 -7.115 -9.237 -10.756 -11.787 -12.310 -12.756 -13.045 -13.024 
14.14141 -3.863 -6.951 -9.236 -10.759 -11.723 -12.265 -12.697 -12.894 -13.005 
14.34343 -3.825 -6.677 -9.012 -10.724 -11.586 -12.278 -12.699 -12.896 -12.944 
14.54545 -3.694 -6.414 -8.858 -10.613 -11.589 -12.122 -12.629 -12.931 -12.973 
14.74747 -3.633 -6.639 -8.883 -10.463 -11.654 -12.044 -12.570 -12.814 -12.928 
14.94949 -3.449 -6.587 -8.805 -10.490 -11.537 -12.034 -12.521 -12.901 -12.887 
15.15152 -3.352 -6.490 -8.675 -10.386 -11.393 -11.970 -12.529 -12.800 -12.889 
15.35354 -3.680 -6.423 -8.711 -10.373 -11.375 -11.938 -12.505 -12.783 -12.776 
15.55556 -3.191 -6.436 -8.621 -10.230 -11.349 -11.869 -12.431 -12.739 -12.870 
15.75758 -3.087 -5.791 -8.328 -10.115 -11.289 -11.834 -12.384 -12.708 -12.799 
15.95960 -3.071 -5.850 -8.346 -10.099 -11.160 -11.816 -12.414 -12.721 -12.746 
16.16162 -3.104 -6.307 -8.397 -10.077 -11.303 -11.754 -12.369 -12.695 -12.743 
16.36364 -2.781 -5.585 -8.073 -9.995 -11.137 -11.721 -12.332 -12.640 -12.698 
16.56566 -2.909 -5.322 -8.181 -9.867 -11.052 -11.624 -12.257 -12.696 -12.682 
16.76768 -2.635 -5.626 -7.935 -9.906 -10.931 -11.719 -12.232 -12.613 -12.753 
