# t[days] u g r i z y J H K
0.20202 -12.197 -12.509 -12.969 -12.258 -11.343 -11.301 -10.171 -10.249 -1.372 
0.40404 -13.234 -13.971 -14.044 -14.038 -13.703 -13.821 -12.786 -12.605 -12.614 
0.60606 -13.324 -14.203 -14.589 -14.604 -14.401 -14.165 -13.618 -13.366 -12.739 
0.80808 -13.092 -14.172 -14.578 -14.679 -14.606 -14.507 -14.196 -13.776 -13.543 
1.01010 -12.325 -13.802 -14.317 -14.633 -14.729 -14.635 -14.485 -14.145 -13.757 
1.21212 -11.913 -13.390 -14.045 -14.469 -14.747 -14.748 -14.444 -14.373 -13.863 
1.41414 -11.353 -12.941 -13.882 -14.468 -14.795 -14.700 -14.527 -14.307 -14.165 
1.61616 -10.751 -12.589 -13.560 -14.261 -14.626 -14.634 -14.476 -14.306 -13.997 
1.81818 -10.504 -12.152 -13.302 -14.067 -14.421 -14.596 -14.329 -14.115 -13.897 
2.02020 -10.376 -12.072 -13.158 -13.942 -14.383 -14.409 -14.240 -14.180 -13.880 
2.22222 -9.814 -11.637 -12.935 -13.769 -14.157 -14.303 -14.109 -13.877 -13.737 
2.42424 -9.657 -11.376 -12.672 -13.564 -13.931 -14.075 -13.972 -13.768 -13.728 
2.62626 -9.159 -11.042 -12.383 -13.288 -13.761 -13.855 -13.747 -13.675 -13.631 
2.82828 -8.724 -10.880 -12.277 -13.140 -13.626 -13.703 -13.575 -13.468 -13.394 
3.03030 -8.598 -10.675 -12.138 -12.987 -13.404 -13.579 -13.487 -13.315 -13.393 
3.23232 -8.080 -10.370 -11.890 -12.832 -13.264 -13.376 -13.314 -13.234 -13.233 
3.43434 -7.970 -10.143 -11.702 -12.667 -13.088 -13.211 -13.141 -13.084 -12.872 
3.63636 -7.876 -10.073 -11.545 -12.429 -12.894 -13.009 -12.946 -12.834 -12.852 
3.83838 -7.506 -9.917 -11.407 -12.285 -12.751 -12.910 -12.871 -12.817 -12.790 
4.04040 -7.249 -9.639 -11.234 -12.177 -12.692 -12.794 -12.728 -12.600 -12.595 
4.24242 -7.150 -9.655 -11.118 -12.030 -12.501 -12.633 -12.619 -12.566 -12.431 
4.44444 -6.738 -9.398 -11.004 -11.944 -12.419 -12.482 -12.501 -12.447 -12.419 
4.64646 -6.477 -9.151 -10.799 -11.802 -12.244 -12.377 -12.295 -12.318 -12.262 
4.84848 -6.177 -9.034 -10.723 -11.722 -12.167 -12.279 -12.296 -12.245 -12.243 
5.05051 -5.886 -8.822 -10.569 -11.603 -12.063 -12.209 -12.197 -12.177 -12.217 
5.25253 -5.540 -8.629 -10.391 -11.467 -11.944 -12.094 -12.172 -12.102 -12.028 
5.45455 -5.226 -8.384 -10.310 -11.343 -11.830 -11.968 -12.073 -12.052 -11.989 
5.65657 -4.970 -8.301 -10.169 -11.282 -11.812 -11.929 -12.057 -11.953 -11.969 
5.85859 -4.742 -8.129 -10.039 -11.159 -11.695 -11.929 -11.943 -11.938 -11.864 
6.06061 -4.347 -7.867 -9.891 -11.062 -11.607 -11.750 -11.872 -11.863 -11.850 
6.26263 -4.093 -7.789 -9.786 -10.950 -11.512 -11.699 -11.825 -11.870 -11.782 
6.46465 -4.934 -7.686 -9.646 -10.899 -11.448 -11.640 -11.789 -11.841 -11.749 
6.66667 -3.795 -7.412 -9.622 -10.827 -11.395 -11.602 -11.751 -11.780 -11.751 
6.86869 -3.601 -7.294 -9.513 -10.737 -11.314 -11.499 -11.663 -11.725 -11.705 
7.07071 -3.445 -7.075 -9.356 -10.602 -11.243 -11.454 -11.668 -11.723 -11.622 
7.27273 -2.946 -6.886 -9.169 -10.502 -11.170 -11.330 -11.602 -11.631 -11.641 
7.47475 -2.638 -6.881 -9.134 -10.451 -11.031 -11.300 -11.482 -11.615 -11.526 
7.67677 -2.372 -6.542 -8.996 -10.374 -10.968 -11.156 -11.406 -11.618 -11.589 
7.87879 -1.755 -6.375 -8.886 -10.285 -10.859 -11.102 -11.367 -11.543 -11.519 
8.08081 -2.128 -6.185 -8.704 -10.111 -10.766 -11.057 -11.298 -11.511 -11.475 
8.28283 -0.745 -6.113 -8.591 -10.059 -10.690 -10.961 -11.245 -11.402 -11.488 
8.48485 -0.987 -5.833 -8.506 -9.947 -10.610 -10.863 -11.162 -11.313 -11.419 
8.68687 -1.259 -5.689 -8.294 -9.814 -10.525 -10.742 -11.097 -11.404 -11.407 
8.88889 -0.338 -5.661 -8.261 -9.779 -10.439 -10.728 -11.053 -11.242 -11.383 
9.09091 -0.285 -5.476 -8.130 -9.656 -10.340 -10.672 -11.016 -11.253 -11.282 
9.29293 0.175 -5.097 -7.998 -9.513 -10.258 -10.530 -10.880 -11.201 -11.206 
9.49495 0.330 -5.320 -7.902 -9.435 -10.147 -10.448 -10.812 -11.138 -11.240 
9.69697 -1.366 -5.020 -7.799 -9.385 -10.127 -10.321 -10.795 -11.122 -11.237 
9.89899 1.099 -4.705 -7.563 -9.261 -9.991 -10.277 -10.741 -11.007 -11.140 
10.10101 0.775 -4.699 -7.599 -9.206 -9.909 -10.243 -10.682 -10.949 -11.063 
10.30303 1.245 -4.494 -7.415 -9.024 -9.879 -10.149 -10.540 -10.917 -11.103 
10.50505 1.463 -4.246 -7.264 -8.878 -9.651 -10.022 -10.526 -10.858 -11.101 
10.70707 1.996 -4.350 -7.253 -8.912 -9.663 -9.947 -10.435 -10.836 -11.007 
10.90909 1.683 -4.021 -7.047 -8.840 -9.549 -9.943 -10.389 -10.783 -10.955 
11.11111 2.419 -4.001 -6.994 -8.710 -9.511 -9.839 -10.319 -10.770 -10.910 
11.31313 1.807 -3.821 -6.877 -8.552 -9.333 -9.661 -10.222 -10.702 -10.941 
11.51515 2.169 -3.893 -6.773 -8.486 -9.278 -9.566 -10.236 -10.642 -10.894 
11.71717 2.895 -3.545 -6.679 -8.336 -9.182 -9.534 -10.159 -10.647 -10.882 
11.91919 3.459 -3.572 -6.601 -8.313 -9.094 -9.487 -10.103 -10.620 -10.876 
12.12121 3.423 -3.346 -6.463 -8.232 -9.091 -9.454 -10.004 -10.507 -10.723 
12.32323 2.601 -2.896 -6.392 -8.091 -8.919 -9.337 -10.002 -10.474 -10.701 
12.52525 3.587 -3.090 -6.187 -8.044 -8.883 -9.178 -9.883 -10.440 -10.714 
12.72727 4.354 -3.153 -6.247 -7.987 -8.843 -9.172 -9.862 -10.416 -10.684 
12.92929 3.192 -3.147 -6.107 -7.894 -8.752 -9.108 -9.771 -10.349 -10.702 
13.13131 4.196 -2.910 -5.945 -7.781 -8.646 -8.970 -9.758 -10.330 -10.623 
13.33333 3.505 -2.540 -5.865 -7.787 -8.560 -8.953 -9.687 -10.280 -10.686 
13.53535 4.711 -2.501 -5.784 -7.570 -8.508 -8.924 -9.642 -10.252 -10.554 
13.73737 3.632 -2.578 -5.652 -7.649 -8.474 -8.817 -9.567 -10.198 -10.547 
13.93939 3.995 -2.147 -5.564 -7.486 -8.348 -8.816 -9.494 -10.196 -10.524 
14.14141 3.980 -2.264 -5.578 -7.420 -8.327 -8.745 -9.457 -10.086 -10.506 
14.34343 3.912 -2.120 -5.277 -7.323 -8.213 -8.578 -9.382 -10.120 -10.571 
14.54545 4.347 -2.038 -5.274 -7.155 -8.146 -8.577 -9.346 -10.051 -10.472 
14.74747 5.547 -1.782 -5.190 -7.113 -8.054 -8.471 -9.252 -9.980 -10.403 
14.94949 6.893 -1.934 -5.071 -6.977 -7.914 -8.328 -9.264 -9.959 -10.384 
15.15152 3.602 -1.119 -5.100 -7.024 -7.934 -8.227 -9.153 -9.899 -10.384 
15.35354 6.716 -1.074 -4.924 -6.859 -7.790 -8.234 -9.150 -9.905 -10.296 
15.55556 3.841 -1.931 -4.913 -6.744 -7.773 -8.188 -9.071 -9.907 -10.277 
15.75758 6.926 -1.163 -4.705 -6.678 -7.655 -8.183 -9.015 -9.836 -10.241 
15.95960 5.024 -1.263 -4.895 -6.550 -7.603 -8.113 -8.948 -9.810 -10.263 
16.16162 6.748 -1.400 -4.590 -6.515 -7.528 -7.904 -8.900 -9.678 -10.229 
