# t[days] u g r i z y J H K
0.20202 -11.384 -12.790 -11.553 -12.026 -10.800 -13.219 -10.088 -5.731 -4.954 
0.40404 -14.304 -14.890 -15.048 -14.543 -14.495 -14.474 -13.896 -12.819 -12.662 
0.60606 -14.629 -15.521 -15.829 -15.762 -15.668 -15.271 -14.789 -14.710 -14.594 
0.80808 -14.661 -15.828 -16.293 -16.105 -16.174 -15.815 -15.443 -15.023 -14.604 
1.01010 -14.620 -15.950 -16.405 -16.254 -16.115 -16.177 -15.806 -15.414 -15.225 
1.21212 -14.195 -15.847 -16.370 -16.291 -16.250 -16.086 -15.944 -15.613 -15.292 
1.41414 -13.884 -15.554 -16.169 -16.238 -16.179 -16.192 -16.045 -15.581 -15.234 
1.61616 -13.291 -15.307 -15.873 -16.017 -16.114 -16.058 -15.903 -15.774 -15.283 
1.81818 -12.852 -14.851 -15.591 -15.836 -15.906 -15.983 -15.750 -15.682 -15.299 
2.02020 -12.342 -14.497 -15.306 -15.554 -15.730 -15.782 -15.700 -15.600 -15.317 
2.22222 -11.839 -14.115 -14.922 -15.325 -15.516 -15.712 -15.639 -15.328 -15.149 
2.42424 -11.323 -13.749 -14.609 -15.082 -15.414 -15.489 -15.402 -15.356 -15.138 
2.62626 -11.066 -13.409 -14.322 -14.911 -15.208 -15.340 -15.319 -15.261 -15.017 
2.82828 -10.745 -13.177 -14.232 -14.763 -15.156 -15.313 -15.245 -15.098 -15.029 
3.03030 -10.603 -12.963 -14.043 -14.640 -14.971 -15.149 -15.102 -15.060 -15.027 
3.23232 -10.188 -12.665 -13.853 -14.400 -14.780 -14.959 -14.964 -15.017 -14.786 
3.43434 -10.011 -12.413 -13.593 -14.169 -14.682 -14.840 -14.958 -14.766 -14.804 
3.63636 -9.552 -12.247 -13.384 -14.108 -14.623 -14.694 -14.793 -14.782 -14.686 
3.83838 -9.343 -11.942 -13.278 -13.952 -14.388 -14.587 -14.743 -14.692 -14.626 
4.04040 -9.325 -11.745 -13.075 -13.832 -14.222 -14.496 -14.597 -14.640 -14.690 
4.24242 -8.874 -11.558 -12.865 -13.631 -14.155 -14.382 -14.470 -14.545 -14.622 
4.44444 -8.635 -11.219 -12.672 -13.442 -14.011 -14.246 -14.381 -14.448 -14.454 
4.64646 -8.436 -11.126 -12.463 -13.356 -13.884 -14.130 -14.303 -14.364 -14.339 
4.84848 -8.417 -11.074 -12.368 -13.224 -13.798 -14.008 -14.171 -14.321 -14.329 
5.05051 -7.980 -10.657 -12.124 -13.148 -13.616 -13.915 -14.052 -14.271 -14.246 
5.25253 -7.634 -10.484 -11.946 -12.951 -13.551 -13.797 -13.980 -14.145 -14.114 
5.45455 -7.642 -10.290 -11.839 -12.816 -13.399 -13.684 -13.896 -14.063 -14.062 
5.65657 -7.573 -10.163 -11.831 -12.721 -13.297 -13.543 -13.760 -13.923 -14.002 
5.85859 -7.354 -9.990 -11.521 -12.617 -13.185 -13.453 -13.657 -13.849 -13.916 
6.06061 -6.690 -9.782 -11.423 -12.394 -13.081 -13.371 -13.582 -13.790 -13.886 
6.26263 -6.466 -9.534 -11.326 -12.357 -12.912 -13.221 -13.501 -13.670 -13.758 
6.46465 -6.149 -9.324 -11.090 -12.199 -12.848 -13.180 -13.384 -13.524 -13.698 
