# t[days] u g r i z y J H K
0.20202 -11.264 -10.781 -13.043 -13.240 -8.254 -7.656 -6.605 -5.501 -5.570 
0.40404 -14.607 -15.236 -15.372 -15.233 -14.968 -13.881 -13.616 -13.753 -13.166 
0.60606 -15.249 -16.068 -16.383 -16.026 -15.918 -15.713 -15.151 -14.379 -14.058 
0.80808 -15.487 -16.421 -16.812 -16.608 -16.345 -16.254 -16.020 -15.529 -14.855 
1.01010 -15.349 -16.470 -16.909 -16.781 -16.598 -16.607 -16.204 -15.815 -15.179 
1.21212 -14.969 -16.423 -16.997 -16.961 -16.705 -16.724 -16.390 -16.157 -15.603 
1.41414 -14.704 -16.249 -16.911 -16.953 -16.824 -16.745 -16.659 -16.245 -16.014 
1.61616 -14.245 -16.106 -16.793 -16.873 -16.967 -16.880 -16.585 -16.386 -16.070 
1.81818 -13.745 -15.912 -16.619 -16.745 -16.750 -16.802 -16.636 -16.293 -15.904 
2.02020 -13.392 -15.645 -16.402 -16.518 -16.647 -16.710 -16.529 -16.172 -16.004 
2.22222 -12.988 -15.317 -16.112 -16.338 -16.457 -16.525 -16.394 -16.105 -15.937 
2.42424 -12.519 -14.942 -15.779 -16.091 -16.223 -16.298 -16.333 -16.171 -15.908 
2.62626 -12.067 -14.535 -15.473 -15.852 -16.086 -16.161 -16.245 -15.981 -15.714 
2.82828 -11.698 -14.340 -15.261 -15.682 -15.922 -16.053 -16.066 -15.907 -15.662 
3.03030 -11.455 -13.936 -14.997 -15.545 -15.771 -15.943 -15.957 -15.921 -15.663 
3.23232 -10.988 -13.707 -14.811 -15.237 -15.632 -15.809 -15.796 -15.796 -15.486 
3.43434 -10.741 -13.410 -14.516 -15.185 -15.513 -15.801 -15.759 -15.742 -15.509 
3.63636 -10.553 -13.245 -14.390 -14.959 -15.306 -15.570 -15.642 -15.582 -15.466 
3.83838 -10.167 -12.983 -14.176 -14.882 -15.264 -15.484 -15.568 -15.496 -15.334 
4.04040 -9.892 -12.645 -14.010 -14.737 -15.127 -15.385 -15.487 -15.446 -15.354 
4.24242 -9.790 -12.587 -13.868 -14.564 -15.033 -15.217 -15.347 -15.355 -15.278 
4.44444 -9.478 -12.367 -13.721 -14.462 -14.853 -15.202 -15.273 -15.320 -15.160 
4.64646 -9.222 -12.129 -13.554 -14.310 -14.762 -15.016 -15.213 -15.276 -15.174 
4.84848 -8.989 -12.099 -13.388 -14.121 -14.778 -14.937 -15.080 -15.174 -15.130 
5.05051 -9.011 -11.884 -13.313 -14.115 -14.574 -14.786 -15.087 -15.104 -15.032 
5.25253 -8.717 -11.569 -13.074 -13.909 -14.529 -14.782 -14.879 -14.990 -14.959 
5.45455 -8.651 -11.417 -13.031 -13.961 -14.362 -14.659 -14.837 -15.008 -14.972 
5.65657 -8.336 -11.399 -12.798 -13.746 -14.283 -14.552 -14.750 -14.870 -14.827 
5.85859 -8.230 -11.058 -12.635 -13.626 -14.160 -14.432 -14.657 -14.797 -14.812 
6.06061 -8.001 -10.882 -12.569 -13.511 -14.011 -14.427 -14.576 -14.762 -14.816 
6.26263 -7.783 -10.687 -12.411 -13.323 -13.971 -14.345 -14.524 -14.656 -14.703 
6.46465 -7.471 -10.590 -12.301 -13.244 -13.874 -14.226 -14.450 -14.628 -14.655 
6.66667 -7.303 -10.471 -12.182 -13.131 -13.745 -14.092 -14.385 -14.551 -14.617 
6.86869 -7.138 -10.236 -11.963 -13.016 -13.672 -14.024 -14.228 -14.504 -14.498 
7.07071 -7.043 -10.098 -11.917 -12.957 -13.592 -13.903 -14.220 -14.498 -14.506 
7.27273 -6.602 -9.862 -11.752 -12.780 -13.437 -13.864 -14.121 -14.331 -14.469 
7.47475 -6.738 -9.772 -11.598 -12.718 -13.403 -13.707 -14.058 -14.281 -14.377 
7.67677 -6.309 -9.502 -11.450 -12.631 -13.278 -13.618 -14.004 -14.272 -14.406 
7.87879 -6.197 -9.430 -11.344 -12.565 -13.179 -13.572 -13.921 -14.129 -14.320 
8.08081 -6.005 -9.242 -11.072 -12.409 -13.091 -13.414 -13.769 -14.095 -14.230 
8.28283 -5.711 -9.217 -11.125 -12.296 -12.979 -13.407 -13.743 -14.039 -14.232 
8.48485 -5.446 -8.798 -10.993 -12.177 -12.944 -13.271 -13.657 -13.949 -14.141 
8.68687 -5.376 -8.667 -10.777 -12.147 -12.813 -13.185 -13.594 -13.837 -14.014 
8.88889 -5.207 -8.664 -10.669 -11.936 -12.700 -13.120 -13.484 -13.767 -13.942 
9.09091 -5.281 -8.391 -10.504 -11.851 -12.619 -13.019 -13.385 -13.738 -13.985 
9.29293 -4.732 -8.397 -10.368 -11.812 -12.517 -12.949 -13.324 -13.696 -13.897 
9.49495 -4.874 -8.069 -10.338 -11.673 -12.509 -12.877 -13.309 -13.630 -13.877 
9.69697 -4.349 -7.914 -10.185 -11.532 -12.375 -12.774 -13.256 -13.566 -13.782 
9.89899 -4.518 -7.732 -10.020 -11.459 -12.341 -12.711 -13.125 -13.517 -13.803 
10.10101 -4.275 -7.772 -10.020 -11.393 -12.248 -12.621 -13.080 -13.475 -13.660 
10.30303 -4.502 -7.565 -9.741 -11.240 -12.125 -12.574 -13.009 -13.351 -13.631 
10.50505 -3.727 -7.411 -9.746 -11.234 -12.033 -12.568 -12.974 -13.338 -13.570 
10.70707 -4.132 -7.461 -9.603 -11.191 -11.971 -12.451 -12.927 -13.284 -13.519 
10.90909 -3.407 -7.229 -9.624 -11.095 -11.966 -12.403 -12.863 -13.191 -13.513 
11.11111 -3.111 -6.789 -9.471 -11.027 -11.898 -12.402 -12.772 -13.210 -13.460 
11.31313 -3.122 -6.868 -9.333 -10.945 -11.800 -12.283 -12.714 -13.157 -13.419 
11.51515 -2.883 -6.693 -9.120 -10.855 -11.687 -12.175 -12.704 -13.129 -13.440 
11.71717 -2.499 -6.575 -9.028 -10.770 -11.665 -12.187 -12.649 -13.084 -13.347 
11.91919 -3.016 -6.296 -9.041 -10.703 -11.567 -12.236 -12.645 -13.039 -13.320 
12.12121 -2.946 -6.369 -8.842 -10.637 -11.546 -12.030 -12.580 -12.952 -13.259 
12.32323 -2.447 -6.258 -8.743 -10.514 -11.499 -11.953 -12.546 -12.945 -13.236 
12.52525 -2.089 -5.956 -8.678 -10.411 -11.467 -11.884 -12.511 -12.894 -13.177 
12.72727 -2.280 -5.945 -8.646 -10.385 -11.427 -11.854 -12.468 -12.897 -13.217 
12.92929 -1.982 -5.784 -8.477 -10.357 -11.376 -11.841 -12.426 -12.846 -13.128 
13.13131 -1.779 -5.656 -8.519 -10.388 -11.257 -11.891 -12.312 -12.766 -13.076 
13.33333 -1.768 -5.626 -8.235 -10.279 -11.268 -11.745 -12.322 -12.754 -13.045 
13.53535 -2.055 -5.303 -8.146 -10.154 -11.112 -11.802 -12.286 -12.763 -13.047 
13.73737 -1.518 -5.628 -8.105 -9.978 -11.057 -11.677 -12.221 -12.660 -13.013 
13.93939 -1.366 -4.906 -8.120 -9.912 -11.057 -11.571 -12.189 -12.677 -13.023 
14.14141 -1.326 -4.841 -7.982 -9.872 -11.032 -11.598 -12.158 -12.628 -12.959 
14.34343 -1.571 -4.987 -7.858 -9.821 -10.971 -11.551 -12.170 -12.547 -12.929 
14.54545 -0.962 -5.151 -7.800 -9.800 -10.909 -11.468 -12.087 -12.571 -12.898 
14.74747 -0.854 -4.908 -7.662 -9.643 -10.855 -11.395 -12.028 -12.520 -12.879 
14.94949 -0.624 -4.064 -7.657 -9.615 -10.719 -11.394 -12.031 -12.491 -12.828 
15.15152 -0.624 -4.196 -7.541 -9.497 -10.786 -11.318 -11.956 -12.496 -12.773 
15.35354 -1.607 -3.916 -7.384 -9.453 -10.751 -11.277 -11.971 -12.437 -12.782 
15.55556 -0.231 -4.047 -7.270 -9.405 -10.575 -11.204 -11.909 -12.375 -12.703 
15.75758 -0.087 -4.220 -7.304 -9.314 -10.616 -11.223 -11.848 -12.369 -12.695 
15.95960 -1.285 -3.790 -7.217 -9.307 -10.443 -11.145 -11.772 -12.308 -12.652 
16.16162 -0.806 -4.443 -6.964 -9.230 -10.371 -11.072 -11.756 -12.290 -12.614 
16.36364 0.359 -3.398 -7.012 -9.084 -10.416 -10.967 -11.647 -12.318 -12.590 
16.56566 0.435 -3.030 -6.916 -9.102 -10.346 -10.996 -11.676 -12.227 -12.645 
16.76768 0.601 -3.395 -6.850 -9.015 -10.267 -10.869 -11.615 -12.170 -12.535 
16.96970 0.704 -3.563 -6.509 -8.901 -10.226 -10.807 -11.546 -12.163 -12.479 
17.17172 0.862 -3.679 -6.978 -8.854 -10.171 -10.805 -11.551 -12.095 -12.496 
17.37374 0.987 -2.609 -6.562 -8.792 -10.089 -10.772 -11.470 -12.006 -12.480 
17.57576 1.015 -2.959 -6.572 -8.705 -9.999 -10.712 -11.410 -12.036 -12.415 
17.77778 1.284 -2.945 -6.402 -8.610 -9.939 -10.636 -11.399 -12.037 -12.394 
17.97980 1.275 -2.524 -6.206 -8.551 -9.885 -10.539 -11.313 -11.973 -12.387 
18.18182 1.522 -2.604 -6.041 -8.407 -9.849 -10.493 -11.325 -11.943 -12.315 
18.38384 1.653 -2.806 -6.053 -8.367 -9.736 -10.406 -11.286 -11.862 -12.283 
18.58586 1.816 -2.105 -5.933 -8.295 -9.726 -10.484 -11.195 -11.856 -12.247 
18.78788 2.096 -2.133 -5.906 -8.144 -9.543 -10.370 -11.172 -11.853 -12.214 
18.98990 2.105 -2.388 -5.805 -8.249 -9.579 -10.335 -11.134 -11.818 -12.145 
19.19192 2.127 -2.044 -5.626 -8.141 -9.483 -10.271 -11.154 -11.723 -12.086 
19.39394 2.317 -1.421 -5.570 -8.070 -9.409 -10.251 -11.005 -11.655 -12.041 
19.59596 2.555 -1.972 -5.331 -7.997 -9.273 -10.158 -10.927 -11.614 -11.995 
19.79798 2.720 -1.280 -5.291 -7.718 -9.232 -9.961 -10.802 -11.572 -11.859 
20.00000 2.847 -1.449 -5.040 -7.592 -8.977 -9.776 -10.696 -11.353 -11.805 
