# t[days] u g r i z y J H K
0.20202 -11.993 -11.863 -12.747 -13.515 -10.809 -10.655 -7.915 -7.953 -8.932 
0.40404 -13.840 -14.262 -14.384 -13.760 -13.388 -13.910 -13.758 -12.455 -10.767 
0.60606 -13.870 -14.747 -15.152 -15.348 -14.866 -14.693 -14.373 -12.898 -12.933 
0.80808 -13.912 -14.951 -15.409 -15.405 -15.526 -15.011 -14.802 -14.002 -13.568 
1.01010 -13.463 -15.043 -15.500 -15.663 -15.561 -15.433 -15.361 -14.874 -14.609 
1.21212 -12.887 -14.673 -15.451 -15.628 -15.474 -15.405 -15.567 -15.268 -15.064 
1.41414 -12.878 -14.813 -15.626 -15.643 -15.762 -15.470 -15.466 -15.343 -15.556 
1.61616 -12.803 -14.639 -15.312 -15.494 -15.497 -15.555 -15.594 -15.572 -15.313 
1.81818 -12.062 -14.314 -15.128 -15.374 -15.408 -15.578 -15.553 -15.483 -15.058 
2.02020 -12.002 -13.956 -14.986 -15.275 -15.572 -15.419 -15.485 -15.512 -15.456 
2.22222 -11.547 -13.638 -14.653 -15.020 -15.472 -15.490 -15.321 -15.447 -15.358 
2.42424 -11.408 -13.286 -14.296 -14.860 -15.246 -15.406 -15.197 -15.303 -15.424 
2.62626 -11.240 -13.092 -14.053 -14.455 -14.922 -15.254 -15.341 -15.374 -15.378 
2.82828 -10.987 -12.627 -13.820 -14.393 -14.911 -15.116 -15.219 -15.216 -15.175 
3.03030 -10.836 -12.449 -13.560 -14.171 -14.958 -15.113 -15.094 -15.147 -15.313 
3.23232 -10.614 -12.198 -13.318 -14.279 -14.829 -15.001 -15.022 -15.039 -14.985 
3.43434 -10.524 -11.868 -13.222 -14.001 -14.701 -15.018 -14.889 -15.133 -14.989 
3.63636 -10.385 -11.888 -12.955 -13.934 -14.433 -14.749 -14.872 -14.926 -15.031 
3.83838 -10.041 -11.298 -12.616 -13.581 -14.358 -14.642 -14.811 -14.815 -14.743 
4.04040 -9.924 -11.251 -12.604 -13.560 -14.373 -14.561 -14.717 -14.862 -14.644 
4.24242 -9.729 -11.232 -12.582 -13.573 -14.283 -14.572 -14.526 -14.713 -14.733 
4.44444 -9.519 -11.038 -12.270 -13.365 -14.152 -14.442 -14.476 -14.491 -14.620 
4.64646 -9.496 -10.952 -12.211 -13.287 -14.024 -14.304 -14.447 -14.610 -14.378 
4.84848 -9.273 -10.598 -12.135 -13.161 -13.982 -14.211 -14.434 -14.360 -14.474 
5.05051 -9.035 -10.443 -12.025 -13.073 -13.915 -14.237 -14.328 -14.459 -14.354 
5.25253 -8.799 -10.341 -11.772 -13.032 -13.832 -14.104 -14.222 -14.309 -14.415 
5.45455 -8.961 -10.578 -11.837 -12.946 -13.613 -14.043 -14.186 -14.178 -14.266 
5.65657 -8.523 -10.140 -11.687 -12.800 -13.639 -13.869 -14.132 -14.142 -14.388 
5.85859 -8.432 -10.007 -11.557 -12.713 -13.505 -13.877 -14.036 -14.085 -14.149 
6.06061 -8.358 -10.001 -11.600 -12.733 -13.479 -13.760 -13.996 -14.020 -13.886 
6.26263 -8.196 -9.962 -11.481 -12.692 -13.434 -13.691 -13.843 -13.796 -13.914 
6.46465 -7.960 -9.871 -11.406 -12.580 -13.343 -13.620 -13.740 -13.820 -13.944 
6.66667 -8.028 -9.869 -11.534 -12.513 -13.280 -13.659 -13.732 -13.911 -13.981 
6.86869 -7.598 -9.606 -11.326 -12.498 -13.288 -13.541 -13.707 -13.857 -13.878 
7.07071 -7.483 -9.446 -11.188 -12.314 -13.213 -13.423 -13.581 -13.687 -13.750 
7.27273 -7.245 -9.317 -11.081 -12.263 -13.076 -13.396 -13.550 -13.685 -13.602 
7.47475 -7.331 -9.113 -10.991 -12.194 -13.004 -13.376 -13.348 -13.512 -13.538 
7.67677 -7.016 -9.302 -10.925 -12.182 -12.835 -13.280 -13.421 -13.562 -13.577 
7.87879 -6.757 -9.163 -10.818 -12.047 -12.909 -13.197 -13.400 -13.401 -13.535 
8.08081 -6.553 -8.789 -10.556 -11.921 -12.759 -13.182 -13.342 -13.433 -13.300 
8.28283 -6.443 -8.913 -10.611 -11.831 -12.741 -13.079 -13.280 -13.277 -13.430 
8.48485 -6.258 -8.819 -10.590 -11.902 -12.615 -12.977 -13.167 -13.252 -13.445 
8.68687 -6.172 -8.544 -10.429 -11.687 -12.604 -12.998 -13.163 -13.179 -13.269 
8.88889 -5.973 -8.416 -10.435 -11.722 -12.474 -12.908 -13.037 -13.248 -13.234 
9.09091 -5.843 -8.441 -10.269 -11.610 -12.446 -12.794 -13.014 -13.094 -13.193 
9.29293 -5.559 -8.243 -10.090 -11.484 -12.323 -12.789 -12.941 -13.008 -13.084 
9.49495 -5.778 -8.110 -10.217 -11.485 -12.236 -12.733 -12.867 -13.029 -12.949 
9.69697 -5.364 -8.066 -9.794 -11.459 -12.125 -12.619 -12.847 -12.879 -13.003 
9.89899 -5.014 -7.987 -9.682 -11.303 -12.141 -12.521 -12.778 -12.933 -12.975 
10.10101 -5.219 -7.642 -9.825 -11.235 -12.104 -12.499 -12.759 -12.822 -12.856 
10.30303 -4.698 -7.599 -9.548 -11.205 -12.019 -12.402 -12.703 -12.925 -12.791 
10.50505 -4.708 -7.363 -9.601 -11.038 -11.968 -12.452 -12.633 -12.760 -12.878 
10.70707 -4.775 -7.244 -9.409 -10.983 -11.827 -12.283 -12.631 -12.793 -12.770 
10.90909 -4.333 -7.045 -9.324 -10.927 -11.850 -12.251 -12.624 -12.734 -12.722 
11.11111 -4.119 -7.088 -9.235 -10.788 -11.678 -12.167 -12.506 -12.699 -12.762 
11.31313 -4.091 -6.927 -9.237 -10.759 -11.699 -12.124 -12.470 -12.720 -12.657 
11.51515 -4.074 -6.836 -9.107 -10.702 -11.619 -12.133 -12.433 -12.643 -12.649 
11.71717 -3.863 -6.553 -8.999 -10.669 -11.684 -12.023 -12.402 -12.613 -12.690 
11.91919 -3.771 -6.583 -8.876 -10.526 -11.537 -11.969 -12.351 -12.550 -12.669 
12.12121 -3.638 -6.487 -8.834 -10.452 -11.432 -11.952 -12.325 -12.538 -12.631 
