# t[days] u g r i z y J H K
0.20202 -10.983 -11.596 -10.948 -8.989 -9.203 -7.747 -6.225 -4.811 -4.696 
0.40404 -13.762 -14.099 -14.874 -14.775 -14.459 -14.246 -11.882 -12.820 -11.555 
0.60606 -13.761 -14.692 -14.900 -15.279 -14.537 -14.662 -14.386 -14.688 -13.230 
0.80808 -13.886 -14.994 -15.434 -15.290 -15.147 -15.077 -14.932 -15.279 -13.887 
1.01010 -13.880 -15.130 -15.446 -15.788 -15.631 -16.018 -15.452 -14.609 -14.291 
1.21212 -13.814 -15.343 -15.639 -15.831 -15.880 -15.573 -15.676 -15.577 -14.868 
1.41414 -13.368 -15.153 -15.844 -15.912 -15.900 -15.755 -15.592 -15.469 -15.059 
1.61616 -12.383 -14.994 -15.549 -15.824 -16.166 -15.974 -15.913 -15.861 -15.592 
1.81818 -12.569 -14.636 -15.476 -15.864 -15.894 -15.931 -15.775 -15.968 -15.172 
2.02020 -12.082 -14.579 -15.319 -15.654 -15.758 -15.649 -15.823 -15.968 -15.834 
2.22222 -11.184 -13.948 -15.248 -15.514 -15.529 -15.600 -15.749 -16.031 -15.827 
2.42424 -11.104 -13.721 -14.883 -15.492 -15.672 -15.362 -15.771 -15.849 -15.790 
2.62626 -11.167 -13.293 -14.633 -15.257 -15.388 -15.361 -15.606 -15.839 -15.354 
2.82828 -11.319 -13.129 -14.259 -14.781 -15.269 -15.326 -15.558 -15.355 -15.713 
3.03030 -11.296 -12.663 -14.097 -14.685 -15.096 -15.197 -15.405 -15.551 -15.683 
3.23232 -11.144 -12.452 -13.518 -14.395 -14.889 -14.974 -15.150 -15.454 -15.344 
3.43434 -11.015 -12.009 -13.161 -14.144 -14.707 -15.003 -15.109 -15.157 -15.375 
3.63636 -10.917 -11.830 -13.090 -14.040 -14.564 -14.797 -15.092 -15.353 -15.407 
3.83838 -10.740 -11.620 -13.025 -13.906 -14.408 -14.839 -14.924 -15.097 -15.209 
4.04040 -10.599 -11.421 -12.876 -13.794 -14.399 -14.529 -14.786 -14.886 -15.333 
4.24242 -10.464 -11.460 -12.652 -13.519 -14.319 -14.516 -14.759 -15.053 -15.208 
4.44444 -10.325 -11.105 -12.429 -13.482 -14.210 -14.358 -14.858 -15.009 -14.990 
4.64646 -10.152 -11.054 -12.180 -13.243 -14.079 -14.351 -14.711 -14.987 -15.048 
4.84848 -10.005 -10.898 -12.022 -13.260 -14.116 -14.385 -14.562 -14.890 -14.929 
5.05051 -9.850 -10.852 -11.923 -13.094 -13.775 -14.193 -14.430 -14.856 -14.862 
5.25253 -9.856 -10.587 -11.770 -12.991 -13.924 -14.327 -14.528 -14.655 -14.827 
5.45455 -9.644 -10.638 -11.841 -12.772 -13.728 -13.990 -14.320 -14.580 -14.684 
5.65657 -9.397 -10.283 -11.401 -12.711 -13.763 -14.016 -14.284 -14.454 -14.773 
5.85859 -9.262 -10.259 -11.365 -12.638 -13.551 -13.801 -14.240 -14.427 -14.599 
6.06061 -9.135 -10.201 -11.271 -12.621 -13.464 -14.013 -14.023 -14.516 -14.526 
6.26263 -9.006 -10.029 -11.257 -12.611 -13.528 -13.762 -14.126 -14.333 -14.432 
6.46465 -8.857 -9.898 -11.215 -12.499 -13.462 -13.783 -13.976 -14.166 -14.525 
6.66667 -8.696 -9.797 -11.194 -12.443 -13.381 -13.892 -14.016 -14.350 -14.388 
6.86869 -8.582 -9.821 -11.107 -12.421 -13.422 -13.650 -13.954 -14.134 -14.299 
7.07071 -8.472 -9.818 -11.149 -12.358 -13.250 -13.629 -13.851 -14.187 -14.178 
7.27273 -8.392 -9.594 -10.962 -12.386 -13.242 -13.632 -13.768 -14.042 -14.250 
7.47475 -8.312 -9.550 -11.013 -12.271 -13.161 -13.584 -13.774 -13.974 -14.176 
7.67677 -8.066 -9.337 -10.785 -12.333 -13.155 -13.475 -13.678 -14.039 -14.001 
7.87879 -7.938 -9.417 -11.056 -12.198 -13.132 -13.434 -13.655 -13.898 -14.115 
8.08081 -7.805 -9.316 -10.940 -12.259 -13.068 -13.436 -13.639 -13.841 -14.063 
8.28283 -7.672 -9.188 -10.799 -12.134 -12.959 -13.323 -13.584 -13.765 -14.009 
8.48485 -7.560 -9.138 -10.889 -12.025 -12.962 -13.262 -13.600 -13.820 -14.011 
8.68687 -7.395 -8.978 -10.580 -12.017 -12.897 -13.310 -13.522 -13.653 -13.839 
8.88889 -7.300 -8.977 -10.435 -11.983 -12.910 -13.275 -13.464 -13.571 -13.862 
9.09091 -7.147 -8.802 -10.359 -11.949 -12.784 -13.210 -13.421 -13.543 -13.835 
9.29293 -7.175 -8.794 -10.442 -11.812 -12.782 -13.168 -13.393 -13.608 -13.842 
9.49495 -6.893 -8.683 -10.405 -11.722 -12.715 -13.109 -13.293 -13.566 -13.753 
9.69697 -6.756 -8.652 -10.281 -11.702 -12.617 -13.190 -13.258 -13.387 -13.835 
9.89899 -6.675 -8.766 -10.241 -11.697 -12.470 -12.951 -13.269 -13.376 -13.562 
10.10101 -6.555 -8.499 -10.140 -11.562 -12.575 -12.971 -13.206 -13.386 -13.604 
10.30303 -6.354 -8.310 -10.094 -11.472 -12.586 -12.875 -13.246 -13.252 -13.519 
10.50505 -6.344 -8.260 -10.180 -11.486 -12.524 -12.954 -13.219 -13.307 -13.510 
10.70707 -6.085 -8.192 -9.984 -11.411 -12.377 -12.791 -13.155 -13.376 -13.472 
10.90909 -5.939 -8.049 -9.942 -11.370 -12.381 -12.747 -13.008 -13.259 -13.275 
11.11111 -5.869 -7.890 -9.779 -11.249 -12.209 -12.768 -13.081 -13.234 -13.384 
11.31313 -5.703 -7.836 -9.719 -11.195 -12.158 -12.712 -12.951 -13.108 -13.442 
11.51515 -5.529 -7.807 -9.676 -11.283 -12.140 -12.658 -12.963 -13.228 -13.369 
11.71717 -5.456 -7.560 -9.978 -11.115 -12.128 -12.486 -12.958 -13.215 -13.259 
11.91919 -5.296 -7.646 -9.414 -11.195 -11.990 -12.476 -12.964 -13.174 -13.187 
12.12121 -5.090 -7.370 -9.699 -11.058 -11.963 -12.478 -12.879 -13.072 -13.202 
12.32323 -5.036 -7.391 -9.392 -10.945 -11.923 -12.495 -12.919 -12.964 -13.124 
12.52525 -4.824 -7.215 -9.344 -10.884 -11.858 -12.400 -12.736 -13.032 -13.123 
12.72727 -4.813 -7.048 -9.326 -10.821 -11.823 -12.383 -12.712 -12.936 -13.090 
12.92929 -4.662 -6.944 -9.347 -10.711 -11.765 -12.315 -12.763 -12.913 -13.088 
13.13131 -4.451 -6.890 -9.079 -10.739 -11.696 -12.323 -12.676 -12.887 -13.036 
13.33333 -4.358 -7.044 -8.958 -10.738 -11.653 -12.200 -12.612 -12.793 -12.989 
13.53535 -4.227 -6.736 -8.812 -10.661 -11.768 -12.172 -12.637 -12.830 -12.969 
13.73737 -4.128 -6.622 -8.696 -10.488 -11.563 -12.096 -12.538 -12.757 -12.859 
13.93939 -4.050 -6.404 -8.646 -10.420 -11.501 -12.050 -12.470 -12.755 -12.820 
14.14141 -3.872 -6.461 -8.745 -10.454 -11.446 -12.002 -12.492 -12.710 -12.943 
14.34343 -3.773 -6.551 -8.639 -10.351 -11.403 -11.907 -12.376 -12.645 -12.889 
14.54545 -3.753 -6.165 -8.453 -10.282 -11.310 -11.901 -12.396 -12.656 -12.792 
14.74747 -3.599 -5.955 -8.347 -10.127 -11.259 -11.834 -12.346 -12.646 -12.772 
14.94949 -3.589 -5.861 -8.305 -10.032 -11.161 -11.811 -12.331 -12.565 -12.730 
15.15152 -3.503 -6.092 -8.361 -9.996 -11.190 -11.749 -12.311 -12.643 -12.703 
15.35354 -3.280 -5.692 -8.092 -10.008 -11.142 -11.686 -12.211 -12.481 -12.639 
15.55556 -3.232 -5.564 -7.950 -9.911 -11.049 -11.664 -12.223 -12.542 -12.628 
15.75758 -3.172 -5.722 -8.195 -9.886 -11.023 -11.594 -12.233 -12.517 -12.673 
15.95960 -3.027 -5.465 -7.894 -9.761 -10.935 -11.616 -12.150 -12.486 -12.591 
16.16162 -2.949 -5.499 -7.920 -9.798 -10.949 -11.715 -12.149 -12.404 -12.598 
16.36364 -2.853 -5.284 -7.836 -9.694 -10.900 -11.481 -12.067 -12.400 -12.558 
16.56566 -2.708 -5.396 -7.770 -9.586 -10.793 -11.447 -12.024 -12.426 -12.571 
16.76768 -2.650 -4.830 -7.517 -9.503 -10.722 -11.373 -12.018 -12.358 -12.514 
16.96970 -2.551 -4.901 -7.607 -9.481 -10.710 -11.357 -11.945 -12.406 -12.524 
17.17172 -2.369 -4.947 -7.460 -9.455 -10.648 -11.312 -11.997 -12.329 -12.459 
17.37374 -2.263 -4.536 -7.387 -9.275 -10.594 -11.280 -11.956 -12.358 -12.501 
17.57576 -2.134 -4.670 -7.175 -9.296 -10.665 -11.172 -11.879 -12.314 -12.509 
17.77778 -2.039 -4.656 -7.249 -9.369 -10.646 -11.184 -11.897 -12.285 -12.497 
17.97980 -1.922 -4.554 -7.174 -9.210 -10.500 -11.152 -11.842 -12.256 -12.429 
18.18182 -1.771 -4.474 -7.029 -9.130 -10.456 -11.184 -11.823 -12.287 -12.423 
18.38384 -1.608 -4.694 -7.103 -9.195 -10.405 -11.129 -11.790 -12.312 -12.456 
18.58586 -1.478 -4.251 -6.869 -8.975 -10.272 -11.003 -11.774 -12.248 -12.389 
18.78788 -1.392 -4.224 -6.913 -9.040 -10.311 -10.967 -11.822 -12.199 -12.395 
18.98990 -1.253 -4.347 -6.654 -8.912 -10.205 -11.029 -11.779 -12.163 -12.450 
