# t[days] u g r i z y J H K
0.20202 -10.912 -11.296 -13.137 -12.237 -12.562 -8.186 -7.159 -7.802 -5.148 
0.40404 -14.241 -14.614 -14.984 -14.841 -14.600 -14.572 -13.651 -12.415 -9.935 
0.60606 -14.955 -15.646 -15.990 -15.861 -15.554 -15.116 -14.590 -14.163 -13.952 
0.80808 -14.821 -15.808 -16.239 -16.039 -15.868 -15.482 -15.211 -14.874 -14.155 
1.01010 -14.608 -15.914 -16.381 -16.283 -16.100 -15.909 -15.620 -15.211 -14.661 
1.21212 -14.140 -15.709 -16.429 -16.476 -16.313 -16.180 -15.767 -15.521 -15.244 
1.41414 -13.775 -15.571 -16.298 -16.352 -16.250 -16.179 -15.888 -15.705 -15.066 
1.61616 -13.365 -15.327 -16.128 -16.274 -16.125 -16.113 -15.899 -15.555 -15.349 
1.81818 -12.984 -15.068 -15.880 -16.026 -16.031 -16.056 -15.838 -15.717 -15.302 
2.02020 -12.554 -14.827 -15.662 -15.821 -15.852 -16.020 -15.812 -15.644 -15.226 
2.22222 -12.121 -14.392 -15.368 -15.637 -15.710 -15.731 -15.662 -15.582 -15.374 
2.42424 -11.762 -14.119 -15.088 -15.399 -15.536 -15.554 -15.578 -15.393 -15.160 
2.62626 -11.384 -13.811 -14.833 -15.172 -15.409 -15.453 -15.436 -15.307 -15.059 
2.82828 -10.887 -13.459 -14.491 -15.012 -15.255 -15.400 -15.363 -15.187 -14.908 
3.03030 -10.618 -13.164 -14.312 -14.790 -15.081 -15.125 -15.192 -15.189 -14.927 
3.23232 -10.298 -12.900 -14.008 -14.559 -14.941 -15.043 -15.021 -15.125 -14.893 
3.43434 -10.045 -12.629 -13.873 -14.450 -14.790 -14.939 -14.937 -15.068 -14.872 
3.63636 -9.769 -12.471 -13.620 -14.243 -14.579 -14.785 -14.891 -14.889 -14.841 
3.83838 -9.584 -12.186 -13.430 -14.047 -14.432 -14.614 -14.661 -14.852 -14.720 
4.04040 -9.316 -12.068 -13.309 -13.942 -14.319 -14.571 -14.633 -14.764 -14.678 
4.24242 -8.903 -11.788 -13.199 -13.777 -14.235 -14.445 -14.639 -14.675 -14.645 
4.44444 -8.756 -11.531 -12.894 -13.586 -14.127 -14.387 -14.468 -14.619 -14.624 
4.64646 -8.349 -11.361 -12.775 -13.547 -13.982 -14.232 -14.389 -14.556 -14.490 
4.84848 -8.208 -11.132 -12.597 -13.377 -13.857 -14.198 -14.318 -14.398 -14.429 
5.05051 -8.038 -11.044 -12.452 -13.231 -13.728 -14.052 -14.197 -14.332 -14.334 
5.25253 -7.768 -10.708 -12.257 -13.058 -13.703 -13.837 -14.080 -14.273 -14.333 
5.45455 -7.504 -10.566 -12.051 -12.926 -13.521 -13.772 -13.937 -14.136 -14.318 
5.65657 -7.225 -10.355 -11.894 -12.911 -13.387 -13.711 -13.839 -14.098 -14.123 
5.85859 -6.959 -10.084 -11.798 -12.735 -13.243 -13.509 -13.839 -14.060 -14.212 
6.06061 -6.539 -9.964 -11.682 -12.605 -13.150 -13.542 -13.749 -13.985 -13.986 
6.26263 -6.581 -9.736 -11.427 -12.459 -13.030 -13.294 -13.607 -13.915 -14.095 
6.46465 -6.159 -9.610 -11.287 -12.299 -12.934 -13.183 -13.501 -13.809 -13.990 
