# t[days] u g r i z y J H K
0.20202 -11.871 -12.141 -13.202 -13.570 -10.208 -11.455 -8.210 -7.919 -8.920 
0.40404 -13.895 -14.510 -14.666 -14.136 -13.675 -13.961 -14.073 -12.370 -11.650 
0.60606 -14.157 -14.933 -15.391 -15.624 -14.946 -14.730 -14.690 -12.744 -12.954 
0.80808 -14.288 -15.432 -15.812 -15.785 -15.695 -15.220 -14.833 -14.222 -13.914 
1.01010 -13.951 -15.448 -15.811 -15.840 -15.743 -15.566 -15.414 -14.983 -14.749 
1.21212 -13.596 -15.225 -15.899 -15.849 -15.739 -15.718 -15.739 -15.297 -15.328 
1.41414 -13.732 -15.464 -15.849 -15.901 -15.946 -15.902 -15.701 -15.492 -15.672 
1.61616 -13.252 -15.190 -15.659 -15.799 -15.791 -15.849 -15.792 -15.879 -15.421 
1.81818 -13.027 -15.011 -15.499 -15.686 -15.738 -15.996 -15.878 -15.701 -15.400 
2.02020 -12.780 -14.637 -15.468 -15.540 -15.846 -15.658 -15.736 -15.707 -15.589 
2.22222 -12.396 -14.524 -15.101 -15.396 -15.759 -15.842 -15.694 -15.626 -15.643 
2.42424 -12.316 -14.131 -14.746 -15.080 -15.494 -15.680 -15.540 -15.567 -15.570 
2.62626 -11.728 -13.829 -14.487 -14.814 -15.333 -15.473 -15.573 -15.506 -15.586 
2.82828 -11.543 -13.594 -14.403 -14.802 -15.298 -15.406 -15.446 -15.448 -15.451 
3.03030 -11.367 -13.130 -14.078 -14.771 -15.243 -15.401 -15.348 -15.338 -15.574 
3.23232 -11.216 -13.067 -13.931 -14.632 -15.067 -15.267 -15.370 -15.275 -15.146 
3.43434 -11.171 -12.830 -13.774 -14.417 -15.005 -15.292 -15.157 -15.262 -15.211 
3.63636 -10.912 -12.528 -13.412 -14.276 -14.725 -14.996 -15.051 -15.065 -15.154 
3.83838 -10.486 -12.214 -13.369 -14.071 -14.650 -14.948 -15.075 -15.056 -14.987 
4.04040 -10.535 -12.093 -13.279 -14.009 -14.647 -14.822 -14.908 -15.060 -14.798 
4.24242 -10.215 -12.004 -13.084 -13.923 -14.550 -14.792 -14.777 -14.949 -14.827 
