# t[days] u g r i z y J H K
0.20202 -11.848 -12.073 -10.222 -10.143 -9.345 -8.006 -10.017 -8.387 -11.328 
0.40404 -13.875 -14.732 -15.332 -14.722 -14.439 -13.984 -14.048 -13.340 -11.999 
0.60606 -14.824 -15.770 -16.036 -15.745 -15.324 -15.384 -15.438 -14.225 -13.948 
0.80808 -15.065 -15.984 -16.347 -16.086 -15.827 -15.578 -15.584 -15.286 -14.826 
1.01010 -14.815 -16.176 -16.327 -16.269 -15.964 -15.721 -15.662 -15.792 -15.270 
1.21212 -14.543 -15.886 -15.882 -16.111 -15.964 -15.728 -15.773 -15.632 -14.882 
1.41414 -14.049 -15.703 -15.993 -16.208 -16.012 -15.992 -16.000 -15.868 -15.445 
1.61616 -13.732 -15.600 -15.981 -16.091 -16.253 -16.350 -16.262 -16.003 -15.774 
1.81818 -13.535 -15.651 -16.018 -16.281 -16.564 -16.507 -16.283 -16.423 -16.096 
2.02020 -13.347 -15.625 -16.018 -16.166 -16.361 -16.633 -16.606 -16.451 -16.113 
2.22222 -13.317 -15.415 -16.027 -16.256 -16.325 -16.604 -16.496 -16.391 -16.406 
2.42424 -13.298 -15.157 -15.765 -16.113 -16.413 -16.456 -16.403 -16.475 -16.063 
2.62626 -12.881 -14.894 -15.509 -15.965 -16.337 -16.462 -16.386 -16.352 -16.265 
2.82828 -12.935 -14.767 -15.418 -15.804 -16.210 -16.258 -16.375 -16.327 -16.165 
3.03030 -12.698 -14.334 -15.080 -15.780 -16.118 -16.207 -16.249 -16.187 -16.146 
3.23232 -12.552 -14.332 -15.138 -15.517 -15.927 -16.113 -16.091 -16.211 -16.135 
3.43434 -12.364 -14.058 -14.823 -15.484 -15.877 -16.029 -16.057 -15.935 -16.130 
3.63636 -12.140 -13.826 -14.530 -15.275 -15.765 -15.888 -16.034 -15.961 -15.882 
3.83838 -11.833 -13.728 -14.369 -15.019 -15.551 -15.812 -15.853 -15.844 -15.567 
4.04040 -11.873 -13.237 -14.350 -14.925 -15.460 -15.671 -15.777 -15.769 -15.789 
4.24242 -11.686 -12.978 -14.110 -14.791 -15.341 -15.498 -15.659 -15.575 -15.687 
4.44444 -11.709 -12.794 -14.081 -14.657 -15.193 -15.618 -15.580 -15.719 -15.594 
4.64646 -11.347 -13.129 -14.049 -14.684 -15.248 -15.407 -15.395 -15.433 -15.574 
4.84848 -11.172 -12.736 -13.727 -14.549 -15.050 -15.419 -15.454 -15.556 -15.578 
5.05051 -10.927 -12.600 -13.703 -14.319 -14.999 -15.302 -15.255 -15.312 -15.314 
5.25253 -10.818 -12.348 -13.583 -14.335 -14.860 -15.102 -15.170 -15.301 -15.191 
5.45455 -10.440 -12.399 -13.385 -14.204 -14.772 -15.005 -15.103 -15.240 -15.095 
5.65657 -10.613 -12.267 -13.231 -14.126 -14.609 -15.084 -15.049 -15.105 -15.157 
5.85859 -10.610 -12.328 -13.255 -14.098 -14.643 -14.892 -14.984 -15.081 -15.192 
6.06061 -10.311 -12.236 -13.106 -13.880 -14.457 -14.828 -14.965 -14.961 -15.094 
6.26263 -9.900 -11.901 -13.002 -13.821 -14.423 -14.685 -14.871 -14.737 -14.924 
6.46465 -10.053 -11.776 -12.805 -13.714 -14.360 -14.656 -14.786 -14.767 -14.638 
6.66667 -9.662 -11.545 -12.806 -13.629 -14.247 -14.697 -14.695 -14.739 -14.703 
6.86869 -9.594 -11.362 -12.632 -13.505 -14.151 -14.543 -14.603 -14.582 -14.651 
7.07071 -10.038 -11.451 -12.548 -13.512 -14.077 -14.374 -14.599 -14.608 -14.625 
7.27273 -9.268 -11.617 -12.629 -13.440 -14.096 -14.359 -14.449 -14.465 -14.544 
