# t[days] u g r i z y J H K
0.20202 -12.718 -13.373 -12.191 -12.500 -14.229 -13.118 -9.772 -8.231 -5.725 
0.40404 -14.007 -15.128 -15.087 -15.035 -14.594 -14.266 -14.117 -12.386 -12.108 
0.60606 -14.848 -15.573 -16.044 -15.590 -15.828 -15.666 -15.163 -14.827 -13.653 
0.80808 -14.772 -15.908 -16.306 -15.959 -15.595 -15.831 -15.383 -15.197 -15.063 
1.01010 -14.751 -15.950 -16.287 -16.195 -16.106 -15.982 -15.618 -15.369 -15.099 
1.21212 -14.442 -15.844 -16.249 -16.318 -16.202 -16.208 -15.983 -15.671 -15.477 
1.41414 -14.001 -15.684 -16.144 -16.260 -16.366 -16.502 -16.105 -15.988 -15.777 
1.61616 -13.744 -15.432 -15.987 -16.126 -16.368 -16.309 -16.285 -16.008 -15.750 
1.81818 -13.251 -15.207 -15.701 -16.012 -16.230 -16.225 -16.124 -16.148 -15.658 
2.02020 -12.977 -14.910 -15.639 -15.961 -16.152 -16.352 -16.223 -16.073 -15.939 
2.22222 -12.619 -14.574 -15.368 -15.793 -16.124 -16.047 -16.017 -16.022 -15.629 
2.42424 -12.413 -14.299 -15.158 -15.532 -15.940 -16.001 -15.960 -15.740 -15.619 
2.62626 -12.138 -14.042 -14.812 -15.392 -15.739 -15.909 -15.877 -15.730 -15.601 
2.82828 -11.697 -13.642 -14.607 -15.151 -15.633 -15.842 -15.679 -15.789 -15.435 
3.03030 -11.607 -13.428 -14.425 -15.023 -15.460 -15.623 -15.643 -15.547 -15.403 
3.23232 -11.189 -13.317 -14.274 -14.970 -15.340 -15.523 -15.443 -15.435 -15.327 
3.43434 -10.970 -13.079 -14.034 -14.769 -15.187 -15.379 -15.361 -15.329 -15.232 
3.63636 -10.739 -12.751 -13.783 -14.581 -15.102 -15.223 -15.338 -15.286 -15.112 
3.83838 -10.688 -12.548 -13.624 -14.427 -14.858 -15.162 -15.107 -15.077 -15.088 
4.04040 -10.502 -12.460 -13.587 -14.220 -14.784 -14.992 -15.050 -15.060 -15.086 
4.24242 -10.412 -12.298 -13.304 -14.183 -14.667 -14.892 -14.943 -14.926 -14.941 
4.44444 -10.146 -11.981 -13.362 -13.996 -14.505 -14.800 -14.807 -14.840 -14.870 
4.64646 -9.876 -11.915 -13.208 -13.933 -14.450 -14.679 -14.730 -14.768 -14.833 
4.84848 -9.726 -11.686 -12.918 -13.807 -14.375 -14.568 -14.632 -14.748 -14.677 
5.05051 -9.369 -11.512 -12.839 -13.716 -14.219 -14.477 -14.526 -14.652 -14.601 
5.25253 -9.210 -11.627 -12.654 -13.541 -14.075 -14.366 -14.397 -14.459 -14.533 
5.45455 -9.171 -11.328 -12.515 -13.393 -13.954 -14.232 -14.330 -14.344 -14.430 
5.65657 -8.961 -11.007 -12.428 -13.380 -13.929 -14.226 -14.209 -14.455 -14.443 
5.85859 -8.839 -10.965 -12.355 -13.177 -13.780 -14.122 -14.220 -14.262 -14.239 
6.06061 -8.665 -10.828 -12.220 -13.153 -13.709 -14.020 -14.142 -14.108 -14.243 
6.26263 -8.182 -10.668 -12.076 -12.912 -13.581 -13.872 -13.970 -14.048 -14.061 
6.46465 -8.153 -10.649 -11.959 -12.941 -13.548 -13.810 -13.904 -14.074 -14.016 
6.66667 -7.673 -10.286 -11.714 -12.825 -13.403 -13.710 -13.776 -13.914 -13.987 
6.86869 -7.724 -10.195 -11.714 -12.764 -13.325 -13.566 -13.781 -13.828 -13.819 
