# t[days] u g r i z y J H K
0.20202 -12.492 -12.936 -12.444 -12.231 -9.488 -10.493 -12.365 -10.945 -14.529 
0.40404 -14.224 -14.717 -14.901 -14.026 -14.398 -14.670 -13.894 -11.201 -13.091 
0.60606 -14.035 -14.999 -15.068 -15.184 -14.678 -14.710 -13.440 -13.860 -13.581 
0.80808 -13.650 -14.497 -14.944 -14.821 -14.927 -13.799 -13.496 -14.086 -13.366 
1.01010 -13.199 -14.422 -14.558 -14.781 -15.028 -14.572 -14.009 -14.017 -14.800 
1.21212 -13.244 -14.679 -14.936 -15.160 -15.389 -15.227 -14.955 -15.008 -13.967 
1.41414 -13.395 -14.783 -15.165 -15.323 -15.661 -15.792 -15.465 -15.575 -14.810 
1.61616 -13.636 -15.089 -15.604 -15.802 -15.938 -15.920 -15.905 -15.442 -15.378 
1.81818 -13.672 -14.961 -15.454 -15.946 -16.081 -16.218 -15.960 -15.950 -15.607 
2.02020 -13.363 -14.673 -15.305 -15.874 -16.179 -16.166 -15.908 -16.084 -15.683 
2.22222 -13.560 -14.544 -15.188 -15.806 -16.148 -16.234 -16.175 -16.100 -15.721 
2.42424 -13.409 -14.308 -15.147 -15.687 -16.021 -16.208 -16.049 -15.985 -15.494 
2.62626 -13.001 -14.048 -14.923 -15.467 -15.918 -16.144 -15.946 -15.859 -15.785 
2.82828 -12.834 -13.965 -14.811 -15.255 -15.740 -15.933 -15.898 -15.883 -15.690 
3.03030 -12.775 -13.947 -14.607 -15.214 -15.707 -15.913 -15.758 -15.849 -15.715 
3.23232 -12.667 -13.725 -14.531 -15.064 -15.592 -15.862 -15.650 -15.769 -15.515 
3.43434 -12.403 -13.455 -14.323 -14.996 -15.437 -15.669 -15.619 -15.460 -15.350 
3.63636 -12.382 -13.476 -14.208 -14.873 -15.272 -15.565 -15.525 -15.296 -15.235 
3.83838 -12.138 -13.359 -14.167 -14.688 -15.191 -15.500 -15.366 -15.238 -15.059 
4.04040 -12.038 -13.148 -13.993 -14.717 -15.100 -15.344 -15.304 -15.006 -15.142 
4.24242 -11.910 -12.978 -13.811 -14.453 -15.036 -15.273 -15.199 -15.062 -14.850 
4.44444 -11.632 -12.697 -13.632 -14.393 -14.935 -15.261 -15.064 -14.843 -14.882 
4.64646 -11.524 -12.775 -13.590 -14.349 -14.869 -15.127 -15.069 -14.810 -14.679 
4.84848 -11.196 -12.637 -13.579 -14.220 -14.783 -15.004 -14.885 -14.637 -14.628 
5.05051 -11.203 -12.537 -13.429 -14.093 -14.706 -14.921 -14.841 -14.604 -14.508 
5.25253 -11.004 -12.245 -13.300 -13.994 -14.532 -14.812 -14.695 -14.563 -14.427 
5.45455 -10.621 -12.106 -13.157 -13.906 -14.486 -14.731 -14.591 -14.501 -14.458 
5.65657 -10.264 -11.985 -12.975 -13.774 -14.331 -14.660 -14.481 -14.286 -14.240 
5.85859 -9.877 -11.756 -12.995 -13.637 -14.139 -14.516 -14.366 -14.253 -14.205 
6.06061 -10.085 -11.751 -12.788 -13.580 -14.115 -14.452 -14.363 -14.116 -14.013 
6.26263 -9.564 -11.584 -12.741 -13.502 -14.093 -14.297 -14.354 -14.182 -14.085 
6.46465 -9.417 -11.443 -12.698 -13.361 -14.006 -14.236 -14.198 -13.978 -14.015 
6.66667 -9.274 -11.345 -12.419 -13.217 -13.894 -14.194 -14.209 -13.997 -13.856 
6.86869 -8.722 -10.947 -12.285 -13.136 -13.735 -14.092 -14.108 -13.822 -13.647 
7.07071 -8.757 -11.014 -12.343 -13.079 -13.711 -14.054 -14.025 -13.972 -13.670 
7.27273 -8.936 -10.952 -12.006 -12.989 -13.562 -13.842 -13.967 -13.893 -13.722 
7.47475 -8.442 -10.552 -11.858 -12.911 -13.432 -13.871 -13.907 -13.746 -13.657 
7.67677 -7.909 -10.414 -11.864 -12.779 -13.451 -13.817 -13.903 -13.693 -13.557 
7.87879 -8.163 -10.182 -11.643 -12.785 -13.348 -13.615 -13.782 -13.583 -13.401 
8.08081 -7.686 -9.959 -11.510 -12.560 -13.274 -13.571 -13.768 -13.628 -13.458 
8.28283 -7.559 -10.077 -11.449 -12.539 -13.166 -13.599 -13.671 -13.608 -13.390 
8.48485 -7.333 -9.833 -11.383 -12.459 -13.112 -13.471 -13.600 -13.559 -13.383 
8.68687 -7.196 -9.508 -11.305 -12.354 -13.058 -13.306 -13.538 -13.558 -13.246 
8.88889 -6.924 -9.710 -11.205 -12.224 -12.896 -13.291 -13.431 -13.424 -13.225 
9.09091 -6.704 -9.436 -10.991 -12.110 -12.841 -13.219 -13.409 -13.342 -13.219 
9.29293 -6.255 -9.204 -10.879 -12.083 -12.886 -13.125 -13.270 -13.335 -13.181 
9.49495 -5.874 -8.911 -10.793 -11.934 -12.659 -12.979 -13.288 -13.324 -13.306 
9.69697 -6.172 -8.933 -10.769 -11.850 -12.637 -13.080 -13.265 -13.318 -13.048 
9.89899 -5.685 -9.088 -10.535 -11.843 -12.568 -12.933 -13.188 -13.197 -13.027 
10.10101 -5.861 -8.642 -10.538 -11.695 -12.420 -12.872 -13.146 -13.226 -13.012 
10.30303 -5.569 -8.486 -10.402 -11.652 -12.426 -12.821 -13.028 -13.086 -13.136 
10.50505 -5.241 -8.409 -10.201 -11.509 -12.297 -12.712 -12.971 -13.062 -12.951 
10.70707 -4.894 -8.311 -10.274 -11.420 -12.230 -12.634 -12.985 -13.090 -12.896 
10.90909 -4.644 -8.052 -10.051 -11.424 -12.203 -12.546 -12.955 -13.005 -12.951 
11.11111 -4.518 -7.848 -9.910 -11.340 -12.216 -12.460 -12.846 -12.977 -12.891 
11.31313 -4.517 -7.628 -9.855 -11.183 -12.052 -12.462 -12.785 -12.907 -12.939 
11.51515 -4.079 -7.591 -9.788 -11.087 -11.987 -12.412 -12.789 -12.940 -12.761 
11.71717 -5.075 -7.580 -9.620 -11.027 -11.948 -12.389 -12.733 -12.831 -12.820 
11.91919 -4.849 -7.129 -9.412 -10.941 -11.906 -12.362 -12.693 -12.854 -12.819 
12.12121 -3.292 -7.229 -9.425 -10.887 -11.758 -12.239 -12.638 -12.754 -12.879 
12.32323 -4.107 -6.911 -9.315 -10.743 -11.738 -12.195 -12.579 -12.741 -12.744 
12.52525 -3.020 -6.846 -9.203 -10.811 -11.823 -12.119 -12.616 -12.762 -12.778 
12.72727 -3.173 -6.749 -9.014 -10.656 -11.633 -12.035 -12.560 -12.726 -12.708 
12.92929 -3.625 -6.808 -9.001 -10.650 -11.624 -12.101 -12.485 -12.704 -12.756 
13.13131 -2.555 -6.520 -8.893 -10.571 -11.502 -12.100 -12.473 -12.700 -12.668 
13.33333 -2.397 -6.442 -8.777 -10.446 -11.480 -12.024 -12.430 -12.688 -12.670 
13.53535 -2.546 -6.119 -8.776 -10.413 -11.379 -11.953 -12.389 -12.659 -12.721 
13.73737 -2.213 -6.006 -8.706 -10.433 -11.404 -11.886 -12.387 -12.628 -12.684 
13.93939 -2.163 -6.060 -8.453 -10.225 -11.276 -11.809 -12.333 -12.660 -12.681 
14.14141 -2.133 -6.100 -8.357 -10.229 -11.253 -11.802 -12.315 -12.594 -12.643 
14.34343 -1.986 -5.735 -8.364 -10.140 -11.212 -11.725 -12.265 -12.557 -12.641 
14.54545 -2.488 -5.385 -8.351 -10.084 -11.153 -11.686 -12.215 -12.545 -12.544 
14.74747 -1.602 -5.484 -7.971 -9.992 -11.150 -11.655 -12.206 -12.592 -12.592 
14.94949 -2.133 -5.306 -7.984 -9.959 -11.063 -11.641 -12.174 -12.502 -12.566 
15.15152 -1.462 -5.297 -8.173 -9.920 -11.045 -11.693 -12.185 -12.494 -12.558 
15.35354 -1.373 -5.070 -7.895 -9.820 -11.034 -11.575 -12.167 -12.513 -12.637 
15.55556 -1.326 -5.713 -7.824 -9.835 -10.859 -11.530 -12.103 -12.460 -12.545 
15.75758 -1.231 -5.197 -7.859 -9.665 -10.811 -11.489 -12.066 -12.408 -12.586 
15.95960 -1.097 -4.972 -7.663 -9.622 -10.794 -11.445 -12.030 -12.440 -12.529 
16.16162 -1.049 -4.955 -7.608 -9.560 -10.798 -11.414 -12.011 -12.462 -12.540 
16.36364 -0.953 -4.883 -7.332 -9.456 -10.681 -11.302 -12.016 -12.416 -12.473 
16.56566 -0.835 -4.310 -7.475 -9.456 -10.614 -11.305 -11.956 -12.384 -12.518 
16.76768 -0.730 -4.076 -7.364 -9.327 -10.579 -11.244 -11.914 -12.369 -12.468 
16.96970 -0.673 -4.174 -7.123 -9.248 -10.531 -11.199 -11.874 -12.287 -12.457 
17.17172 -0.529 -4.306 -7.109 -9.242 -10.443 -11.145 -11.847 -12.307 -12.455 
