# t[days] u g r i z y J H K
0.20202 -13.011 -13.138 -14.116 -11.827 -12.920 -11.649 -11.257 -9.667 -8.154 
0.40404 -14.420 -15.035 -15.059 -14.861 -14.975 -14.645 -14.389 -13.830 -12.775 
0.60606 -14.899 -15.656 -15.962 -15.875 -15.699 -15.291 -15.121 -14.393 -14.431 
0.80808 -14.974 -16.163 -16.422 -16.447 -16.173 -15.985 -15.557 -15.327 -15.094 
1.01010 -14.810 -16.087 -16.414 -16.299 -16.234 -15.921 -16.014 -15.706 -15.392 
1.21212 -14.574 -16.105 -16.415 -16.502 -16.281 -16.277 -16.321 -15.917 -15.660 
1.41414 -14.570 -16.096 -16.354 -16.647 -16.552 -16.589 -16.465 -16.254 -15.891 
1.61616 -14.140 -15.966 -16.467 -16.613 -16.661 -16.824 -16.551 -16.201 -16.031 
1.81818 -13.971 -15.794 -16.295 -16.574 -16.598 -16.809 -16.547 -16.446 -16.148 
2.02020 -13.599 -15.516 -16.090 -16.349 -16.657 -16.684 -16.488 -16.410 -16.293 
2.22222 -13.397 -15.299 -15.913 -16.254 -16.577 -16.616 -16.532 -16.297 -16.074 
2.42424 -13.144 -15.112 -15.626 -16.098 -16.331 -16.505 -16.391 -16.312 -16.238 
2.62626 -12.748 -14.712 -15.440 -15.954 -16.257 -16.325 -16.233 -16.273 -16.147 
2.82828 -12.486 -14.353 -15.222 -15.804 -16.036 -16.219 -16.312 -16.119 -16.185 
3.03030 -12.255 -14.193 -14.910 -15.542 -15.954 -16.121 -16.129 -15.991 -15.990 
3.23232 -12.097 -13.969 -14.849 -15.463 -15.845 -16.001 -16.044 -16.052 -15.786 
3.43434 -12.197 -13.862 -14.685 -15.329 -15.675 -15.982 -15.968 -15.904 -15.813 
3.63636 -11.955 -13.679 -14.631 -15.141 -15.520 -15.814 -15.761 -15.791 -15.749 
3.83838 -11.568 -13.387 -14.371 -15.015 -15.483 -15.555 -15.716 -15.799 -15.568 
4.04040 -11.566 -13.261 -14.250 -14.906 -15.397 -15.566 -15.647 -15.600 -15.461 
4.24242 -11.081 -12.940 -13.952 -14.762 -15.181 -15.496 -15.483 -15.538 -15.381 
4.44444 -11.084 -12.746 -13.898 -14.606 -15.001 -15.365 -15.340 -15.370 -15.258 
4.64646 -10.775 -12.617 -13.706 -14.435 -14.919 -15.131 -15.357 -15.249 -15.263 
4.84848 -10.699 -12.595 -13.695 -14.336 -14.865 -15.063 -15.191 -15.224 -15.145 
5.05051 -10.574 -12.342 -13.512 -14.197 -14.696 -15.008 -15.009 -15.166 -15.141 
