# t[days] u g r i z y J H K
0.20202 -10.982 -11.306 -11.920 -11.410 -12.947 -12.080 -10.547 -9.809 -8.390 
0.40404 -13.380 -13.959 -14.150 -14.283 -13.743 -13.893 -12.825 -12.137 -11.448 
0.60606 -13.743 -14.479 -14.677 -14.831 -14.701 -14.515 -13.848 -13.346 -13.021 
0.80808 -13.615 -14.472 -14.823 -14.846 -14.873 -14.658 -14.275 -13.884 -13.852 
1.01010 -13.136 -14.234 -14.694 -14.848 -14.721 -14.646 -14.348 -14.035 -13.494 
1.21212 -12.458 -13.859 -14.502 -14.629 -14.636 -14.552 -14.227 -14.107 -13.772 
1.41414 -11.969 -13.497 -14.251 -14.486 -14.465 -14.437 -14.286 -13.873 -13.696 
1.61616 -11.385 -13.185 -13.952 -14.242 -14.373 -14.353 -14.109 -13.979 -13.759 
1.81818 -10.784 -12.727 -13.635 -14.094 -14.166 -13.994 -14.102 -14.007 -13.833 
2.02020 -10.132 -12.320 -13.335 -13.805 -13.961 -14.010 -13.877 -13.848 -13.902 
2.22222 -9.701 -11.945 -13.050 -13.566 -13.718 -13.792 -13.861 -13.816 -13.618 
2.42424 -9.254 -11.514 -12.592 -13.191 -13.441 -13.449 -13.660 -13.735 -13.653 
2.62626 -8.724 -11.153 -12.298 -13.049 -13.368 -13.477 -13.522 -13.592 -13.606 
2.82828 -8.310 -10.782 -12.052 -12.777 -13.116 -13.299 -13.307 -13.584 -13.555 
3.03030 -8.111 -10.374 -11.833 -12.643 -13.039 -13.175 -13.311 -13.445 -13.593 
3.23232 -7.709 -10.204 -11.649 -12.435 -12.850 -12.927 -13.182 -13.390 -13.534 
3.43434 -7.022 -9.951 -11.187 -12.197 -12.603 -12.773 -13.098 -13.331 -13.541 
3.63636 -6.753 -9.328 -10.992 -11.978 -12.359 -12.603 -12.883 -13.273 -13.300 
3.83838 -6.444 -9.211 -10.865 -11.816 -12.277 -12.461 -12.753 -13.190 -13.263 
4.04040 -6.104 -8.928 -10.647 -11.552 -12.088 -12.358 -12.655 -13.025 -13.258 
4.24242 -5.711 -8.606 -10.261 -11.421 -12.028 -12.142 -12.619 -12.956 -13.198 
4.44444 -5.422 -8.263 -10.075 -11.217 -11.778 -11.965 -12.440 -12.883 -13.108 
4.64646 -5.272 -7.955 -9.950 -11.005 -11.638 -11.876 -12.317 -12.810 -13.005 
4.84848 -4.805 -7.769 -9.730 -10.797 -11.514 -11.761 -12.216 -12.600 -12.989 
5.05051 -4.482 -7.388 -9.463 -10.755 -11.415 -11.706 -12.053 -12.590 -12.776 
5.25253 -4.323 -7.212 -9.198 -10.469 -11.224 -11.544 -11.902 -12.453 -12.779 
5.45455 -4.172 -7.048 -9.052 -10.387 -11.114 -11.373 -11.815 -12.386 -12.691 
5.65657 -3.664 -6.714 -8.825 -10.281 -11.003 -11.319 -11.795 -12.276 -12.692 
5.85859 -3.463 -6.609 -8.802 -10.144 -10.902 -11.300 -11.697 -12.254 -12.545 
6.06061 -3.494 -6.247 -8.657 -9.979 -10.885 -11.165 -11.615 -12.183 -12.509 
6.26263 -2.900 -5.904 -8.418 -10.008 -10.729 -11.067 -11.538 -12.079 -12.469 
6.46465 -2.736 -6.125 -8.210 -9.838 -10.657 -10.984 -11.472 -12.001 -12.426 
6.66667 -2.499 -5.653 -7.984 -9.613 -10.594 -10.830 -11.312 -11.950 -12.307 
6.86869 -2.120 -5.071 -7.816 -9.599 -10.546 -10.742 -11.231 -11.797 -12.272 
7.07071 -2.146 -5.401 -7.836 -9.470 -10.382 -10.716 -11.203 -11.825 -12.202 
7.27273 -2.402 -4.857 -7.613 -9.325 -10.272 -10.668 -11.168 -11.750 -12.252 
7.47475 -2.225 -4.769 -7.571 -9.262 -10.216 -10.541 -11.028 -11.672 -12.179 
7.67677 -1.793 -4.964 -7.451 -9.241 -10.129 -10.494 -11.020 -11.594 -12.026 
7.87879 -0.983 -4.106 -7.113 -9.092 -10.097 -10.409 -10.930 -11.524 -11.989 
8.08081 -0.743 -4.503 -7.148 -9.071 -10.023 -10.276 -10.840 -11.459 -11.937 
8.28283 -0.533 -4.159 -6.954 -8.900 -9.913 -10.232 -10.809 -11.388 -11.922 
8.48485 -0.229 -3.609 -6.952 -8.771 -9.785 -10.132 -10.649 -11.327 -11.830 
8.68687 -0.071 -3.746 -6.766 -8.715 -9.634 -10.078 -10.603 -11.225 -11.810 
8.88889 0.166 -3.302 -6.667 -8.647 -9.660 -9.975 -10.570 -11.220 -11.740 
9.09091 0.353 -3.058 -6.473 -8.550 -9.504 -9.964 -10.496 -11.161 -11.623 
9.29293 0.689 -3.120 -6.495 -8.515 -9.505 -9.865 -10.369 -11.036 -11.643 
9.49495 0.910 -3.052 -6.244 -8.322 -9.362 -9.741 -10.319 -11.012 -11.577 
9.69697 1.079 -3.287 -6.197 -8.260 -9.352 -9.639 -10.344 -10.936 -11.458 
9.89899 1.320 -2.718 -6.167 -8.213 -9.296 -9.658 -10.238 -10.821 -11.394 
10.10101 1.535 -3.050 -6.101 -8.126 -9.113 -9.485 -10.127 -10.814 -11.408 
10.30303 1.933 -2.258 -5.847 -8.102 -9.001 -9.425 -10.054 -10.690 -11.281 
10.50505 2.016 -2.070 -5.810 -7.912 -8.952 -9.239 -9.990 -10.721 -11.292 
10.70707 2.204 -2.325 -5.729 -7.803 -8.870 -9.245 -9.986 -10.609 -11.163 
10.90909 2.470 -2.218 -5.763 -7.770 -8.830 -9.163 -9.879 -10.567 -11.201 
11.11111 2.675 -2.487 -5.679 -7.791 -8.689 -9.150 -9.806 -10.531 -11.120 
11.31313 2.557 -1.556 -5.502 -7.595 -8.656 -9.118 -9.703 -10.527 -11.047 
11.51515 2.962 -2.267 -5.344 -7.557 -8.579 -9.020 -9.717 -10.402 -10.998 
11.71717 3.365 -1.730 -5.226 -7.481 -8.479 -8.918 -9.608 -10.373 -10.944 
11.91919 3.426 -1.927 -5.242 -7.355 -8.470 -8.916 -9.551 -10.333 -10.814 
12.12121 3.791 -1.612 -5.155 -7.291 -8.341 -8.829 -9.418 -10.212 -10.816 
12.32323 3.913 -1.591 -4.924 -7.225 -8.188 -8.737 -9.454 -10.163 -10.792 
12.52525 4.003 -1.726 -5.059 -7.124 -8.246 -8.670 -9.416 -10.142 -10.811 
12.72727 3.618 -0.913 -5.058 -6.969 -8.113 -8.638 -9.364 -10.106 -10.734 
12.92929 4.386 -0.785 -4.762 -6.953 -8.123 -8.648 -9.278 -10.069 -10.698 
13.13131 4.454 -0.856 -4.908 -6.900 -8.079 -8.399 -9.206 -10.018 -10.623 
13.33333 4.748 -1.277 -4.788 -6.940 -7.925 -8.380 -9.164 -9.898 -10.576 
13.53535 5.049 -1.052 -4.713 -6.785 -7.968 -8.322 -9.164 -9.893 -10.610 
13.73737 5.352 -0.832 -4.523 -6.788 -7.856 -8.354 -9.125 -9.864 -10.489 
13.93939 5.428 -1.061 -4.478 -6.575 -7.686 -8.132 -9.047 -9.873 -10.421 
14.14141 5.643 -1.252 -4.486 -6.506 -7.660 -8.110 -8.919 -9.777 -10.430 
14.34343 5.490 -0.923 -4.371 -6.504 -7.650 -8.157 -8.926 -9.670 -10.362 
14.54545 5.839 -0.024 -4.221 -6.388 -7.676 -8.124 -8.808 -9.728 -10.315 
14.74747 6.433 -0.513 -4.268 -6.466 -7.401 -7.962 -8.839 -9.718 -10.341 
14.94949 6.249 -1.534 -4.282 -6.151 -7.348 -7.919 -8.659 -9.597 -10.234 
15.15152 7.076 -0.314 -4.053 -6.189 -7.287 -7.846 -8.686 -9.656 -10.260 
15.35354 6.780 -0.415 -4.240 -6.219 -7.390 -7.716 -8.677 -9.518 -10.133 
15.55556 7.372 -0.375 -3.863 -5.980 -7.257 -7.704 -8.589 -9.489 -10.188 
15.75758 6.912 0.234 -3.997 -6.159 -7.137 -7.586 -8.518 -9.428 -10.103 
15.95960 6.950 -0.129 -3.832 -6.013 -7.004 -7.518 -8.391 -9.392 -10.094 
16.16162 6.790 0.835 -3.526 -5.914 -6.973 -7.584 -8.445 -9.357 -10.010 
16.36364 6.994 -0.072 -3.496 -5.754 -6.926 -7.374 -8.442 -9.328 -9.973 
16.56566 6.475 -0.104 -3.604 -5.653 -6.692 -7.453 -8.340 -9.243 -10.029 
16.76768 6.851 0.520 -3.381 -5.735 -6.827 -7.271 -8.420 -9.236 -9.915 
