# t[days] u g r i z y J H K
0.20202 -11.249 -13.133 -12.710 -11.808 -10.184 -12.303 -9.599 -6.083 -4.814 
0.40404 -13.362 -14.600 -14.534 -14.232 -14.659 -14.025 -14.168 -12.463 -9.077 
0.60606 -14.526 -15.504 -15.772 -15.588 -15.159 -14.917 -14.959 -14.667 -12.771 
0.80808 -14.795 -15.760 -16.049 -15.982 -15.308 -15.284 -15.485 -14.241 -14.821 
1.01010 -14.640 -15.740 -16.036 -16.052 -15.716 -15.726 -15.630 -15.240 -14.936 
1.21212 -14.011 -15.516 -15.931 -15.768 -15.848 -15.820 -16.024 -15.221 -15.089 
1.41414 -13.905 -15.446 -15.798 -15.703 -16.123 -15.931 -15.629 -16.111 -15.127 
1.61616 -13.207 -15.361 -15.745 -15.957 -15.918 -15.951 -15.898 -15.752 -15.701 
1.81818 -13.623 -15.329 -15.937 -16.080 -16.223 -16.022 -15.891 -15.924 -16.097 
2.02020 -13.357 -15.520 -15.855 -15.993 -16.243 -16.337 -16.200 -16.118 -15.997 
2.22222 -13.003 -15.317 -15.846 -16.105 -16.274 -16.101 -16.405 -16.198 -15.881 
2.42424 -13.378 -15.220 -15.672 -16.047 -16.369 -16.332 -16.298 -16.340 -16.238 
2.62626 -13.114 -14.964 -15.635 -15.935 -16.274 -16.323 -16.238 -16.249 -15.877 
2.82828 -12.836 -14.717 -15.319 -15.691 -16.162 -16.436 -16.421 -16.382 -16.019 
3.03030 -12.668 -14.443 -15.235 -15.497 -15.874 -16.118 -16.249 -16.175 -15.957 
3.23232 -12.234 -13.909 -14.684 -15.248 -15.712 -16.093 -15.956 -16.134 -15.781 
3.43434 -12.450 -13.892 -14.518 -15.247 -15.716 -15.946 -15.819 -15.983 -16.038 
3.63636 -12.186 -13.783 -14.534 -15.122 -15.694 -15.924 -15.906 -16.008 -15.687 
3.83838 -11.965 -13.485 -14.312 -15.016 -15.477 -15.681 -15.782 -15.879 -15.814 
4.04040 -11.955 -13.276 -14.057 -14.803 -15.388 -15.693 -15.667 -15.736 -15.720 
4.24242 -11.842 -13.136 -14.236 -14.916 -15.288 -15.642 -15.690 -15.693 -15.662 
4.44444 -11.585 -13.036 -13.964 -14.669 -15.195 -15.408 -15.384 -15.573 -15.732 
4.64646 -11.174 -12.893 -13.666 -14.621 -15.185 -15.352 -15.368 -15.501 -15.388 
4.84848 -11.196 -12.746 -13.604 -14.398 -15.032 -15.243 -15.259 -15.411 -15.429 
5.05051 -11.140 -12.387 -13.448 -14.298 -14.910 -15.168 -15.196 -15.259 -15.409 
5.25253 -11.202 -12.500 -13.464 -14.260 -14.844 -15.191 -15.153 -15.385 -15.149 
5.45455 -10.789 -12.454 -13.327 -14.165 -14.748 -15.005 -15.026 -15.130 -15.197 
5.65657 -10.448 -11.900 -13.279 -14.021 -14.647 -14.884 -15.015 -14.919 -15.329 
5.85859 -10.741 -12.305 -13.338 -14.082 -14.585 -14.883 -14.889 -15.040 -15.055 
6.06061 -10.218 -11.782 -12.935 -13.826 -14.459 -14.828 -14.822 -14.825 -15.073 
6.26263 -10.508 -11.845 -12.855 -13.706 -14.396 -14.776 -14.787 -14.781 -14.991 
