# t[days] u g r i z y J H K
0.20202 -10.791 -10.777 -11.407 -11.646 -12.240 -10.754 -7.375 -7.148 -5.089 
0.40404 -13.698 -13.977 -14.475 -14.355 -14.324 -13.272 -13.422 -12.195 -10.549 
0.60606 -14.206 -14.885 -15.296 -15.367 -15.252 -14.397 -14.011 -13.863 -13.235 
0.80808 -14.287 -15.066 -15.458 -15.442 -15.263 -15.079 -14.714 -14.065 -13.403 
1.01010 -13.925 -15.098 -15.603 -15.569 -15.330 -15.143 -14.972 -14.652 -13.878 
1.21212 -13.609 -14.929 -15.474 -15.588 -15.455 -15.380 -14.994 -14.514 -14.481 
1.41414 -13.132 -14.657 -15.292 -15.384 -15.472 -15.262 -15.034 -14.957 -14.077 
1.61616 -12.572 -14.353 -15.141 -15.284 -15.273 -15.238 -15.034 -14.915 -14.478 
1.81818 -12.154 -14.036 -14.727 -15.071 -15.319 -14.972 -14.932 -14.770 -14.668 
2.02020 -11.557 -13.762 -14.634 -14.893 -14.848 -14.868 -14.904 -14.907 -14.565 
2.22222 -11.289 -13.308 -14.250 -14.698 -14.686 -14.680 -14.736 -14.736 -14.619 
2.42424 -10.902 -13.029 -14.097 -14.529 -14.542 -14.530 -14.641 -14.647 -14.338 
2.62626 -10.572 -12.635 -13.770 -14.168 -14.372 -14.328 -14.502 -14.424 -14.386 
2.82828 -10.220 -12.308 -13.488 -13.985 -14.140 -14.307 -14.366 -14.398 -14.157 
3.03030 -9.704 -11.956 -13.083 -13.759 -13.972 -14.013 -14.181 -14.482 -14.151 
3.23232 -9.441 -11.536 -12.889 -13.471 -13.802 -13.828 -13.975 -14.361 -14.405 
3.43434 -9.196 -11.181 -12.643 -13.206 -13.602 -13.753 -13.860 -14.212 -14.008 
3.63636 -8.908 -11.030 -12.305 -13.016 -13.410 -13.532 -13.781 -14.144 -14.165 
3.83838 -8.595 -10.810 -12.097 -12.845 -13.235 -13.410 -13.628 -14.019 -14.089 
4.04040 -8.512 -10.439 -11.867 -12.640 -13.005 -13.193 -13.469 -13.786 -13.858 
4.24242 -8.193 -10.350 -11.728 -12.524 -12.872 -13.079 -13.436 -13.771 -13.906 
4.44444 -7.989 -10.031 -11.480 -12.308 -12.846 -12.973 -13.408 -13.720 -13.928 
4.64646 -7.786 -9.555 -11.158 -11.982 -12.652 -12.858 -13.223 -13.717 -13.823 
4.84848 -7.443 -9.362 -11.151 -12.062 -12.543 -12.730 -13.113 -13.690 -13.733 
5.05051 -7.252 -9.252 -10.791 -11.810 -12.376 -12.711 -13.112 -13.539 -13.700 
5.25253 -6.959 -8.991 -10.648 -11.757 -12.198 -12.544 -12.951 -13.331 -13.730 
