# t[days] u g r i z y J H K
0.20202 -10.971 -10.975 -12.259 -10.995 -12.219 -13.043 -11.670 -6.380 -5.024 
0.40404 -12.965 -13.959 -14.337 -14.090 -13.820 -13.207 -12.956 -12.168 -11.095 
0.60606 -14.089 -14.622 -14.796 -14.951 -14.999 -14.946 -14.213 -13.828 -13.561 
0.80808 -13.813 -14.837 -15.133 -14.957 -14.889 -14.816 -14.730 -14.292 -13.806 
1.01010 -13.358 -14.821 -15.223 -15.433 -15.245 -15.340 -14.927 -14.648 -14.408 
1.21212 -12.706 -14.686 -15.298 -15.545 -15.443 -15.283 -15.127 -15.378 -14.816 
1.41414 -12.588 -14.341 -15.252 -15.341 -15.385 -15.434 -15.363 -15.199 -14.817 
1.61616 -11.980 -13.910 -14.863 -15.210 -15.447 -15.328 -15.266 -15.260 -14.930 
1.81818 -11.593 -13.610 -14.613 -14.912 -15.279 -15.308 -15.273 -15.259 -14.897 
2.02020 -11.157 -13.291 -14.343 -14.866 -15.099 -15.310 -15.245 -15.125 -15.332 
2.22222 -11.149 -12.701 -14.053 -14.503 -14.986 -15.088 -15.112 -15.230 -14.779 
2.42424 -10.815 -12.405 -13.581 -14.434 -14.832 -15.079 -14.959 -15.021 -14.956 
2.62626 -10.661 -12.234 -13.387 -14.222 -14.558 -14.753 -14.789 -14.777 -14.786 
2.82828 -10.456 -11.764 -13.088 -13.793 -14.554 -14.731 -14.755 -14.936 -14.687 
3.03030 -10.202 -11.541 -12.822 -13.724 -14.377 -14.722 -14.724 -14.753 -14.738 
3.23232 -10.012 -11.056 -12.447 -13.701 -14.260 -14.513 -14.593 -14.677 -14.629 
3.43434 -9.898 -11.033 -12.297 -13.474 -14.210 -14.483 -14.500 -14.505 -14.888 
3.63636 -9.578 -10.813 -12.256 -13.463 -14.123 -14.369 -14.460 -14.520 -14.470 
3.83838 -9.398 -10.614 -12.018 -13.159 -13.939 -14.240 -14.308 -14.462 -14.538 
4.04040 -9.191 -10.421 -11.773 -13.076 -13.792 -14.187 -14.231 -14.314 -14.337 
4.24242 -8.999 -10.285 -11.738 -13.010 -13.770 -14.052 -14.168 -14.299 -14.341 
4.44444 -8.814 -10.440 -11.795 -12.926 -13.732 -13.845 -14.108 -14.193 -14.366 
4.64646 -8.623 -9.999 -11.582 -12.810 -13.582 -13.898 -14.005 -14.047 -14.257 
4.84848 -8.446 -9.887 -11.499 -12.786 -13.519 -13.836 -13.968 -13.931 -14.245 
5.05051 -8.269 -9.743 -11.235 -12.524 -13.427 -13.803 -13.798 -14.022 -14.050 
5.25253 -8.054 -9.615 -11.118 -12.539 -13.296 -13.677 -13.722 -13.928 -13.987 
5.45455 -7.880 -9.362 -11.085 -12.445 -13.296 -13.466 -13.665 -13.741 -13.880 
5.65657 -7.720 -9.452 -10.954 -12.374 -13.165 -13.604 -13.618 -13.794 -13.771 
5.85859 -7.601 -9.333 -11.008 -12.273 -13.185 -13.455 -13.516 -13.724 -13.741 
6.06061 -7.428 -9.023 -10.880 -12.184 -13.012 -13.394 -13.420 -13.599 -13.648 
