4.43 17.231 u
6.4 17.173 u
8.3 17.231 u
10.4 17.342 u
11.3 17.402 u
12.36 17.497 u
16.34 17.715 u
18.35 17.879 u
19.32 17.951 u
24.3 18.503 u
27.38 18.819 u
31.44 19.145 u
33.21 19.243 u
37.25 19.633 u
40.31 19.681 u
41.28 19.814 u
42.37 19.91 u
48.33 20.143 u
49.35 20.2 u
53.38 20.429 u
54.35 20.487 u
57.27 20.522 u
65.27 20.637 u
74.27 20.74 u
78.25 20.841 u
79.26 20.92 u
81.29 21.113 u
82.22 21.07 u
85.24 21.069 u
90.24 21.634 u
100.2 21.856 u
101.26 21.513 u
116.18 22.743 u
117.22 22.625 u
3.79 18.007 g
4.84 17.805 g
5.07 17.964 g
5.84 17.825 g
6.84 17.734 g
7.84 17.761 g
8.84 17.776 g
9.84 17.751 g
10.84 17.903 g
11.84 17.831 g
12.94 17.935 g
13.94 17.925 g
14.89 17.917 g
15.94 17.957 g
16.82 17.972 g
17.82 18.007 g
20.86 18.026 g
21.85 18.075 g
22.83 18.067 g
23.87 18.091 g
25.94 18.202 g
31.94 18.383 g
35.93 18.464 g
43.88 18.619 g
47.89 18.64 g
49.89 18.693 g
56.86 18.771 g
61.82 18.838 g
62.82 18.804 g
63.82 18.793 g
65.82 18.82 g
68.78 18.874 g
70.78 18.818 g
71.78 18.858 g
72.78 18.889 g
75.77 18.885 g
80.77 18.985 g
85.74 19.084 g
87.74 19.127 g
88.76 19.093 g
92.76 19.256 g
94.73 19.382 g
97.73 19.621 g
99.73 19.816 g
101.73 20.03 g
102.73 20.199 g
103.74 20.345 g
104.73 20.422 g
105.73 20.548 g
107.68 20.734 g
110.68 20.888 g
113.72 20.962 g
115.72 21.003 g
119.63 21.053 g
123.6 21.052 g
125.55 21.007 g
127.55 21.032 g
129.55 21.091 g
135.56 21.19 g
138.71 21.178 g
139.71 21.168 g
140.69 21.188 g
144.65 21.185 g
146.65 21.206 g
148.68 21.258 g
154.68 21.24 g
159.68 21.26 g
165.67 21.384 g
168.62 21.35 g
170.68 21.392 g
178.51 21.487 g
181.49 21.563 g
184.65 21.613 g
-1 21.5 r
1 20.6 r
2.7 18.093 r
3.79 18.094 r
4.84 17.874 r
5.07 17.767 r
5.84 17.759 r
6.84 17.744 r
7.84 17.699 r
8.84 17.721 r
9.84 17.717 r
10.84 17.685 r
11.84 17.741 r
12.94 17.809 r
13.94 17.777 r
14.89 17.798 r
15.94 17.802 r
16.82 17.753 r
17.82 17.75 r
20.86 17.783 r
21.85 17.832 r
22.83 17.814 r
23.87 17.827 r
25.94 17.89 r
31.94 17.934 r
35.93 18.003 r
43.88 18.073 r
47.89 18.064 r
