#time magniutde filter
-14.0 19.52 r
-14.0 18.56 u
-14.0 20.42 y
-14.0 20.19 z
-13.0 19.0 g
-13.0 19.88 i
-13.0 19.5 r
-13.0 18.54 u
-13.0 20.4 y
-13.0 20.17 z
-12.0 18.98 g
-12.0 19.86 i
-12.0 19.48 r
-12.0 18.53 u
-12.0 20.38 y
-12.0 20.15 z
-11.0 18.96 g
-11.0 19.84 i
-11.0 19.46 r
-11.0 18.51 u
-11.0 20.36 y
-11.0 20.13 z
-10.0 18.95 g
-10.0 19.82 i
-10.0 19.44 r
-10.0 18.49 u
-10.0 20.34 y
-10.0 20.11 z
-9.0 18.93 g
-9.0 19.81 i
-9.0 19.43 r
-9.0 18.48 u
-9.0 20.32 y
-9.0 20.1 z
-8.0 18.92 g
-8.0 19.79 i
-8.0 19.41 r
-8.0 18.46 u
-8.0 20.31 y
-8.0 20.08 z
-7.0 18.9 g
-7.0 19.78 i
-7.0 19.4 r
-7.0 18.45 u
-7.0 20.29 y
-7.0 20.07 z
-6.0 18.89 g
-6.0 19.77 i
-6.0 19.39 r
-6.0 18.44 u
-6.0 20.28 y
-6.0 20.06 z
-5.0 18.88 g
-5.0 19.75 i
-5.0 19.37 r
-5.0 18.42 u
-5.0 20.27 y
-5.0 20.04 z
-4.0 18.87 g
-4.0 19.74 i
-4.0 19.36 r
-4.0 18.41 u
-4.0 20.26 y
-4.0 20.03 z
-3.0 18.86 g
-3.0 19.73 i
-3.0 19.35 r
-3.0 18.41 u
-3.0 20.25 y
-3.0 20.02 z
-2.0 18.85 g
-2.0 19.72 i
-2.0 19.34 r
-2.0 18.4 u
-2.0 20.24 y
-2.0 20.01 z
-1.0 18.84 g
-1.0 19.72 i
-1.0 19.34 r
-1.0 18.39 u
-1.0 20.23 y
-1.0 20.01 z
0.0 18.84 g
0.0 19.71 i
0.0 19.33 r
0.0 18.38 u
0.0 20.22 y
0.0 20.0 z
1.0 18.83 g
1.0 19.7 i
1.0 19.32 r
1.0 18.38 u
1.0 20.22 y
1.0 19.99 z
2.0 18.83 g
2.0 19.7 i
2.0 19.32 r
2.0 18.37 u
2.0 20.21 y
2.0 19.99 z
3.0 18.82 g
3.0 19.69 i
3.0 19.32 r
