# time mag filter 
 5.50 22.28 r 
 6.60 22.32 r 
 7.70 22.36 r 
 8.80 22.41 r 
 9.90 22.45 r 
 11.00 22.49 r 
 12.10 22.54 r 
 13.20 22.58 r 
 14.30 22.62 r 
 15.40 22.67 r 
 16.50 22.71 r 
 17.60 22.75 r 
 18.70 22.80 r 
 19.80 22.84 r 
 20.90 22.88 r 
 22.00 22.93 r 
 23.10 22.97 r 
 24.20 23.02 r 
 25.30 23.06 r 
 26.40 23.10 r 
 27.50 23.15 r 
 28.60 23.19 r 
 29.70 23.23 r 
 30.80 23.28 r 
 31.90 23.32 r 
 33.00 23.36 r 
 34.10 23.41 r 
 35.20 23.45 r 
 36.30 23.49 r 
 37.40 23.54 r 
 38.50 23.58 r 
 39.60 23.62 r 
 40.70 23.67 r 
 41.80 23.71 r 
 42.90 23.75 r 
 44.00 23.80 r 
 45.10 23.84 r 
 46.20 23.88 r 
 47.30 23.93 r 
 48.40 23.97 r 
 49.50 24.01 r 
 50.60 24.06 r 
 51.70 24.10 r 
 52.80 24.14 r 
 53.90 24.19 r 
 55.00 24.23 r 
 56.10 24.27 r 
 57.20 24.32 r 
 58.30 24.36 r 
 59.40 24.40 r 
 60.50 24.45 r 
 61.60 24.49 r 
 62.70 24.54 r 
 63.80 24.58 r 
 64.90 24.62 r 
 66.00 24.67 r 
 67.10 24.71 r 
 68.20 24.75 r 
 69.30 24.80 r 
 70.40 24.84 r 
 71.50 24.88 r 
 72.60 24.93 r 
 73.70 24.97 r 
 74.80 25.01 r 
 75.90 25.06 r 
 77.00 25.10 r 
 78.10 25.14 r 
 79.20 25.19 r 
 80.30 25.23 r 
 81.40 25.27 r 
 82.50 25.32 r 
 83.60 25.36 r 
 84.70 25.40 r 
 85.80 25.45 r 
 86.90 25.49 r 
 88.00 25.53 r 
 89.10 25.58 r 
 90.20 25.62 r 
 91.30 25.66 r 
 92.40 25.71 r 
 93.50 25.75 r 
 94.60 25.79 r 
 95.70 25.84 r 
 96.80 25.88 r 
 97.90 25.92 r 
 99.00 25.97 r 
100.10 26.01 r 
101.20 26.06 r 
102.30 26.10 r 
103.40 26.14 r 
104.50 26.19 r 
105.60 26.23 r 
106.70 26.27 r 
107.80 26.32 r 
108.90 26.36 r 
-22.00 31.09 i 
-20.90 30.24 i 
-19.80 29.44 i 
-18.70 28.68 i 
-17.60 27.96 i 
-16.50 27.29 i 
-15.40 26.66 i 
-14.30 26.07 i 
-13.20 25.53 i 
-12.10 25.03 i 
-11.00 24.57 i 
 -9.90 24.16 i 
 -8.80 23.79 i 
 -7.70 23.47 i 
 -6.60 23.18 i 
 -5.50 22.94 i 
 -4.40 22.75 i 
 -3.30 22.60 i 
 -2.20 22.49 i 
 -1.10 22.42 i 
 0.00 22.40 i 
 1.10 22.44 i 
 2.20 22.49 i 
 3.30 22.53 i 
 4.40 22.57 i 
 5.50 22.62 i 
 6.60 22.66 i 
 7.70 22.71 i 
 8.80 22.75 i 
 9.90 22.79 i 
 11.00 22.84 i 
 12.10 22.88 i 
 13.20 22.92 i 
 14.30 22.97 i 
 15.40 23.01 i 
 16.50 23.05 i 
 17.60 23.10 i 
 18.70 23.14 i 
 19.80 23.18 i 
 20.90 23.23 i 
 22.00 23.27 i 
 23.10 23.31 i 
 24.20 23.36 i 
 25.30 23.40 i 
 26.40 23.44 i 
 27.50 23.49 i 
 28.60 23.53 i 
 29.70 23.57 i 
 30.80 23.62 i 
 31.90 23.66 i 
 33.00 23.70 i 
 34.10 23.75 i 
 35.20 23.79 i 
 36.30 23.83 i 
 37.40 23.88 i 
 38.50 23.92 i 
 39.60 23.96 i 
 40.70 24.01 i 
 41.80 24.05 i 
 42.90 24.10 i 
 44.00 24.14 i 
 45.10 24.18 i 
 46.20 24.23 i 
 47.30 24.27 i 
 48.40 24.31 i 
 49.50 24.36 i 
 50.60 24.40 i 
 51.70 24.44 i 
 52.80 24.49 i 
 53.90 24.53 i 
 55.00 24.57 i 
 56.10 24.62 i 
 57.20 24.66 i 
 58.30 24.70 i 
 59.40 24.75 i 
 60.50 24.79 i 
 61.60 24.83 i 
 62.70 24.88 i 
 63.80 24.92 i 
 64.90 24.96 i 
 66.00 25.01 i 
 67.10 25.05 i 
 68.20 25.09 i 
 69.30 25.14 i 
 70.40 25.18 i 
 71.50 25.22 i 
 72.60 25.27 i 
 73.70 25.31 i 
 74.80 25.35 i 
 75.90 25.40 i 
 77.00 25.44 i 
 78.10 25.48 i 
 79.20 25.53 i 
 80.30 25.57 i 
 81.40 25.62 i 
 82.50 25.66 i 
 83.60 25.70 i 
 84.70 25.75 i 
 85.80 25.79 i 
 86.90 25.83 i 
 88.00 25.88 i 
 89.10 25.92 i 
 90.20 25.96 i 
 91.30 26.01 i 
 92.40 26.05 i 
 93.50 26.09 i 
 94.60 26.14 i 
 95.70 26.18 i 
 96.80 26.22 i 
 97.90 26.27 i 
 99.00 26.31 i 
100.10 26.35 i 
101.20 26.40 i 
102.30 26.44 i 
103.40 26.48 i 
104.50 26.53 i 
105.60 26.57 i 
106.70 26.61 i 
107.80 26.66 i 
108.90 26.70 i 
-22.00 31.35 z 
-20.90 30.50 z 
-19.80 29.70 z 
-18.70 28.94 z 
-17.60 28.22 z 
-16.50 27.55 z 
-15.40 26.92 z 
-14.30 26.33 z 
-13.20 25.79 z 
-12.10 25.29 z 
-11.00 24.84 z 
 -9.90 24.42 z 
 -8.80 24.05 z 
 -7.70 23.73 z 
 -6.60 23.45 z 
 -5.50 23.21 z 
 -4.40 23.01 z 
 -3.30 22.86 z 
 -2.20 22.75 z 
 -1.10 22.69 z 
 0.00 22.66 z 
 1.10 22.71 z 
 2.20 22.75 z 
 3.30 22.79 z 
 4.40 22.84 z 
 5.50 22.88 z 
 6.60 22.93 z 
 7.70 22.97 z 
 8.80 23.01 z 
 9.90 23.06 z 
 11.00 23.10 z 
 12.10 23.14 z 
 13.20 23.19 z 
 14.30 23.23 z 
 15.40 23.27 z 
 16.50 23.32 z 
 17.60 23.36 z 
 18.70 23.40 z 
 19.80 23.45 z 
 20.90 23.49 z 
 22.00 23.53 z 
 23.10 23.58 z 
 24.20 23.62 z 
 25.30 23.66 z 
 26.40 23.71 z 
 27.50 23.75 z 
 28.60 23.79 z 
 29.70 23.84 z 
 30.80 23.88 z 
 31.90 23.92 z 
 33.00 23.97 z 
 34.10 24.01 z 
 35.20 24.05 z 
 36.30 24.10 z 
 37.40 24.14 z 
 38.50 24.18 z 
 39.60 24.23 z 
 40.70 24.27 z 
 41.80 24.31 z 
 42.90 24.36 z 
 44.00 24.40 z 
 45.10 24.45 z 
 46.20 24.49 z 
 47.30 24.53 z 
 48.40 24.58 z 
 49.50 24.62 z 
 50.60 24.66 z 
 51.70 24.71 z 
 52.80 24.75 z 
 53.90 24.79 z 
 55.00 24.84 z 
 56.10 24.88 z 
 57.20 24.92 z 
 58.30 24.97 z 
 59.40 25.01 z 
 60.50 25.05 z 
 61.60 25.10 z 
 62.70 25.14 z 
 63.80 25.18 z 
 64.90 25.23 z 
 66.00 25.27 z 
 67.10 25.31 z 
 68.20 25.36 z 
 69.30 25.40 z 
 70.40 25.44 z 
 71.50 25.49 z 
 72.60 25.53 z 
 73.70 25.57 z 
 74.80 25.62 z 
 75.90 25.66 z 
 77.00 25.70 z 
 78.10 25.75 z 
 79.20 25.79 z 
 80.30 25.83 z 
 81.40 25.88 z 
 82.50 25.92 z 
 83.60 25.97 z 
 84.70 26.01 z 
 85.80 26.05 z 
 86.90 26.10 z 
 88.00 26.14 z 
 89.10 26.18 z 
 90.20 26.23 z 
 91.30 26.27 z 
 92.40 26.31 z 
 93.50 26.36 z 
 94.60 26.40 z 
 95.70 26.44 z 
 96.80 26.49 z 
 97.90 26.53 z 
 99.00 26.57 z 
100.10 26.62 z 
101.20 26.66 z 
102.30 26.70 z 
103.40 26.75 z 
104.50 26.79 z 
105.60 26.83 z 
106.70 26.88 z 
107.80 26.92 z 
108.90 26.96 z 
-22.00 31.62 y 
-20.90 30.78 y 
-19.80 29.97 y 
-18.70 29.21 y 
-17.60 28.50 y 
-16.50 27.82 y 
-15.40 27.19 y 
-14.30 26.61 y 
-13.20 26.06 y 
-12.10 25.56 y 
-11.00 25.11 y 
 -9.90 24.69 y 
 -8.80 24.33 y 
 -7.70 24.00 y 
 -6.60 23.72 y 
 -5.50 23.48 y 
 -4.40 23.28 y 
 -3.30 23.13 y 
 -2.20 23.02 y 
 -1.10 22.96 y 
 0.00 22.94 y 
 1.10 22.98 y 
 2.20 23.02 y 
 3.30 23.07 y 
 4.40 23.11 y 
 5.50 23.15 y 
 6.60 23.20 y 
 7.70 23.24 y 
 8.80 23.28 y 
 9.90 23.33 y 
 11.00 23.37 y 
 12.10 23.41 y 
 13.20 23.46 y 
 14.30 23.50 y 
 15.40 23.54 y 
 16.50 23.59 y 
 17.60 23.63 y 
 18.70 23.67 y 
 19.80 23.72 y 
 20.90 23.76 y 
 22.00 23.80 y 
 23.10 23.85 y 
 24.20 23.89 y 
 25.30 23.93 y 
 26.40 23.98 y 
 27.50 24.02 y 
 28.60 24.07 y 
 29.70 24.11 y 
 30.80 24.15 y 
 31.90 24.20 y 
 33.00 24.24 y 
 34.10 24.28 y 
 35.20 24.33 y 
 36.30 24.37 y 
 37.40 24.41 y 
 38.50 24.46 y 
 39.60 24.50 y 
 40.70 24.54 y 
 41.80 24.59 y 
 42.90 24.63 y 
 44.00 24.67 y 
 45.10 24.72 y 
 46.20 24.76 y 
 47.30 24.80 y 
 48.40 24.85 y 
 49.50 24.89 y 
 50.60 24.93 y 
 51.70 24.98 y 
 52.80 25.02 y 
 53.90 25.06 y 
 55.00 25.11 y 
 56.10 25.15 y 
 57.20 25.19 y 
 58.30 25.24 y 
 59.40 25.28 y 
 60.50 25.32 y 
 61.60 25.37 y 
 62.70 25.41 y 
 63.80 25.45 y 
