#time magniutde filter
-19.0 30.41 g
-19.0 31.07 i
-19.0 30.77 r
-19.0 30.07 u
-19.0 31.47 y
-19.0 31.3 z
-18.0 29.57 g
-18.0 30.25 i
-18.0 29.94 r
-18.0 29.21 u
-18.0 30.67 y
-18.0 30.49 z
-17.0 27.83 g
-17.0 28.51 i
-17.0 28.2 r
-17.0 27.48 u
-17.0 28.92 y
-17.0 28.74 z
-16.0 25.83 g
-16.0 26.48 i
-16.0 26.18 r
-16.0 25.49 u
-16.0 26.88 y
-16.0 26.71 z
-15.0 24.55 g
-15.0 25.18 i
-15.0 24.89 r
-15.0 24.23 u
-15.0 25.58 y
-15.0 25.4 z
-14.0 23.67 g
-14.0 24.28 i
-14.0 24.0 r
-14.0 23.37 u
-14.0 24.67 y
-14.0 24.5 z
-13.0 23.04 g
-13.0 23.64 i
-13.0 23.36 r
-13.0 22.76 u
-13.0 24.02 y
-13.0 23.85 z
-12.0 22.58 g
-12.0 23.15 i
-12.0 22.88 r
-12.0 22.3 u
-12.0 23.53 y
-12.0 23.37 z
-11.0 22.22 g
-11.0 22.79 i
-11.0 22.52 r
-11.0 21.96 u
-11.0 23.16 y
-11.0 23.0 z
-10.0 21.94 g
-10.0 22.5 i
-10.0 22.23 r
-10.0 21.69 u
-10.0 22.86 y
-10.0 22.7 z
-9.0 21.71 g
-9.0 22.26 i
-9.0 22.0 r
-9.0 21.47 u
-9.0 22.62 y
-9.0 22.47 z
-8.0 21.53 g
-8.0 22.07 i
-8.0 21.81 r
-8.0 21.29 u
-8.0 22.43 y
-8.0 22.27 z
-7.0 21.37 g
-7.0 21.9 i
-7.0 21.65 r
-7.0 21.14 u
-7.0 22.26 y
-7.0 22.11 z
-6.0 21.24 g
-6.0 21.77 i
-6.0 21.52 r
-6.0 21.01 u
-6.0 22.13 y
-6.0 21.97 z
-5.0 21.13 g
-5.0 21.65 i
-5.0 21.4 r
-5.0 20.91 u
-5.0 22.01 y
-5.0 21.85 z
-4.0 21.04 g
-4.0 21.56 i
-4.0 21.31 r
-4.0 20.82 u
-4.0 21.91 y
-4.0 21.76 z
-3.0 20.96 g
-3.0 21.48 i
-3.0 21.23 r
-3.0 20.74 u
